Rk,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Jon Lester*,32,CHC,NLWS,3,1,.750,2.02,6,5,0,0,0,0,35.2,27,9,8,3,6,0,30,1,0,1,136,3.15,0.925,6.8,0.8,1.5,7.6,5.00,NLCS MVP,lestejo01
2,Corey Kluber,30,CLE,ALWS,4,1,.800,1.83,6,6,0,0,0,0,34.1,28,7,7,3,8,0,35,3,0,0,138,3.20,1.049,7.3,0.8,2.1,9.2,4.38,,klubeco01
3,Kyle Hendricks,26,CHC,NLWS,1,1,.500,1.42,5,5,0,0,0,0,25.1,19,5,4,1,7,0,19,1,0,0,100,3.11,1.026,6.8,0.4,2.5,6.8,2.71,,hendrky01
4,Clayton Kershaw*,28,LAD,NL,2,1,.667,4.44,5,4,1,0,0,1,24.1,24,13,12,2,4,0,29,0,0,0,102,2.32,1.151,8.9,0.7,1.5,10.7,7.25,,kershcl01
5,Jake Arrieta,30,CHC,NLWS,2,1,.667,3.63,4,4,0,0,0,0,22.1,17,9,9,3,7,0,25,1,0,1,92,3.73,1.075,6.9,1.2,2.8,10.1,3.57,,arrieja01
6,Marco Estrada,32,TOR,AL,1,2,.333,2.01,3,3,0,1,0,0,22.1,15,6,5,3,1,0,19,0,0,0,80,3.33,0.716,6.0,1.2,0.4,7.7,19.00,,estrama01
7,Andrew Miller*,31,CLE,ALWS,2,0,1.000,1.40,10,0,1,0,0,1,19.1,12,3,3,2,5,0,30,0,0,0,73,2.16,0.879,5.6,0.9,2.3,14.0,6.00,ALCS MVP,millean01
8,Josh Tomlin,31,CLE,ALWS,2,1,.667,4.58,4,4,0,0,0,0,17.2,15,9,9,1,5,0,11,0,0,0,72,3.49,1.132,7.6,0.5,2.5,5.6,2.20,,tomlijo01
9,Aroldis Chapman*,28,CHC,NLWS,2,0,1.000,3.45,13,0,9,0,0,4,15.2,11,6,6,1,6,0,21,1,0,0,62,2.64,1.085,6.3,0.6,3.4,12.1,3.50,,chapmar01
10,Mike Montgomery*,26,CHC,NLWS,1,1,.500,3.14,11,0,3,0,0,1,14.1,14,5,5,0,7,0,11,0,0,1,63,3.08,1.465,8.8,0.0,4.4,6.9,1.57,,montgmi01
11,Madison Bumgarner*,26,SFG,NL,1,0,1.000,1.93,2,2,0,1,1,0,14.0,11,3,3,1,3,1,10,1,0,0,56,3.50,1.000,7.1,0.6,1.9,6.4,3.33,,bumgama01
12,Cody Allen,27,CLE,ALWS,0,0,,0.00,10,0,8,0,0,6,13.2,8,0,0,0,5,1,24,1,0,0,55,0.95,0.951,5.3,0.0,3.3,15.8,4.80,,allenco01
13,Trevor Bauer,25,CLE,ALWS,0,2,.000,5.27,5,4,1,0,0,0,13.2,18,8,8,3,4,0,17,0,0,0,61,4.39,1.610,11.9,2.0,2.6,11.2,4.25,,bauertr01
14,Rich Hill*,36,LAD,NL,1,1,.500,3.46,3,3,0,0,0,0,13.0,11,5,5,1,6,1,19,2,0,0,57,3.07,1.308,7.6,0.7,4.2,13.2,3.17,,hillri01
15,John Lackey,37,CHC,NLWS,0,1,.000,4.85,3,3,0,0,0,0,13.0,14,8,7,1,6,1,12,1,0,0,58,3.92,1.538,9.7,0.7,4.2,8.3,2.00,,lackejo01
16,Max Scherzer,31,WSN,NL,0,1,.000,3.75,2,2,0,0,0,0,12.0,10,5,5,3,2,0,12,1,0,1,47,5.15,1.000,7.5,2.3,1.5,9.0,6.00,,scherma01
17,Kenley Jansen,28,LAD,NL,0,0,,3.09,7,0,5,0,0,3,11.2,5,4,4,1,5,1,19,1,0,0,46,2.55,0.857,3.9,0.8,3.9,14.7,3.80,,janseke01
18,Aaron Sanchez,23,TOR,AL,1,0,1.000,5.40,2,2,0,0,0,0,11.2,5,7,7,2,6,0,10,0,0,1,46,5.20,0.943,3.9,1.5,4.6,7.7,1.67,,sanchaa01
19,Marcus Stroman,25,TOR,AL,0,1,.000,4.76,2,2,0,0,0,0,11.1,7,6,6,3,3,0,11,0,0,1,44,5.44,0.882,5.6,2.4,2.4,8.7,3.67,,stromma01
20,Kenta Maeda,28,LAD,NL,0,1,.000,6.75,3,3,0,0,0,0,10.2,12,8,8,1,7,0,12,2,0,1,53,4.65,1.781,10.1,0.8,5.9,10.1,1.71,,maedake01
21,Bryan Shaw,28,CLE,ALWS,2,1,.667,4.35,11,0,1,0,0,0,10.1,14,7,5,1,5,3,12,0,0,1,51,3.53,1.839,12.2,0.9,4.4,10.5,2.40,,shawbr01
22,J.A. Happ*,33,TOR,AL,1,1,.500,2.70,2,2,0,0,0,0,10.0,13,3,3,1,2,0,9,0,0,1,45,3.25,1.500,11.7,0.9,1.8,8.1,4.50,,happja01
23,Roberto Osuna,21,TOR,AL,1,0,1.000,0.00,7,0,6,0,0,1,9.0,4,0,0,0,0,0,10,0,0,0,31,0.92,0.444,4.0,0.0,0.0,10.0,,,osunaro01
24,Joe Blanton,35,LAD,NL,1,2,.333,7.88,7,0,0,0,0,0,8.0,8,7,7,3,3,2,8,0,0,0,35,7.15,1.375,9.0,3.4,3.4,9.0,2.67,,blantjo01
25,Johnny Cueto,30,SFG,NL,0,1,.000,1.13,1,1,0,1,0,0,8.0,3,1,1,1,0,0,10,0,0,0,27,2.27,0.375,3.4,1.1,0.0,11.3,,,cuetojo01
26,Matt Moore*,27,SFG,NL,0,0,,1.13,1,1,0,0,0,0,8.0,2,2,1,1,2,0,10,0,0,0,28,3.02,0.500,2.3,1.1,2.3,11.3,5.00,,moorema02
27,Joe Biagini,26,TOR,AL,0,0,,0.00,6,0,0,0,0,0,7.1,3,0,0,0,1,0,6,0,0,1,26,1.92,0.545,3.7,0.0,1.2,7.4,6.00,,biagijo01
28,Pedro Báez,28,LAD,NL,0,0,,2.57,7,0,0,0,0,0,7.0,6,6,2,1,4,0,5,1,0,0,31,5.72,1.429,7.7,1.3,5.1,6.4,1.25,,baezpe01
29,Noah Syndergaard,23,NYM,NL,0,0,,0.00,1,1,0,0,0,0,7.0,2,0,0,0,3,0,10,0,0,0,25,1.57,0.714,2.6,0.0,3.9,12.9,3.33,,syndeno01
30,Dan Otero,31,CLE,ALWS,0,0,,2.70,6,0,1,0,0,0,6.2,6,2,2,2,0,0,2,0,0,0,25,6.45,0.900,8.1,2.7,0.0,2.7,,,oteroda01
31,Carl Edwards Jr.,24,CHC,NLWS,0,1,.000,2.84,8,0,0,0,0,0,6.1,5,2,2,0,4,0,4,0,0,1,26,3.78,1.421,7.1,0.0,5.7,5.7,1.00,,edwarca01
32,Travis Wood*,29,CHC,NLWS,1,0,1.000,2.84,9,0,1,0,0,0,6.1,5,2,2,1,2,0,7,0,0,0,27,3.94,1.105,7.1,1.4,2.8,9.9,3.50,,woodtr01
33,Héctor Rondón,28,CHC,NLWS,1,0,1.000,4.50,7,0,4,0,0,0,6.0,8,3,3,1,1,0,5,0,0,0,25,4.15,1.500,12.0,1.5,1.5,7.5,5.00,,rondohe01
34,Mike Clevinger,25,CLE,ALWS,0,0,,4.76,4,0,3,0,0,0,5.2,3,3,3,1,5,0,3,0,0,1,24,7.03,1.412,4.8,1.6,7.9,4.8,0.60,,clevimi01
