Rk,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Matt Cain,27,SFG,NLWS,2,2,.500,3.60,5,5,0,0,0,0,30.0,27,12,12,6,7,1,20,4,0,0,125,5.46,1.133,8.1,1.8,2.1,6.0,2.86,,cainma01
2,Justin Verlander,29,DET,ALWS,3,1,.750,2.22,4,4,0,1,1,0,28.1,16,7,7,4,6,0,29,0,0,0,106,3.52,0.776,5.1,1.3,1.9,9.2,4.83,,verlaju01
3,Ryan Vogelsong,34,SFG,NLWS,3,0,1.000,1.09,4,4,0,0,0,0,24.2,16,3,3,0,10,0,21,1,0,0,99,2.73,1.054,5.8,0.0,3.6,7.7,2.10,,vogelry01
4,CC Sabathia*,31,NYY,AL,2,1,.667,3.38,3,3,0,1,0,0,21.1,23,9,8,2,5,0,19,0,0,0,92,3.23,1.313,9.7,0.8,2.1,8.0,3.80,,sabatc.01
5,Kyle Lohse,33,STL,NL,2,1,.667,3.98,4,4,0,0,0,0,20.1,21,9,9,2,8,1,14,0,0,0,87,4.18,1.426,9.3,0.9,3.5,6.2,1.75,,lohseky01
6,Aníbal Sánchez,28,DET,ALWS,1,2,.333,1.77,3,3,0,0,0,0,20.1,14,4,4,1,6,1,18,0,0,1,79,2.85,0.984,6.2,0.4,2.7,8.0,3.00,,sanchan01
7,Doug Fister,28,DET,ALWS,0,1,.000,1.40,3,3,0,0,0,0,19.1,16,3,3,0,7,0,16,2,0,0,81,2.84,1.190,7.4,0.0,3.3,7.4,2.29,,fistedo01
8,Tim Lincecum,28,SFG,NLWS,1,1,.500,2.55,6,1,0,0,0,0,17.2,9,5,5,0,5,0,20,0,0,0,67,1.68,0.792,4.6,0.0,2.5,10.2,4.00,,linceti01
9,Max Scherzer,27,DET,ALWS,1,0,1.000,2.08,3,3,0,0,0,0,17.1,12,5,4,1,4,0,26,0,0,1,68,1.54,0.923,6.2,0.5,2.1,13.5,6.50,,scherma01
10,Hiroki Kuroda,37,NYY,AL,0,1,.000,2.81,2,2,0,0,0,0,16.0,10,5,5,2,1,0,14,2,0,0,60,3.53,0.688,5.6,1.1,0.6,7.9,14.00,,kurodhi01
