Rk,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Gerrit Cole,28,HOU,ALWS,4,1,.800,1.72,5,5,0,0,0,0,36.2,21,7,7,4,11,0,47,0,0,0,138,2.97,0.873,5.2,1.0,2.7,11.5,4.27,,colege01
2,Stephen Strasburg,30,WSN,NLWS,5,0,1.000,1.98,6,5,0,0,0,0,36.1,30,9,8,4,4,1,47,0,0,1,142,2.39,0.936,7.4,1.0,1.0,11.6,11.75,WS MVP,strasst01
3,Justin Verlander,36,HOU,ALWS,1,4,.200,4.33,6,6,0,0,0,0,35.1,30,17,17,8,14,0,38,0,0,0,146,5.20,1.245,7.6,2.0,3.6,9.7,2.71,,verlaju01
4,Max Scherzer,34,WSN,NLWS,3,0,1.000,2.40,6,5,0,0,0,0,30.0,21,8,8,4,15,1,37,0,0,1,125,3.98,1.200,6.3,1.2,4.5,11.1,2.47,,scherma01
5,Zack Greinke,35,HOU,ALWS,0,2,.000,4.68,5,5,0,0,0,0,25.0,24,13,13,6,10,0,25,1,0,1,107,5.65,1.360,8.6,2.2,3.6,9.0,2.50,,greinza01
6,Patrick Corbin*,29,WSN,NLWS,2,3,.400,5.79,8,3,0,0,0,0,23.1,21,16,15,2,12,1,36,1,0,0,103,2.91,1.414,8.1,0.8,4.6,13.9,3.00,,corbipa01
7,Aníbal Sánchez,35,WSN,NLWS,1,1,.500,2.50,3,3,0,0,0,0,18.0,15,5,5,2,4,0,18,2,0,0,75,3.66,1.056,7.5,1.0,2.0,9.0,4.50,,sanchan01
8,Jack Flaherty,23,STL,NL,1,2,.333,4.24,3,3,0,0,0,0,17.0,17,8,8,2,4,0,22,1,0,3,72,3.04,1.235,9.0,1.1,2.1,11.6,5.50,,flaheja01
9,Adam Wainwright,37,STL,NL,0,1,.000,1.62,3,2,0,0,0,0,16.2,13,3,3,1,3,1,19,0,0,0,65,2.25,0.960,7.0,0.5,1.6,10.3,6.33,,wainwad01
10,Masahiro Tanaka,30,NYY,AL,2,1,.667,2.25,3,3,0,0,0,0,16.0,8,5,4,1,4,0,12,1,0,0,59,3.46,0.750,4.5,0.6,2.3,6.8,3.00,,tanakma01
11,James Paxton*,30,NYY,AL,1,0,1.000,3.46,3,3,0,0,0,0,13.0,13,5,5,2,7,0,20,0,0,1,58,3.75,1.538,9.0,1.4,4.8,13.8,2.86,,paxtoja01
12,Walker Buehler,24,LAD,NL,1,0,1.000,0.71,2,2,0,0,0,0,12.2,5,1,1,0,6,0,15,1,0,0,49,2.50,0.868,3.6,0.0,4.3,10.7,2.50,,buehlwa01
13,Miles Mikolas,30,STL,NL,1,1,.500,1.50,3,2,1,0,0,0,12.0,10,2,2,0,4,1,9,0,0,0,50,2.71,1.167,7.5,0.0,3.0,6.8,2.25,,mikolmi01
14,Sean Doolittle*,32,WSN,NLWS,0,0,,1.74,9,0,4,0,0,2,10.1,6,2,2,1,1,0,8,0,0,0,37,3.21,0.677,5.2,0.9,0.9,7.0,8.00,,doolise01
15,Charlie Morton,35,TBR,AL,2,0,1.000,0.90,2,2,0,0,0,0,10.0,8,2,1,1,5,0,13,0,0,0,43,3.41,1.300,7.2,0.9,4.5,11.7,2.60,,mortoch02
16,Roberto Osuna,24,HOU,ALWS,1,0,1.000,3.60,9,0,6,0,0,2,10.0,7,4,4,1,5,0,9,0,0,1,42,4.21,1.200,6.3,0.9,4.5,8.1,1.80,,osunaro01
17,José Urquidy,24,HOU,ALWS,1,0,1.000,0.90,4,1,1,0,0,0,10.0,9,1,1,1,2,0,12,1,0,0,41,3.01,1.100,8.1,0.9,1.8,10.8,6.00,,urquijo01
18,Will Harris,34,HOU,ALWS,0,1,.000,1.86,12,0,2,0,0,1,9.2,8,2,2,2,1,0,11,0,0,0,37,3.94,0.931,7.4,1.9,0.9,10.2,11.00,,harriwi10
19,Daniel Hudson,32,WSN,NLWS,1,0,1.000,3.72,9,0,6,0,0,4,9.2,11,4,4,1,4,2,10,1,0,0,45,4.04,1.552,10.2,0.9,3.7,9.3,2.50,,hudsoda01
20,Joe Smith,35,HOU,ALWS,0,0,,3.12,10,0,1,0,0,0,8.2,6,3,3,1,2,0,7,0,0,0,34,3.79,0.923,6.2,1.0,2.1,7.3,3.50,,smithjo05
21,Luis Severino,25,NYY,AL,0,1,.000,2.16,2,2,0,0,0,0,8.1,9,2,2,2,5,0,10,0,0,0,39,5.73,1.680,9.7,2.2,5.4,10.8,2.00,,severlu01
22,Zack Britton*,31,NYY,AL,0,0,,1.13,7,0,0,0,0,0,8.0,2,1,1,1,6,1,6,0,0,2,32,5.59,1.000,2.3,1.1,6.8,6.8,1.00,,brittza01
23,Tommy Kahnle,29,NYY,AL,1,0,1.000,2.25,8,0,0,0,0,0,8.0,4,2,2,1,3,0,8,0,0,0,32,3.96,0.875,4.5,1.1,3.4,9.0,2.67,,kahnlto01
24,Dallas Keuchel*,31,ATL,NL,0,0,,4.50,2,2,0,0,0,0,8.0,9,4,4,3,4,1,4,0,0,0,35,8.59,1.625,10.1,3.4,4.5,4.5,1.00,,keuchda01
25,Mike Foltynewicz,27,ATL,NL,1,1,.500,7.36,2,2,0,0,0,0,7.1,6,7,6,0,3,1,7,0,0,0,32,2.53,1.227,7.4,0.0,3.7,8.6,2.33,,foltymi01
26,Tyler Glasnow,25,TBR,AL,0,2,.000,7.71,2,2,0,0,0,0,7.0,9,6,6,1,3,0,8,0,0,0,33,4.07,1.714,11.6,1.3,3.9,10.3,2.67,,glasnty01
27,Joe Ross,26,WSN,WS,0,1,.000,5.14,2,1,0,0,0,0,7.0,6,4,4,2,2,0,1,0,0,1,27,7.50,1.143,7.7,2.6,2.6,1.3,0.50,,rossjo01
28,Michael Soroka,21,ATL,NL,0,0,,1.29,1,1,0,0,0,0,7.0,2,1,1,0,0,0,7,0,0,0,23,1.21,0.286,2.6,0.0,0.0,9.0,,,sorokmi01
29,Chad Green,28,NYY,AL,1,0,1.000,6.75,6,1,0,0,0,0,6.2,6,5,5,2,1,0,6,0,0,0,27,5.76,1.050,8.1,2.7,1.4,8.1,6.00,,greench03
30,Josh James,26,HOU,ALWS,2,0,1.000,5.40,9,0,2,0,0,0,6.2,8,6,4,2,7,0,14,0,0,0,35,6.06,2.250,10.8,2.7,9.5,18.9,2.00,,jamesjo02
31,Tanner Rainey,26,WSN,NLWS,0,0,,6.75,9,0,1,0,0,0,6.2,3,5,5,1,5,0,6,0,0,1,28,5.61,1.200,4.1,1.4,6.8,8.1,1.20,,raineta01
32,Clayton Kershaw*,31,LAD,NL,0,1,.000,7.11,2,1,0,0,0,0,6.1,8,5,5,2,1,0,5,2,0,0,30,7.16,1.421,11.4,2.8,1.4,7.1,5.00,,kershcl01
33,Nick Anderson,28,TBR,AL,0,0,,1.59,4,0,0,0,0,0,5.2,5,1,1,0,0,0,8,0,0,1,21,0.39,0.882,7.9,0.0,0.0,12.7,,,anderni01
34,Diego Castillo,25,TBR,AL,0,0,,0.00,4,1,0,0,0,0,5.2,5,0,0,0,2,0,8,0,0,0,23,1.45,1.235,7.9,0.0,3.2,12.7,4.00,,castidi01
35,Brad Peacock,31,HOU,ALWS,0,0,,3.18,5,1,1,0,0,0,5.2,3,2,2,0,4,0,7,0,0,0,25,2.86,1.235,4.8,0.0,6.4,11.1,1.75,,peacobr01
36,Ryan Pressly,30,HOU,ALWS,1,0,1.000,11.12,10,0,1,0,0,0,5.2,12,8,7,0,3,1,6,0,0,1,32,2.68,2.647,19.1,0.0,4.8,9.5,2.00,,pressry01
