Rk,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Adam Wainwright,31,STL,NLWS,2,3,.400,2.57,5,5,0,1,0,0,35.0,31,12,10,1,3,0,34,0,0,0,135,1.73,0.971,8.0,0.3,0.8,8.7,11.33,,wainwad01
2,Jon Lester*,29,BOS,ALWS,4,1,.800,1.56,5,5,0,0,0,0,34.2,25,6,6,3,8,0,29,2,0,0,134,3.37,0.952,6.5,0.8,2.1,7.5,3.63,,lestejo01
3,Michael Wacha,21,STL,NLWS,4,1,.800,2.64,5,5,0,0,0,0,30.2,16,9,9,3,12,3,33,1,0,0,119,3.44,0.913,4.7,0.9,3.5,9.7,2.75,NLCS MVP,wachami01
4,John Lackey,34,BOS,ALWS,3,1,.750,2.77,5,4,0,0,0,0,26.0,25,8,8,0,6,0,25,1,0,3,110,1.93,1.192,8.7,0.0,2.1,8.7,4.17,,lackejo01
5,Clayton Kershaw*,25,LAD,NL,1,2,.333,3.13,4,4,0,0,0,0,23.0,18,11,8,0,7,1,28,0,0,4,94,1.53,1.087,7.0,0.0,2.7,11.0,4.00,,kershcl01
6,Justin Verlander,30,DET,AL,1,1,.500,0.39,3,3,0,0,0,0,23.0,10,1,1,1,3,0,31,0,0,1,82,1.31,0.565,3.9,0.4,1.2,12.1,10.33,,verlaju01
7,Max Scherzer,28,DET,AL,2,1,.667,2.82,4,3,0,0,0,0,22.1,12,7,7,1,11,1,34,2,0,2,89,2.33,1.030,4.8,0.4,4.4,13.7,3.09,,scherma01
8,Joe Kelly,25,STL,NLWS,0,1,.000,4.15,4,4,0,0,0,0,21.2,20,11,10,2,9,1,19,1,0,1,93,3.88,1.338,8.3,0.8,3.7,7.9,2.11,,kellyjo05
9,Zack Greinke,29,LAD,NL,1,1,.500,2.57,3,3,0,0,0,0,21.0,14,6,6,0,2,0,17,0,0,0,76,1.71,0.762,6.0,0.0,0.9,7.3,8.50,,greinza01
10,Clay Buchholz,28,BOS,ALWS,0,0,,4.35,4,4,0,0,0,0,20.2,22,11,10,3,8,1,17,1,0,2,91,4.60,1.452,9.6,1.3,3.5,7.4,2.13,,buchhcl01
11,Lance Lynn,26,STL,NLWS,2,2,.500,5.19,5,3,1,0,0,0,17.1,19,10,10,1,11,2,17,1,0,0,80,3.91,1.731,9.9,0.5,5.7,8.8,1.55,,lynnla01
12,Aníbal Sánchez,29,DET,AL,1,2,.333,4.41,3,3,0,0,0,0,16.1,17,10,8,4,8,0,23,0,0,3,76,4.88,1.531,9.4,2.2,4.4,12.7,2.88,,sanchan01
