Rk,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Chris Carpenter,36,STL,NLWS,4,0,1.000,3.25,6,6,0,1,1,0,36.0,31,13,13,4,11,1,21,3,0,0,148,4.47,1.167,7.8,1.0,2.8,5.3,1.91,,carpech01
2,C.J. Wilson*,30,TEX,ALWS,0,3,.000,5.79,6,5,0,0,0,0,28.0,29,21,18,6,19,5,26,3,0,3,130,6.31,1.714,9.3,1.9,6.1,8.4,1.37,,wilsocj01
3,Jaime García*,24,STL,NLWS,0,2,.000,4.21,5,5,0,0,0,0,25.2,27,12,12,3,8,2,21,1,0,1,109,3.96,1.364,9.5,1.1,2.8,7.4,2.63,,garcija02
4,Derek Holland*,24,TEX,ALWS,2,0,1.000,3.38,6,4,0,0,0,0,24.0,22,11,9,6,8,0,14,1,0,1,100,6.23,1.250,8.3,2.3,3.0,5.3,1.75,,hollade01
5,Colby Lewis,31,TEX,ALWS,1,1,.500,3.04,4,4,0,0,0,0,23.2,16,10,8,4,9,0,20,0,0,1,98,4.67,1.056,6.1,1.5,3.4,7.6,2.22,,lewisco01
6,Justin Verlander,28,DET,AL,2,1,.667,5.31,4,4,0,0,0,0,20.1,19,12,12,2,10,0,25,1,0,2,91,3.47,1.426,8.4,0.9,4.4,11.1,2.50,,verlaju01
7,Yovani Gallardo,25,MIL,NL,1,1,.500,2.84,3,3,0,0,0,0,19.0,18,6,6,2,8,2,16,0,0,4,79,3.97,1.368,8.5,0.9,3.8,7.6,2.00,,gallayo01
8,Matt Harrison*,25,TEX,ALWS,1,2,.333,5.40,5,4,0,0,0,0,18.1,20,13,11,2,9,1,16,0,0,1,83,4.17,1.582,9.8,1.0,4.4,7.9,1.78,,harrima01
9,Edwin Jackson,27,STL,NLWS,1,1,.500,5.60,4,4,0,0,0,0,17.2,19,11,11,4,9,0,12,0,0,0,79,6.14,1.585,9.7,2.0,4.6,6.1,1.33,,jacksed01
10,Doug Fister,27,DET,AL,2,1,.667,4.76,3,2,0,0,0,0,17.0,19,9,9,1,4,0,13,1,1,0,72,3.14,1.353,10.1,0.5,2.1,6.9,3.25,,fistedo01
11,Zack Greinke,27,MIL,NL,1,1,.500,6.48,3,3,0,0,0,0,16.2,23,15,12,4,4,0,13,1,0,0,80,5.49,1.620,12.4,2.2,2.2,7.0,3.25,,greinza01
12,Roy Halladay,34,PHI,NL,1,1,.500,2.25,2,2,0,0,0,0,16.0,9,4,4,1,2,1,15,0,0,1,60,2.34,0.688,5.1,0.6,1.1,8.4,7.50,,hallaro01
