Rk,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Clayton Kershaw*,32,LAD,NLWS,4,1,.800,2.93,5,5,0,0,0,0,30.2,23,10,10,4,5,0,37,0,0,0,114,2.96,0.913,6.8,1.2,1.5,10.9,7.40,,kershcl01
2,Blake Snell*,27,TBR,ALWS,2,2,.500,3.03,6,6,0,0,0,0,29.2,20,10,10,5,14,0,37,0,0,2,118,4.30,1.146,6.1,1.5,4.2,11.2,2.64,,snellbl01
3,Tyler Glasnow,26,TBR,ALWS,2,3,.400,6.28,6,6,0,0,0,0,28.2,26,20,20,9,17,0,40,0,0,6,126,6.26,1.500,8.2,2.8,5.3,12.6,2.35,,glasnty01
4,Walker Buehler,25,LAD,NLWS,2,0,1.000,1.80,5,5,0,0,0,0,25.0,18,5,5,2,12,0,39,0,0,1,104,2.55,1.200,6.5,0.7,4.3,14.0,3.25,,buehlwa01
5,Framber Valdez*,26,HOU,AL,3,1,.750,1.88,4,3,1,0,0,0,24.0,14,5,5,3,10,0,26,0,0,0,90,3.90,1.000,5.3,1.1,3.8,9.8,2.60,,valdefr01
6,Max Fried*,26,ATL,NL,0,1,.000,3.04,4,4,0,0,0,0,23.2,24,8,8,4,6,0,23,1,0,0,100,4.33,1.268,9.1,1.5,2.3,8.7,3.83,,friedma01
7,Julio Urías*,23,LAD,NLWS,4,0,1.000,1.17,6,2,2,0,0,1,23.0,11,4,3,3,4,0,29,0,1,1,84,2.89,0.652,4.3,1.2,1.6,11.3,7.25,,uriasju01
8,Charlie Morton,36,TBR,ALWS,3,1,.750,2.70,4,4,0,0,0,0,20.0,18,7,6,1,5,0,23,2,0,0,86,2.59,1.150,8.1,0.5,2.3,10.4,4.60,,mortoch02
9,Ian Anderson,22,ATL,NL,2,0,1.000,0.96,4,4,0,0,0,0,18.2,11,2,2,0,10,0,24,0,0,1,77,2.23,1.125,5.3,0.0,4.8,11.6,2.40,,anderia01
10,Gerrit Cole,29,NYY,AL,2,0,1.000,2.95,3,3,0,0,0,0,18.1,13,6,6,4,4,1,30,1,0,1,74,3.57,0.927,6.4,2.0,2.0,14.7,7.50,,colege01
11,José Urquidy,25,HOU,AL,0,1,.000,4.02,4,3,0,0,0,0,15.2,12,8,7,4,6,0,12,0,0,0,67,6.13,1.149,6.9,2.3,3.4,6.9,2.00,,urquijo01
12,Nick Anderson,29,TBR,ALWS,1,2,.333,5.52,10,0,3,0,0,1,14.2,16,9,9,3,4,1,9,0,0,1,61,5.44,1.364,9.8,1.8,2.5,5.5,2.25,,anderni01
13,Zack Greinke,36,HOU,AL,1,0,1.000,4.30,3,3,0,0,0,0,14.2,12,7,7,3,5,0,12,0,0,0,59,5.24,1.159,7.4,1.8,3.1,7.4,2.40,,greinza01
14,Lance McCullers Jr.,26,HOU,AL,0,2,.000,4.91,3,3,0,0,0,0,14.2,16,12,8,7,2,0,23,2,0,0,65,7.08,1.227,9.8,4.3,1.2,14.1,11.50,,mcculla02
15,Ryan Yarbrough*,28,TBR,ALWS,1,0,1.000,3.68,5,2,1,0,0,0,14.2,16,6,6,5,4,0,7,1,0,0,63,7.69,1.364,9.8,3.1,2.5,4.3,1.75,,yarbrry01
16,Sandy Alcantara,24,MIA,NL,1,1,.500,4.26,2,2,0,0,0,0,12.2,11,6,6,2,4,0,12,2,0,0,55,4.77,1.184,7.8,1.4,2.8,8.5,3.00,,alcansa01
17,Pete Fairbanks,26,TBR,ALWS,0,0,,3.65,9,0,3,0,0,3,12.1,12,5,5,3,6,1,17,0,0,3,54,5.06,1.459,8.8,2.2,4.4,12.4,2.83,,fairbpe01
18,Blake Treinen,32,LAD,NLWS,1,1,.500,4.76,11,0,1,0,0,1,11.1,9,6,6,1,1,0,10,1,0,1,44,3.10,0.882,7.1,0.8,0.8,7.9,10.00,,treinbl01
19,Chris Bassitt,31,OAK,AL,1,0,1.000,3.27,2,2,0,0,0,0,11.0,15,4,4,2,1,0,9,0,0,1,48,4.19,1.455,12.3,1.6,0.8,7.4,9.00,,bassich01
20,Diego Castillo,26,TBR,ALWS,1,0,1.000,1.64,10,0,5,0,0,3,11.0,7,3,2,0,7,0,12,1,0,0,46,3.19,1.273,5.7,0.0,5.7,9.8,1.71,,castidi01
21,Dustin May,22,LAD,NLWS,1,0,1.000,4.22,7,3,0,0,0,0,10.2,10,6,5,1,6,1,13,1,0,0,47,3.94,1.500,8.4,0.8,5.1,11.0,2.17,,maydu01
22,John Curtiss,27,TBR,ALWS,1,0,1.000,6.30,9,1,3,0,0,0,10.0,14,7,7,3,5,0,9,0,0,0,48,6.79,1.900,12.6,2.7,4.5,8.1,1.80,,curtijo02
23,Tony Gonsolin,26,LAD,NLWS,0,2,.000,8.68,4,3,0,0,0,0,9.1,9,9,9,4,9,0,13,0,0,0,46,8.87,1.929,8.7,3.9,8.7,12.5,1.44,,gonsoto01
24,Cristian Javier,23,HOU,AL,2,0,1.000,2.89,5,0,0,0,0,0,9.1,5,3,3,1,5,0,13,1,0,0,38,3.73,1.071,4.8,1.0,4.8,12.5,2.60,,javiecr01
25,Ryan Thompson,28,TBR,ALWS,0,1,.000,1.93,9,1,1,0,0,0,9.1,7,2,2,1,4,0,10,1,0,0,38,4.05,1.179,6.8,1.0,3.9,9.6,2.50,,thompry02
26,Tyler Matzek*,29,ATL,NL,1,0,1.000,1.04,7,0,0,0,0,0,8.2,6,1,1,1,3,0,14,0,0,1,34,2.50,1.038,6.2,1.0,3.1,14.5,4.67,,matzety01
27,Chris Martin,34,ATL,NL,0,1,.000,2.25,8,0,1,0,0,0,8.0,5,2,2,1,2,0,6,1,0,0,32,4.44,0.875,5.6,1.1,2.3,6.8,3.00,,martich02
28,Sixto Sánchez,21,MIA,NL,0,1,.000,4.50,2,2,0,0,0,0,8.0,8,4,4,0,5,0,8,2,0,0,38,3.82,1.625,9.0,0.0,5.6,9.0,1.60,,sanchsi01
29,Masahiro Tanaka,31,NYY,AL,0,1,.000,12.38,2,2,0,0,0,0,8.0,13,11,11,2,4,0,7,0,0,0,41,6.19,2.125,14.6,2.3,4.5,7.9,1.75,,tanakma01
30,Pedro Báez,32,LAD,NLWS,0,0,,3.52,8,0,0,0,0,0,7.2,5,3,3,2,3,0,10,0,0,0,30,5.15,1.043,5.9,2.3,3.5,11.7,3.33,,baezpe01
31,Trevor Bauer,29,CIN,NL,0,0,,0.00,1,1,0,0,0,0,7.2,2,0,0,0,0,0,12,1,0,0,27,0.45,0.261,2.3,0.0,0.0,14.1,,,bauertr01
32,Brusdar Graterol,21,LAD,NLWS,0,0,,3.52,9,0,1,0,0,1,7.2,6,3,3,0,1,0,4,0,1,0,30,2.54,0.913,7.0,0.0,1.2,4.7,4.00,,gratebr01
33,Jesús Luzardo*,22,OAK,AL,0,1,.000,8.22,2,2,0,0,0,0,7.2,11,7,7,4,2,0,7,0,0,0,34,8.93,1.696,12.9,4.7,2.3,8.2,3.50,,luzarje01
34,Ryan Pressly,31,HOU,AL,1,0,1.000,2.45,7,0,7,0,0,4,7.1,7,2,2,0,1,0,8,0,0,2,28,1.42,1.091,8.6,0.0,1.2,9.8,8.00,,pressry01
35,Zach Davies,27,SDP,NL,0,1,.000,10.29,2,2,0,0,0,0,7.0,14,8,8,2,1,0,6,0,0,0,35,5.62,2.143,18.0,2.6,1.3,7.7,6.00,,davieza02
36,Lucas Giolito,25,CHW,AL,1,0,1.000,1.29,1,1,0,0,0,0,7.0,2,1,1,0,1,0,8,0,0,0,24,1.33,0.429,2.6,0.0,1.3,10.3,8.00,,giolilu01
37,Kenley Jansen,32,LAD,NLWS,0,1,.000,5.14,8,0,6,0,0,2,7.0,6,5,4,1,2,0,8,0,0,0,29,3.62,1.143,7.7,1.3,2.6,10.3,4.00,,janseke01
38,Enoli Paredes,24,HOU,AL,0,0,,5.14,7,0,1,0,0,0,7.0,3,4,4,1,4,0,9,2,0,0,29,5.05,1.000,3.9,1.3,5.1,11.6,2.25,,pareden01
39,Yu Darvish,33,CHC,NL,0,1,.000,2.70,1,1,0,0,0,0,6.2,5,2,2,1,2,1,6,1,0,0,26,4.69,1.050,6.8,1.4,2.7,8.1,3.00,,darviyu01
40,Victor González*,24,LAD,NLWS,1,0,1.000,2.70,8,0,0,0,0,0,6.2,5,2,2,0,4,0,5,0,0,1,27,3.49,1.350,6.8,0.0,5.4,6.8,1.25,,gonzavi02
41,Alex Wood*,29,LAD,NLWS,0,0,,1.35,4,0,0,0,0,0,6.2,5,1,1,0,3,2,8,1,0,0,29,2.59,1.200,6.8,0.0,4.1,10.8,2.67,,woodal02
42,Kyle Wright,24,ATL,NL,1,1,.500,9.45,2,2,0,0,0,0,6.2,8,7,7,2,4,0,7,1,0,0,33,7.24,1.800,10.8,2.7,5.4,9.5,1.75,,wrighky01
43,Kyle Hendricks,30,CHC,NL,0,1,.000,4.26,1,1,0,0,0,0,6.1,5,3,3,1,3,0,3,1,0,0,28,6.19,1.263,7.1,1.4,4.3,4.3,1.00,,hendrky01
44,Mark Melancon,35,ATL,NL,0,0,,0.00,7,0,6,0,0,2,6.1,2,1,0,0,0,0,5,0,0,0,22,1.61,0.316,2.8,0.0,0.0,7.1,,,melanma01
45,Jack Flaherty,24,STL,NL,0,1,.000,1.50,1,1,0,0,0,0,6.0,6,1,1,0,2,0,8,0,0,0,26,1.52,1.333,9.0,0.0,3.0,12.0,4.00,,flaheja01
46,Shane Greene,31,ATL,NL,0,0,,1.50,6,0,3,0,0,0,6.0,6,1,1,0,1,0,6,0,0,1,24,1.69,1.167,9.0,0.0,1.5,9.0,6.00,,greensh02
47,A.J. Minter*,26,ATL,NL,1,0,1.000,3.00,5,1,1,0,0,0,6.0,4,2,2,2,1,0,10,0,0,0,23,4.69,0.833,6.0,3.0,1.5,15.0,10.00,,minteaj01
48,Will Smith*,30,ATL,NL,2,1,.667,4.50,7,0,0,0,0,0,6.0,2,3,3,1,3,0,7,0,0,0,24,4.52,0.833,3.0,1.5,4.5,10.5,2.33,,smithwi04
49,Bryse Wilson,22,ATL,NL,1,0,1.000,1.50,1,1,0,0,0,0,6.0,1,1,1,1,1,0,5,0,0,0,20,4.19,0.333,1.5,1.5,1.5,7.5,5.00,,wilsobr02
50,Josh Fleming*,24,TBR,ALWS,0,0,,6.35,2,0,0,0,0,0,5.2,8,4,4,1,2,0,3,0,0,0,25,5.49,1.765,12.7,1.6,3.2,4.8,1.50,,flemijo01
51,Liam Hendriks,31,OAK,AL,1,0,1.000,3.18,3,0,2,0,0,1,5.2,6,2,2,1,1,0,12,0,0,0,25,1.78,1.235,9.5,1.6,1.6,19.1,12.00,,hendrli01
