Rk,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Zack Wheeler,32,PHI,NLWS,1,3,.250,2.78,6,6,0,0,0,0,35.2,19,12,11,2,7,0,33,4,0,0,135,2.92,0.729,4.8,0.5,1.8,8.3,4.71,,wheelza01
2,Aaron Nola,29,PHI,NLWS,2,2,.500,4.91,5,5,0,0,0,0,25.2,29,15,14,4,5,0,27,1,0,0,112,3.74,1.325,10.2,1.4,1.8,9.5,5.40,,nolaaa01
3,Yu Darvish,35,SDP,NL,2,1,.667,2.88,4,4,0,0,0,0,25.0,20,8,8,7,6,0,23,3,0,1,101,5.99,1.040,7.2,2.5,2.2,8.3,3.83,,darviyu01
4,Framber Valdez*,28,HOU,ALWS,3,0,1.000,1.44,4,4,0,0,0,0,25.0,14,6,4,1,8,0,33,1,0,0,96,2.07,0.880,5.0,0.4,2.9,11.9,4.13,,valdefr01
5,Justin Verlander,39,HOU,ALWS,2,0,1.000,5.85,4,4,0,0,0,0,20.0,23,13,13,3,8,0,25,1,0,0,91,3.91,1.550,10.4,1.4,3.6,11.3,3.13,,verlaju01
6,Joe Musgrove,29,SDP,NL,1,1,.500,2.89,3,3,0,0,0,0,18.2,15,6,6,1,6,0,18,0,0,0,74,2.84,1.125,7.2,0.5,2.9,8.7,3.00,,musgrjo01
7,Gerrit Cole,31,NYY,AL,2,1,.667,2.95,3,3,0,0,0,0,18.1,15,8,6,3,4,0,23,2,0,0,77,3.71,1.036,7.4,1.5,2.0,11.3,5.75,,colege01
8,Lance McCullers Jr.,28,HOU,ALWS,0,1,.000,5.87,3,3,0,0,0,0,15.1,16,11,10,5,4,0,18,1,0,1,67,5.98,1.304,9.4,2.9,2.3,10.6,4.50,,mcculla02
9,Ranger Suarez*,26,PHI,NLWS,2,0,1.000,1.23,5,3,1,0,0,1,14.2,9,3,2,1,6,0,13,1,0,0,61,3.66,1.023,5.5,0.6,3.7,8.0,2.17,,suarera01
10,Luis Castillo,29,SEA,AL,1,1,.500,1.88,2,2,0,0,0,0,14.1,11,3,3,2,0,0,12,1,0,0,54,3.46,0.767,6.9,1.3,0.0,7.5,,,castilu02
11,Blake Snell*,29,SDP,NL,2,0,1.000,4.61,3,3,0,0,0,0,13.2,14,7,7,1,9,0,17,0,0,1,63,3.55,1.683,9.2,0.7,5.9,11.2,1.89,,snellbl01
12,Shane Bieber,27,CLE,AL,1,0,1.000,2.03,2,2,0,0,0,0,13.1,8,3,3,2,4,0,15,0,0,1,51,3.71,0.900,5.4,1.4,2.7,10.1,3.75,,biebesh01
13,Cristian Javier,25,HOU,ALWS,2,0,1.000,0.71,3,2,0,0,0,0,12.2,2,1,1,1,5,0,16,0,0,0,44,2.80,0.553,1.4,0.7,3.6,11.4,3.20,,javiecr01
14,Nestor Cortes*,27,NYY,AL,1,0,1.000,4.50,3,3,0,0,0,0,12.0,11,6,6,2,7,0,7,0,0,0,53,5.86,1.500,8.3,1.5,5.3,5.3,1.00,,cortene01
15,Bryan Abreu,25,HOU,ALWS,0,0,,0.00,10,0,1,0,0,0,11.1,4,0,0,0,4,0,19,1,0,0,43,1.08,0.706,3.2,0.0,3.2,15.1,4.75,,abreubr01
16,José Alvarado*,27,PHI,NLWS,1,0,1.000,5.56,12,0,1,0,0,1,11.1,9,7,7,3,5,0,14,2,0,1,51,5.94,1.235,7.1,2.4,4.0,11.1,2.80,,alvarjo03
17,Nick Martinez,31,SDP,NL,0,1,.000,0.82,7,0,1,0,0,0,11.0,3,1,1,1,1,0,11,1,0,0,37,2.84,0.364,2.5,0.8,0.8,9.0,11.00,,martini01
18,Triston McKenzie,24,CLE,AL,0,0,,3.27,2,2,0,0,0,0,11.0,6,4,4,2,3,0,13,0,0,0,42,3.93,0.818,4.9,1.6,2.5,10.6,4.33,,mckentr01
19,Ryan Pressly,33,HOU,ALWS,0,0,,0.00,10,0,8,0,0,6,11.0,4,1,0,0,3,0,13,2,0,0,42,2.11,0.636,3.3,0.0,2.5,10.6,4.33,,pressry01
20,Luis Severino,28,NYY,AL,0,1,.000,4.91,2,2,0,0,0,0,11.0,13,6,6,1,1,0,12,1,0,0,48,2.66,1.273,10.6,0.8,0.8,9.8,12.00,,severlu01
21,Seranthony Domínguez,27,PHI,NLWS,2,0,1.000,1.69,9,0,2,0,0,1,10.2,7,2,2,0,1,0,18,0,0,4,40,0.02,0.750,5.9,0.0,0.8,15.2,18.00,,dominse01
22,Zach Eflin,28,PHI,NLWS,0,0,,3.38,10,0,5,0,0,1,10.2,13,4,4,1,2,0,12,0,0,0,45,2.64,1.406,11.0,0.8,1.7,10.1,6.00,,eflinza01
23,Cal Quantrill,27,CLE,AL,0,2,.000,5.40,2,2,0,0,0,0,10.0,8,7,6,3,4,0,8,0,0,0,39,6.61,1.200,7.2,2.7,3.6,7.2,2.00,,quantca01
24,Jonathan Loáisiga,27,NYY,AL,0,1,.000,0.96,6,0,0,0,0,0,9.1,9,2,1,0,1,0,4,0,0,0,35,2.58,1.071,8.7,0.0,1.0,3.9,4.00,,loaisjo01
25,Rafael Montero,31,HOU,ALWS,1,0,1.000,1.93,10,0,1,0,0,0,9.1,5,2,2,1,6,0,10,0,0,0,39,4.29,1.179,4.8,1.0,5.8,9.6,1.67,,montera01
