Rk,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Yoshinobu Yamamoto,26,LAD,NLWS,5,1,.833,1.45,6,5,1,2,0,0,37.1,23,8,6,2,6,0,33,3,0,0,144,2.79,0.777,5.5,0.5,1.4,8.0,5.50,WS MVP,yamamyo01
2,Blake Snell*,32,LAD,NLWS,3,2,.600,3.18,6,5,0,0,0,0,34.0,21,12,12,3,13,0,41,1,0,2,130,3.11,1.000,5.6,0.8,3.4,10.9,3.15,,snellbl01
3,Kevin Gausman,34,TOR,ALWS,2,3,.400,2.93,6,5,0,0,0,0,30.2,17,10,10,4,11,2,26,0,0,0,118,4.21,0.913,5.0,1.2,3.2,7.6,2.36,,gausmke01
4,Trey Yesavage,21,TOR,ALWS,3,1,.750,3.58,6,5,0,0,0,0,27.2,18,11,11,4,11,1,39,2,0,1,109,3.60,1.048,5.9,1.3,3.6,12.7,3.55,,yesavtr01
5,Tyler Glasnow,31,LAD,NLWS,0,0,,1.69,6,3,1,0,0,1,21.1,15,6,4,1,11,0,25,0,0,0,88,2.95,1.219,6.3,0.4,4.6,10.5,2.27,,glasnty01
6,Tarik Skubal*,28,DET,AL,1,0,1.000,1.74,3,3,0,0,0,0,20.2,10,4,4,2,4,0,36,0,0,0,75,1.49,0.677,4.4,0.9,1.7,15.7,9.00,,skubata01
7,Shohei Ohtani,30,LAD,NLWS,2,1,.667,4.43,4,4,0,0,0,0,20.1,16,10,10,2,7,1,28,1,0,1,83,2.84,1.131,7.1,0.9,3.1,12.4,4.00,NLCS MVP,ohtansh01
8,Shane Bieber,30,TOR,ALWS,2,1,.667,3.86,5,4,1,0,0,0,18.2,21,9,8,3,6,0,18,0,0,1,83,4.26,1.446,10.1,1.4,2.9,8.7,3.00,,biebesh01
9,George Kirby,27,SEA,AL,0,1,.000,6.00,4,4,0,0,0,0,18.0,21,12,12,4,4,0,21,1,0,1,79,4.52,1.389,10.5,2.0,2.0,10.5,5.25,,kirbyge01
10,Louis Varland,27,TOR,ALWS,0,1,.000,3.94,15,1,1,0,0,0,16.0,14,7,7,4,3,0,17,1,1,0,65,5.01,1.063,7.9,2.3,1.7,9.6,5.67,,varlalo01
11,Freddy Peralta,29,MIL,NL,1,2,.333,4.70,3,3,0,0,0,0,15.1,12,8,8,5,6,0,19,1,0,0,64,6.27,1.174,7.0,2.9,3.5,11.2,3.17,,peralfr01
12,Logan Gilbert,28,SEA,AL,1,1,.500,4.20,4,3,0,0,0,0,15.0,19,9,7,2,3,1,14,1,0,0,69,3.80,1.467,11.4,1.2,1.8,8.4,4.67,,gilbelo01
13,Bryce Miller,26,SEA,AL,1,0,1.000,2.51,3,3,0,0,0,0,14.1,10,4,4,1,5,1,9,0,0,0,55,3.83,1.047,6.3,0.6,3.1,5.7,1.80,,millebr04
14,Max Scherzer,40,TOR,ALWS,1,0,1.000,3.77,3,3,0,0,0,0,14.1,12,6,6,3,6,0,11,0,0,0,58,5.58,1.256,7.5,1.9,3.8,6.9,1.83,,scherma01
15,Cam Schlittler,24,NYY,AL,1,1,.500,1.26,2,2,0,0,0,0,14.1,13,4,2,0,0,0,14,0,0,1,56,1.18,0.907,8.2,0.0,0.0,8.8,,,schlica01
16,Jeff Hoffman,32,TOR,ALWS,0,0,,1.46,10,0,6,0,0,2,12.1,6,2,2,1,4,2,18,2,0,1,48,2.73,0.811,4.4,0.7,2.9,13.1,4.50,,hoffmje02
17,Jacob Misiorowski,23,MIL,NL,2,1,.667,1.50,3,0,0,0,0,0,12.0,7,3,2,1,3,0,16,0,0,0,46,2.30,0.833,5.3,0.8,2.3,12.0,5.33,,misioja01
18,Cristopher Sánchez*,28,PHI,NL,0,0,,2.25,2,2,0,0,0,0,12.0,9,3,3,0,3,0,13,2,0,0,50,2.22,1.000,6.8,0.0,2.3,9.8,4.33,,sanchcr01
19,Eduard Bazardo,29,SEA,AL,1,1,.500,3.86,9,0,0,0,0,0,11.2,11,5,5,3,1,1,13,0,0,0,46,4.51,1.029,8.5,2.3,0.8,10.0,13.00,,bazared01
20,Seranthony Domínguez,30,TOR,ALWS,2,0,1.000,3.18,12,0,3,0,0,0,11.1,5,4,4,2,11,0,10,1,0,1,50,6.84,1.412,4.0,1.6,8.7,7.9,0.91,,dominse01
21,Roki Sasaki,23,LAD,NLWS,0,0,,0.84,9,0,5,0,0,3,10.2,6,1,1,0,5,0,6,1,0,0,43,3.70,1.031,5.1,0.0,4.2,5.1,1.20,,sasakro01
22,Jack Flaherty,29,DET,AL,0,1,.000,3.60,3,2,0,0,0,0,10.0,7,5,4,1,8,0,12,0,0,0,41,4.44,1.500,6.3,0.9,7.2,10.8,1.50,,flaheja01
23,Matthew Boyd*,34,CHC,NL,0,1,.000,2.79,3,3,0,0,0,0,9.2,10,7,3,0,5,0,9,0,0,0,45,2.82,1.552,9.3,0.0,4.7,8.4,1.80,,boydma01
24,Max Fried*,31,NYY,AL,0,1,.000,6.75,2,2,0,0,0,0,9.1,12,7,7,1,5,0,7,0,0,0,43,4.64,1.821,11.6,1.0,4.8,6.8,1.40,,friedma01
25,Matt Brash,27,SEA,AL,1,0,1.000,2.00,8,0,0,0,0,0,9.0,3,3,2,0,5,0,10,1,0,2,37,2.91,0.889,3.0,0.0,5.0,10.0,2.00,,brashma01
26,Chad Patrick,26,MIL,NL,0,1,.000,2.00,6,0,1,0,0,0,9.0,3,2,2,2,1,0,11,0,0,0,31,3.91,0.444,3.0,2.0,1.0,11.0,11.00,,patrich01
27,Chris Bassitt,36,TOR,ALWS,0,0,,1.04,7,0,1,0,0,0,8.2,3,1,1,0,2,0,10,0,0,0,30,1.52,0.577,3.1,0.0,2.1,10.4,5.00,,bassich01
28,Eric Lauer*,30,TOR,ALWS,0,0,,3.12,5,0,2,0,0,0,8.2,6,3,3,0,6,4,8,0,0,0,38,3.37,1.385,6.2,0.0,6.2,8.3,1.33,,lauerer01
29,Luis Castillo,32,SEA,AL,1,1,.500,3.24,3,2,1,0,0,0,8.1,6,3,3,1,5,0,5,0,0,0,36,5.30,1.320,6.5,1.1,5.4,5.4,1.00,,castilu02
30,Troy Melton,24,DET,AL,1,1,.500,5.40,4,1,0,0,0,0,8.1,8,5,5,2,4,2,8,0,0,0,36,5.78,1.440,8.6,2.2,4.3,8.6,2.00,,meltotr01
31,Andrés Muñoz,26,SEA,AL,0,0,,0.00,7,0,5,0,0,2,8.1,2,0,0,0,2,0,5,0,0,0,27,2.66,0.480,2.2,0.0,2.2,5.4,2.50,,munozan01
32,Carlos Rodón*,32,NYY,AL,0,0,,9.72,2,2,0,0,0,0,8.1,10,9,9,2,5,1,8,2,0,1,41,6.86,1.800,10.8,2.2,5.4,8.6,1.60,,rodonca01
33,Jameson Taillon,33,CHC,NL,0,0,,2.25,2,2,0,0,0,0,8.0,7,2,2,0,1,0,7,0,0,0,32,1.76,1.000,7.9,0.0,1.1,7.9,7.00,,taillja01
34,Will Vest,30,DET,AL,1,0,1.000,0.00,5,0,3,0,0,1,8.0,2,0,0,0,0,0,9,1,0,0,27,1.26,0.250,2.3,0.0,0.0,10.1,,,vestwi01
35,Garrett Crochet*,26,BOS,AL,1,0,1.000,1.17,1,1,0,0,0,0,7.2,4,1,1,1,0,0,11,0,0,0,26,1.96,0.522,4.7,1.2,0.0,12.9,,,crochga01
36,Jesús Luzardo*,27,PHI,NL,0,2,.000,2.35,2,1,0,0,0,0,7.2,5,3,2,0,1,0,8,0,0,0,29,1.44,0.783,5.9,0.0,1.2,9.4,8.00,,luzarje01
37,Daniel Palencia,25,CHC,NL,3,0,1.000,3.52,6,0,0,0,0,0,7.2,5,3,3,1,2,0,3,1,0,0,29,5.22,0.913,5.9,1.2,2.3,3.5,1.50,,palenda01
38,Colin Rea,34,CHC,NL,0,1,.000,1.17,3,0,1,0,0,0,7.2,9,1,1,1,3,0,3,0,0,0,33,5.22,1.565,10.6,1.2,3.5,3.5,1.00,,reaco01
39,Kyle Finnegan,33,DET,AL,1,1,.500,3.68,6,0,0,0,0,0,7.1,7,3,3,0,2,0,3,0,0,1,30,3.14,1.227,8.6,0.0,2.5,3.7,1.50,,finneky01
40,Emmet Sheehan,25,LAD,NLWS,0,0,,8.59,6,0,0,0,0,0,7.1,13,7,7,0,5,1,6,0,0,1,39,3.54,2.455,16.0,0.0,6.1,7.4,1.20,,sheehem01
41,Gabe Speier*,30,SEA,AL,1,1,.500,6.14,7,0,0,0,0,0,7.1,6,5,5,2,2,1,6,0,0,0,30,5.86,1.091,7.4,2.5,2.5,7.4,3.00,,speiega01
42,Braydon Fisher,24,TOR,ALWS,0,0,,6.43,8,0,1,0,0,0,7.0,9,5,5,2,4,1,10,0,0,0,32,5.71,1.857,11.6,2.6,5.1,12.9,2.50,,fishebr02
43,Carlos Vargas,25,SEA,AL,0,1,.000,6.43,6,0,2,0,0,0,7.0,10,5,5,1,3,0,4,0,0,2,33,5.14,1.857,12.9,1.3,3.9,5.1,1.33,,vargaca01
44,Aaron Ashby*,27,MIL,NL,0,0,,5.40,7,3,0,0,0,0,6.2,8,5,4,1,6,0,7,1,0,0,36,6.14,2.100,10.8,1.4,8.1,9.5,1.17,,ashbyaa01
45,Shota Imanaga*,31,CHC,NL,0,1,.000,8.10,2,1,0,0,0,0,6.2,8,6,6,3,2,0,6,0,0,0,30,8.09,1.500,10.8,4.1,2.7,8.1,3.00,,imanash01
46,Jared Koenig*,31,MIL,NL,0,0,,1.35,6,0,2,0,0,0,6.2,4,1,1,1,2,0,7,0,0,0,26,3.89,0.900,5.4,1.4,2.7,9.5,3.50,,koenija01
47,Mason Fluharty*,23,TOR,ALWS,0,0,,5.68,11,0,1,0,0,0,6.1,9,5,4,1,3,1,9,0,0,1,31,3.77,1.895,12.8,1.4,4.3,12.8,3.00,,fluhama01
48,David Bednar,30,NYY,AL,0,0,,1.50,5,0,4,0,0,2,6.0,3,1,1,0,1,0,9,0,0,0,22,0.64,0.667,4.5,0.0,1.5,13.5,9.00,,bednada01
