Rk,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Justin Verlander,34,HOU,ALWS,4,1,.800,2.21,6,5,0,1,0,0,36.2,22,9,9,3,8,0,38,2,0,0,136,2.97,0.818,5.4,0.7,2.0,9.3,4.75,ALCS MVP,verlaju01
2,Clayton Kershaw*,29,LAD,NLWS,3,0,1.000,3.82,6,5,0,0,0,0,33.0,21,14,14,8,10,2,33,0,0,1,128,5.22,0.939,5.7,2.2,2.7,9.0,3.30,,kershcl01
3,Dallas Keuchel*,29,HOU,ALWS,2,2,.500,3.58,5,5,0,0,0,0,27.2,25,12,11,2,8,0,32,0,0,0,113,2.65,1.193,8.1,0.7,2.6,10.4,4.00,,keuchda01
4,Charlie Morton,33,HOU,ALWS,2,1,.667,4.24,5,4,1,0,0,0,23.1,20,11,11,2,6,0,25,2,0,1,94,3.16,1.114,7.7,0.8,2.3,9.6,4.17,,mortoch02
5,Lance McCullers Jr.,23,HOU,ALWS,1,0,1.000,2.61,5,3,1,0,0,1,20.2,13,6,6,1,9,0,19,4,0,0,82,3.84,1.065,5.7,0.4,3.9,8.3,2.11,,mcculla02
6,Masahiro Tanaka,28,NYY,AL,2,1,.667,0.90,3,3,0,0,0,0,20.0,10,2,2,0,3,0,18,0,0,2,72,1.81,0.650,4.5,0.0,1.4,8.1,6.00,,tanakma01
7,CC Sabathia*,36,NYY,AL,1,1,.500,2.37,4,4,0,0,0,0,19.0,16,7,5,1,10,1,19,1,0,0,86,3.58,1.368,7.6,0.5,4.7,9.0,1.90,,sabatc.01
8,Rich Hill*,37,LAD,NLWS,0,0,,2.55,4,4,0,0,0,0,17.2,13,5,5,3,8,2,24,0,0,1,74,4.01,1.189,6.6,1.5,4.1,12.2,3.00,,hillri01
9,Kenley Jansen,29,LAD,NLWS,1,1,.500,1.62,13,0,11,0,0,5,16.2,8,4,3,2,3,0,20,2,0,0,63,3.22,0.660,4.3,1.1,1.6,10.8,6.67,,janseke01
10,Kyle Hendricks,27,CHC,NL,1,1,.500,3.94,3,3,0,0,0,0,16.0,17,8,7,4,5,1,18,1,0,0,72,5.28,1.375,9.6,2.3,2.8,10.1,3.60,,hendrky01
