Rk,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Clayton Kershaw*,30,LAD,NLWS,2,3,.400,4.20,6,5,1,0,0,0,30.0,25,15,14,4,7,1,26,1,0,0,119,3.96,1.067,7.5,1.2,2.1,7.8,3.71,,kershcl01
2,David Price*,32,BOS,ALWS,3,1,.750,3.46,6,5,0,0,0,0,26.0,18,10,10,4,12,0,23,0,0,0,106,4.78,1.154,6.2,1.4,4.2,8.0,1.92,,priceda01
3,Walker Buehler,23,LAD,NLWS,0,1,.000,3.80,4,4,0,0,0,0,23.2,16,10,10,3,4,1,29,0,0,1,89,2.86,0.845,6.1,1.1,1.5,11.0,7.25,,buehlwa01
4,Nathan Eovaldi,28,BOS,ALWS,2,1,.667,1.61,6,2,1,0,0,0,22.1,15,5,4,1,3,0,16,0,0,0,85,2.71,0.806,6.0,0.4,1.2,6.4,5.33,,eovalna01
5,Hyun Jin Ryu*,31,LAD,NLWS,1,2,.333,5.21,4,4,0,0,0,0,19.0,23,11,11,1,3,1,20,0,0,0,82,2.21,1.368,10.9,0.5,1.4,9.5,6.67,,ryuhy01
6,Justin Verlander,35,HOU,AL,2,1,.667,4.15,3,3,0,0,0,0,17.1,11,8,8,2,8,0,17,0,0,2,71,4.08,1.096,5.7,1.0,4.2,8.8,2.13,,verlaju01
7,Rich Hill*,38,LAD,NLWS,0,0,,2.16,4,3,1,0,0,0,16.2,9,4,4,0,12,0,17,1,0,0,72,3.46,1.260,4.9,0.0,6.5,9.2,1.42,,hillri01
8,Rick Porcello,29,BOS,ALWS,1,0,1.000,3.52,5,3,0,0,0,0,15.1,15,6,6,3,2,0,11,1,0,0,64,4.86,1.109,8.8,1.8,1.2,6.5,5.50,,porceri01
9,Chris Sale*,29,BOS,ALWS,1,0,1.000,4.11,5,3,1,0,0,0,15.1,11,7,7,1,8,0,24,1,0,0,64,2.64,1.239,6.5,0.6,4.7,14.1,3.00,,salech01
10,Wade Miley*,31,MIL,NL,0,0,,1.23,4,4,0,0,0,0,14.2,10,2,2,1,4,0,9,0,0,0,58,3.64,0.955,6.1,0.6,2.5,5.5,2.25,,mileywa01
11,Gerrit Cole,27,HOU,AL,1,1,.500,3.46,2,2,0,0,0,0,13.0,9,6,5,1,2,0,17,0,0,0,51,2.01,0.846,6.2,0.7,1.4,11.8,8.50,,colege01
12,Jhoulys Chacín,30,MIL,NL,2,1,.667,1.46,3,3,0,0,0,0,12.1,9,2,2,1,6,1,9,0,0,0,51,4.21,1.216,6.6,0.7,4.4,6.6,1.50,,chacijh01
13,Brandon Woodruff,25,MIL,NL,1,1,.500,2.19,4,1,1,0,0,0,12.1,7,3,3,0,3,1,20,2,0,0,46,1.13,0.811,5.1,0.0,2.2,14.6,6.67,,woodrbr01
