"player","team","year","war","g","pa","ab","r","h","x2b","x3b","hr","rbi","sb","cs","bb","so","ba","obp","slg","ops","ops_plus","r_oba","rbat","tb","gidp","hbp","sh","sf","ibb","pos","awards","war_to_2","g_to_2","pa_to_2","ab_to_2","r_to_2","h_to_2","x2b_to_2","x3b_to_2","hr_to_2","rbi_to_2","sb_to_2","cs_to_2","bb_to_2","so_to_2","ba_to_2","obp_to_2","slg_to_2","ops_to_2","ops_plus_to_2","r_oba_to_2","rbat_to_2","tb_to_2","gidp_to_2","hbp_to_2","sh_to_2","sf_to_2","ibb_to_2","dummy_team_change","position","age","years_contract","contract_value","average_annual_contract_value","years_experience","id_contract"
"Chris Young","KCR","2015",0.1,3,4,4,0,2,0,0,0,3,0,0,0,1,0.5,0.5,0.5,1,173,0.448,189,2,0,0,0,0,0,"1",0,0.1,3,4,4,0,2,0,0,0,3,0,0,0,1,0.5,0.5,0.5,1,173,0.448,189,2,0,0,0,0,0,1,"RP",36.2,1,675000,675000,3,487
"Chris Young","KCR","2015",0.1,3,4,4,0,2,0,0,0,3,0,0,0,1,0.5,0.5,0.5,1,173,0.448,189,2,0,0,0,0,0,"1",0,0.1,3,4,4,0,2,0,0,0,3,0,0,0,1,0.5,0.5,0.5,1,173,0.448,189,2,0,0,0,0,0,1,"RP",36.2,1,675000,675000,3,488
"Chris Young","BOS","2016",1.5,76,227,203,29,56,18,0,9,24,4,2,21,50,0.276,0.352,0.498,0.85,121,0.366,123,101,4,3,0,0,0,"7H/89D",0,1.5,76,227,203,29,56,18,0,9,24,4,2,21,50,0.276,0.352,0.498,0.85,121,0.366,123,101,4,3,0,0,0,1,"RP",37.2,2,12250000,6125000,4,489
"Chris Young","BOS","2016",1.5,76,227,203,29,56,18,0,9,24,4,2,21,50,0.276,0.352,0.498,0.85,121,0.366,123,101,4,3,0,0,0,"7H/89D",0,1.5,76,227,203,29,56,18,0,9,24,4,2,21,50,0.276,0.352,0.498,0.85,121,0.366,123,101,4,3,0,0,0,1,"RP",37.2,2,12250000,6125000,4,490
"Chris Young","KCR","2016",0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-133,0,0,0,0,0,0,"1",0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-133,0,0,0,0,0,0,1,"RP",37.2,2,12250000,6125000,4,489
"Chris Young","KCR","2016",0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-133,0,0,0,0,0,0,"1",0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-133,0,0,0,0,0,0,1,"RP",37.2,2,12250000,6125000,4,490
"Chris Young","BOS","2017",-0.2,90,276,243,30,57,12,2,7,25,3,2,30,55,0.235,0.322,0.387,0.709,86,0.315,85,94,4,2,0,1,0,"7DH/9",0,-0.2,90,276,243,30,57,12,2,7,25,3,2,30,55,0.235,0.322,0.387,0.709,86,0.315,85,94,4,2,0,1,0,1,"RP",38.2,2,12250000,6125000,5,489
"Chris Young","BOS","2017",-0.2,90,276,243,30,57,12,2,7,25,3,2,30,55,0.235,0.322,0.387,0.709,86,0.315,85,94,4,2,0,1,0,"7DH/9",0,-0.2,90,276,243,30,57,12,2,7,25,3,2,30,55,0.235,0.322,0.387,0.709,86,0.315,85,94,4,2,0,1,0,1,"RP",38.2,2,12250000,6125000,5,490
"Chris Young","BOS","2017",-0.2,90,276,243,30,57,12,2,7,25,3,2,30,55,0.235,0.322,0.387,0.709,86,0.315,85,94,4,2,0,1,0,"7DH/9",0,-0.2,90,276,243,30,57,12,2,7,25,3,2,30,55,0.235,0.322,0.387,0.709,86,0.315,85,94,4,2,0,1,0,1,"RF",38.2,2,16911150.8551805,8455575.42759023,6,491
"Chris Young","BOS","2017",-0.2,90,276,243,30,57,12,2,7,25,3,2,30,55,0.235,0.322,0.387,0.709,86,0.315,85,94,4,2,0,1,0,"7DH/9",0,-0.2,90,276,243,30,57,12,2,7,25,3,2,30,55,0.235,0.322,0.387,0.709,86,0.315,85,94,4,2,0,1,0,1,"RF",38.2,2,16911150.8551805,8455575.42759023,6,492
"Chris Young","KCR","2017",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"RP",38.2,2,12250000,6125000,5,489
"Chris Young","KCR","2017",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"RP",38.2,2,12250000,6125000,5,490
"Chris Young","KCR","2017",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"RF",38.2,2,16911150.8551805,8455575.42759023,6,491
"Chris Young","KCR","2017",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"RF",38.2,2,16911150.8551805,8455575.42759023,6,492
"Chris Young","LAA","2018",-0.7,56,128,113,17,19,2,1,6,13,2,0,11,37,0.168,0.252,0.363,0.615,68,0.279,66,41,1,2,1,1,0,"987H/D",0,-0.7,56,128,113,17,19,2,1,6,13,2,0,11,37,0.168,0.252,0.363,0.615,68,0.279,66,41,1,2,1,1,0,1,"RF",39.2,2,16911150.8551805,8455575.42759023,7,491
"Chris Young","LAA","2018",-0.7,56,128,113,17,19,2,1,6,13,2,0,11,37,0.168,0.252,0.363,0.615,68,0.279,66,41,1,2,1,1,0,"987H/D",0,-0.7,56,128,113,17,19,2,1,6,13,2,0,11,37,0.168,0.252,0.363,0.615,68,0.279,66,41,1,2,1,1,0,1,"RF",39.2,2,16911150.8551805,8455575.42759023,7,492
"Chris Young","LAA","2018",-0.7,56,128,113,17,19,2,1,6,13,2,0,11,37,0.168,0.252,0.363,0.615,68,0.279,66,41,1,2,1,1,0,"987H/D",0,-0.7,56,128,113,17,19,2,1,6,13,2,0,11,37,0.168,0.252,0.363,0.615,68,0.279,66,41,1,2,1,1,0,1,NA,39.2,1,2000000,2000000,8,493
"Christian Bethancourt","2TM","2022",1.1,100,333,318,39,80,17,0,11,34,5,1,12,80,0.252,0.283,0.409,0.692,100,0.309,101,130,6,2,1,0,0,"23HD/15",0,1.1,100,333,318,39,80,17,0,11,34,5,1,12,80,0.252,0.283,0.409,0.692,100,0.309,101,130,6,2,1,0,0,1,"C",30.9,1,780223.372192982,780223.372192982,0,494
"Christian Bethancourt","TBR","2023",0.7,104,332,315,49,71,16,0,11,33,1,0,13,91,0.225,0.254,0.381,0.635,73,0.281,73,120,6,0,1,3,0,"2/H1D",0,0.7,104,332,315,49,71,16,0,11,33,1,0,13,91,0.225,0.254,0.381,0.635,73,0.281,73,120,6,0,1,3,0,1,"C",31.9,1,1436043.72513222,1436043.72513222,1,495
"Christian Bethancourt","2TM","2024",0.4,62,147,139,18,29,7,0,5,22,3,0,5,36,0.209,0.241,0.367,0.608,67,0.278,67,51,2,1,2,0,0,"2/DH",0,0.4,62,147,139,18,29,7,0,5,22,3,0,5,36,0.209,0.241,0.367,0.608,67,0.278,67,51,2,1,2,0,0,1,"C",32.9,1,1434591.24780944,1434591.24780944,2,496
"Cj Cron","DET","2020",0.3,13,52,42,9,8,3,0,4,8,0,0,9,16,0.19,0.346,0.548,0.894,141,0.374,135,23,2,1,0,0,0,"3",0,0.3,13,52,42,9,8,3,0,4,8,0,0,9,16,0.19,0.346,0.548,0.894,141,0.374,135,23,2,1,0,0,0,1,"1B",30.6,1,6100000,6100000,0,497
"Cj Cron","COL","2021",3.4,142,547,470,70,132,31,1,28,92,1,0,60,117,0.281,0.375,0.53,0.905,129,0.393,133,249,11,13,0,4,3,"3H/D",0,3.4,142,547,470,70,132,31,1,28,92,1,0,60,117,0.281,0.375,0.53,0.905,129,0.393,133,249,11,13,0,4,3,1,"1B",31.6,1,1183156.3001569,1183156.3001569,1,498
"Cj Cron","2TM","2023",-0.5,71,278,258,38,64,12,0,12,37,0,0,17,65,0.248,0.295,0.434,0.729,89,0.315,85,112,13,1,0,2,0,"3/DH",0,-0.5,71,278,258,38,64,12,0,12,37,0,0,17,65,0.248,0.295,0.434,0.729,89,0.315,85,112,13,1,0,2,0,1,"1B",33.6,2,15424173.3440128,7712086.67200638,2,499
"Clay Buchholz","ARI","2018",-0.2,16,37,31,0,2,1,0,0,1,0,0,1,17,0.065,0.094,0.097,0.191,-49,0.089,-110,3,0,0,5,0,0,"1",0,-0.2,16,37,31,0,2,1,0,0,1,0,0,1,17,0.065,0.094,0.097,0.191,-49,0.089,-110,3,0,0,5,0,0,1,"SP/SP3",34,1,1500000,1500000,5.02,505
"Clay Holmes","2TM","2021",0,47,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-125,0,0,0,0,0,0,"1",0,0,47,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-125,0,0,0,0,0,0,0,"RP/CL",28.3,1,769051.595101982,769051.595101982,0,507
"Clayton Richard","CHC","2015",0.1,22,15,14,1,2,2,0,0,3,0,0,1,6,0.143,0.2,0.286,0.486,33,0.215,18,4,0,0,0,0,0,"1",0,0.1,22,15,14,1,2,2,0,0,3,0,0,1,6,0.143,0.2,0.286,0.486,33,0.215,18,4,0,0,0,0,0,1,"RP",31.9,1,687225.311355765,687225.311355765,0,515
"Clayton Richard","2TM","2016",-0.1,37,21,17,0,1,0,0,0,1,0,0,1,9,0.059,0.111,0.059,0.17,-52,0.089,-100,1,0,0,3,0,0,"1/H",0,-0.1,37,21,17,0,1,0,0,0,1,0,0,1,9,0.059,0.111,0.059,0.17,-52,0.089,-100,1,0,0,3,0,0,1,"SP",32.9,1,672362.379948466,672362.379948466,1,516
"Clayton Richard","SDP","2017",0.1,31,68,57,2,7,1,0,1,4,0,0,1,31,0.123,0.167,0.193,0.36,-4,0.164,-34,11,0,2,8,0,0,"1",0,0.1,31,68,57,2,7,1,0,1,4,0,0,1,31,0.123,0.167,0.193,0.36,-4,0.164,-34,11,0,2,8,0,0,0,"RP",33.9,1,1750000,1750000,2,517
"Clayton Richard","SDP","2018",0.1,26,51,42,3,4,1,0,1,3,0,0,2,24,0.095,0.156,0.19,0.346,-4,0.16,-32,8,0,1,6,0,0,"1/H",0,0.1,26,51,42,3,4,1,0,1,3,0,0,2,24,0.095,0.156,0.19,0.346,-4,0.16,-32,8,0,1,6,0,0,0,"SP",34.9,2,7641628.32683012,3820814.16341506,3,518
"Clint Barmes","PIT","2012",1.2,144,493,455,34,104,16,1,8,45,0,2,20,106,0.229,0.272,0.321,0.593,64,0.267,59,146,9,8,8,2,3,"6/H3",0,1.2,144,493,455,34,104,16,1,8,45,0,2,20,106,0.229,0.272,0.321,0.593,64,0.267,59,146,9,8,8,2,3,1,"SS",33.4,2,10500000,5250000,0,519
"Clint Barmes","PIT","2013",0.2,108,330,304,22,64,15,0,5,23,0,0,14,70,0.211,0.249,0.309,0.558,58,0.258,52,94,5,2,9,1,3,"6/H",0,0.2,108,330,304,22,64,15,0,5,23,0,0,14,70,0.211,0.249,0.309,0.558,58,0.258,52,94,5,2,9,1,3,1,"SS",34.4,2,10500000,5250000,1,519
"Clint Barmes","PIT","2014",0.7,48,116,102,15,25,5,0,0,7,1,1,9,18,0.245,0.328,0.294,0.622,77,0.289,77,30,2,4,0,1,2,"64/H35",0,0.7,48,116,102,15,25,5,0,0,7,1,1,9,18,0.245,0.328,0.294,0.622,77,0.289,77,30,2,4,0,1,2,0,"SS",35.4,1,2757798.54306696,2757798.54306696,2,520
"Clint Barmes","SDP","2015",0.2,98,224,207,24,48,14,1,3,16,0,1,10,55,0.232,0.281,0.353,0.633,76,0.296,83,73,0,4,3,0,2,"6H/3",0,0.2,98,224,207,24,48,14,1,3,16,0,1,10,55,0.232,0.281,0.353,0.633,76,0.296,83,73,0,4,3,0,2,1,"SS",36.4,1,1500000,1500000,3,521
"Cody Bellinger","CHC","2023",4.8,130,556,499,95,153,29,1,26,97,20,6,40,87,0.307,0.356,0.525,0.881,139,0.382,141,262,7,5,0,12,3,"83/DH",2,4.8,130,556,499,95,153,29,1,26,97,20,6,40,87,0.307,0.356,0.525,0.881,139,0.382,141,262,7,5,0,12,3,1,"CF/1B",28.1,1,17500000,17500000,0,522
"Cody Bellinger","CHC","2024",2.2,130,569,516,72,137,23,3,18,78,9,2,45,89,0.266,0.325,0.426,0.751,111,0.326,108,220,10,3,0,5,7,"98D3/7",0,2.2,130,569,516,72,137,23,3,18,78,9,2,45,89,0.266,0.325,0.426,0.751,111,0.326,108,220,10,3,0,5,7,0,"CF/1B",29.1,3,80000000,26666666.6666667,1,523
"Cody Bellinger","NYY","2025",5.1,152,656,588,89,160,25,5,29,98,13,2,57,90,0.272,0.334,0.48,0.813,124,0.349,123,282,8,2,0,9,1,"798/3H",2,5.1,152,656,588,89,160,25,5,29,98,13,2,57,90,0.272,0.334,0.48,0.813,124,0.349,123,282,8,2,0,9,1,0,"CF/1B",30.1,3,80000000,26666666.6666667,2,523
"Cody Ross","BOS","2012",2.2,130,528,476,70,127,34,1,22,81,2,3,42,129,0.267,0.326,0.481,0.807,115,0.353,118,229,11,3,1,6,3,"97D/8H",0,2.2,130,528,476,70,127,34,1,22,81,2,3,42,129,0.267,0.326,0.481,0.807,115,0.353,118,229,11,3,1,6,3,1,NA,31.6,1,3000000,3000000,6.058,524
"Cody Ross","ARI","2013",2.3,94,351,317,33,88,17,1,8,38,3,2,25,50,0.278,0.331,0.413,0.745,104,0.328,100,131,10,3,1,5,1,"79H",0,2.3,94,351,317,33,88,17,1,8,38,3,2,25,50,0.278,0.331,0.413,0.745,104,0.328,100,131,10,3,1,5,1,1,NA,32.6,3,26000000,8666666.66666667,7.058,525
"Cody Ross","ARI","2014",-1,83,219,202,15,51,8,0,2,15,0,0,15,44,0.252,0.306,0.322,0.628,75,0.29,73,65,3,1,0,1,0,"7H9",0,-1,83,219,202,15,51,8,0,2,15,0,0,15,44,0.252,0.306,0.322,0.628,75,0.29,73,65,3,1,0,1,0,1,NA,33.6,3,26000000,8666666.66666667,8.058,525
"Cody Ross","OAK","2015",-0.5,9,25,22,3,2,0,0,0,3,0,0,3,6,0.091,0.2,0.091,0.291,-14,0.154,-22,2,0,0,0,0,0,"/97HD",0,-0.5,9,25,22,3,2,0,0,0,3,0,0,3,6,0.091,0.2,0.091,0.291,-14,0.154,-22,2,0,0,0,0,0,1,NA,34.6,3,26000000,8666666.66666667,9.058,525
"Colby Lewis","TEX","2014",0.1,2,5,5,0,2,0,0,0,1,0,0,0,2,0.4,0.4,0.4,0.8,125,0.363,128,2,0,0,0,0,0,"1",0,0.1,2,5,5,0,2,0,0,0,1,0,0,0,2,0.4,0.4,0.4,0.8,125,0.363,128,2,0,0,0,0,0,0,"SP/SP3",35,1,2000000,2000000,0,526
"Colby Lewis","TEX","2015",0,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,-145,0,0,0,0,0,0,"1",0,0,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,-145,0,0,0,0,0,0,0,"SP/SP3",36,1,4000000,4000000,1,527
"Colby Rasmus","HOU","2015",3,137,485,432,67,103,23,2,25,61,2,1,47,154,0.238,0.314,0.475,0.789,116,0.343,117,205,6,2,1,3,0,"789H",0,3,137,485,432,67,103,23,2,25,61,2,1,47,154,0.238,0.314,0.475,0.789,116,0.343,117,205,6,2,1,3,0,1,"LF",29,1,8000000,8000000,6,529
"Colby Rasmus","HOU","2016",2.6,107,417,369,38,76,10,0,15,54,4,1,43,121,0.206,0.286,0.355,0.641,77,0.287,76,131,5,0,1,4,0,"789/HD",0,2.6,107,417,369,38,76,10,0,15,54,4,1,43,121,0.206,0.286,0.355,0.641,77,0.287,76,131,5,0,1,4,0,0,"LF",30,1,15800000,15800000,7,530
"Colby Rasmus","TBR","2017",1.2,37,129,121,17,34,7,1,9,23,1,0,7,45,0.281,0.318,0.579,0.896,137,0.367,130,70,1,0,0,1,2,"7/9HD8",0,1.2,37,129,121,17,34,7,1,9,23,1,0,7,45,0.281,0.318,0.579,0.896,137,0.367,130,70,1,0,0,1,2,1,"LF",31,1,5000000,5000000,8,531
"Colby Rasmus","BAL","2018",-0.2,18,49,45,5,6,1,0,1,1,0,0,3,19,0.133,0.204,0.222,0.426,18,0.194,9,10,0,1,0,0,0,"9/H7D8",0,-0.2,18,49,45,5,6,1,0,1,1,0,0,3,19,0.133,0.204,0.222,0.426,18,0.194,9,10,0,1,0,0,0,1,"LF",32,1,3000000,3000000,8.103,532
"Colin Rea","CHC","2025",0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-108,0,0,0,0,0,0,"1",0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-108,0,0,0,0,0,0,1,"SP",35.1,1,5000000,5000000,1,537
"Collin Mchugh","TBR","2021",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"RP",34.2,1,1800000,1800000,1,539
"Corban Joseph","BAL","2018",-0.2,14,19,18,1,4,1,0,0,3,0,0,1,5,0.222,0.263,0.278,0.541,50,0.238,40,5,0,0,0,0,0,"/H34D",0,-0.2,14,19,18,1,4,1,0,0,3,0,0,1,5,0.222,0.263,0.278,0.541,50,0.238,40,5,0,0,0,0,0,1,"1B",29.8,1,694114.573020403,694114.573020403,0.027,542
"Corban Joseph","3TM","2019",-0.6,28,68,64,5,10,3,0,1,7,0,0,3,12,0.156,0.191,0.25,0.441,18,0.204,15,16,2,0,0,1,0,"4H/59D",0,-0.6,28,68,64,5,10,3,0,1,7,0,0,3,12,0.156,0.191,0.25,0.441,18,0.204,15,16,2,0,0,1,0,1,"1B",30.8,1,691688.341292727,691688.341292727,0.066,543
"Corey Dickerson","MIA","2020",0.2,52,210,194,25,50,5,1,7,17,1,1,15,35,0.258,0.311,0.402,0.713,91,0.321,95,78,5,0,0,0,1,"7/D9H",0,0.2,52,210,194,25,50,5,1,7,17,1,1,15,35,0.258,0.311,0.402,0.713,91,0.321,95,78,5,0,0,0,1,1,"LF",31.2,2,17500000,8750000,6.101,544
"Corey Dickerson","2TM","2021",0.3,109,365,336,43,91,18,5,6,29,6,5,25,68,0.271,0.326,0.408,0.734,98,0.312,92,137,8,3,0,1,1,"7H8/D9",0,0.3,109,365,336,43,91,18,5,6,29,6,5,25,68,0.271,0.326,0.408,0.734,98,0.312,92,137,8,3,0,1,1,1,"LF",32.2,2,17500000,8750000,7.101,544
"Corey Dickerson","STL","2022",-0.2,96,297,281,28,75,17,1,6,36,0,0,12,48,0.267,0.3,0.399,0.698,98,0.305,95,112,4,2,0,2,1,"7DH9/1",0,-0.2,96,297,281,28,75,17,1,6,36,0,0,12,48,0.267,0.3,0.399,0.698,98,0.305,95,112,4,2,0,2,1,1,"LF",33.2,1,5000000,5000000,8.101,545
"Corey Dickerson","WSN","2023",-0.6,50,152,144,12,36,7,1,2,17,0,1,7,28,0.25,0.283,0.354,0.637,76,0.279,75,51,3,0,0,1,0,"7/HD9",0,-0.6,50,152,144,12,36,7,1,2,17,0,1,7,28,0.25,0.283,0.354,0.637,76,0.279,75,51,3,0,0,1,0,1,"LF",34.2,1,2250000,2250000,9.101,546
"Corey Hart","SEA","2014",-0.5,68,255,232,17,47,9,0,6,21,2,0,16,59,0.203,0.271,0.319,0.59,71,0.278,72,74,1,6,0,1,1,"D/9H37",0,-0.5,68,255,232,17,47,9,0,6,21,2,0,16,59,0.203,0.271,0.319,0.59,71,0.278,72,74,1,6,0,1,1,1,"RF",32.4,1,6000000,6000000,0.038,547
"Corey Hart","PIT","2015",-0.5,35,57,54,3,12,1,0,2,9,0,0,1,19,0.222,0.246,0.352,0.597,62,0.251,43,19,5,1,0,1,1,"H/39D",0,-0.5,35,57,54,3,12,1,0,2,9,0,0,1,19,0.222,0.246,0.352,0.597,62,0.251,43,19,5,1,0,1,1,1,"RF",33.4,1,2500000,2500000,1.038,548
"Corey Kluber","NYY","2021",0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-125,0,0,0,0,0,0,"1",0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-125,0,0,0,0,0,0,1,"SP/SP3",35.3,1,11000000,11000000,8.074,549
"Cory Gearrin","SFG","2015",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"/1",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"RP",29.3,1,687225.311355765,687225.311355765,0,552
"Cory Gearrin","SFG","2017",0,66,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,-138,0,0,0,0,0,0,"1",0,0,66,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,-138,0,0,0,0,0,0,0,"RP",31.3,1,1365900.64599534,1365900.64599534,1,553
"Cory Gearrin","2TM","2018",0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"RP",32.3,1,2133287.90790674,2133287.90790674,2,554
"Cory Gearrin","2TM","2019",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"RP",33.3,1,1400000,1400000,3,555
"Craig Breslow","BOS","2015",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RP",35,1,2000000,2000000,7.088,557
"Craig Breslow","MIA","2016",0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"RP",36,1,1500000,1500000,8.088,558
"Craig Gentry","LAA","2016",-0.4,14,39,34,2,5,1,0,0,2,0,0,3,6,0.147,0.237,0.176,0.413,18,0.195,6,6,2,1,1,0,0,"7/H8D",0,-0.4,14,39,34,2,5,1,0,0,2,0,0,3,6,0.147,0.237,0.176,0.413,18,0.195,6,6,2,1,1,0,0,1,"LF/RF",32.7,1,1000000,1000000,0,560
"Craig Gentry","BAL","2017",0.2,77,117,101,17,26,5,1,2,11,5,4,11,24,0.257,0.333,0.386,0.719,95,0.306,91,39,1,1,3,1,0,"97H/8D",0,0.2,77,117,101,17,26,5,1,2,11,5,4,11,24,0.257,0.333,0.386,0.719,95,0.306,91,39,1,1,3,1,0,1,"LF/RF",33.7,1,695958.90057858,695958.90057858,1,561
"Craig Gentry","BAL","2018",1.1,68,169,156,13,42,5,2,1,11,12,3,11,31,0.269,0.321,0.346,0.668,85,0.306,84,54,2,1,1,0,0,"798H",0,1.1,68,169,156,13,42,5,2,1,11,12,3,11,31,0.269,0.321,0.346,0.668,85,0.306,84,54,2,1,1,0,0,0,"LF/RF",34.7,1,900000,900000,2,562
"Craig Kimbrel","CHC","2019",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"RP/CL",31.2,3,43000000,14333333.3333333,0,563
"Craig Kimbrel","CHC","2020",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"RP/CL",32.2,3,43000000,14333333.3333333,1,563
"Craig Kimbrel","2TM","2021",0,39,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-125,0,0,0,0,0,0,"1",1,0,39,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-125,0,0,0,0,0,0,1,"RP/CL",33.2,3,43000000,14333333.3333333,2,563
"Craig Kimbrel","BAL","2024",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"RP/CL",36.2,1,13000000,13000000,4,565
"Craig Stammen","SDP","2017",0.3,57,8,6,2,3,1,0,0,0,0,0,2,2,0.5,0.625,0.667,1.292,247,0.541,253,4,0,0,0,0,0,"1",0,0.3,57,8,6,2,3,1,0,0,0,0,0,2,2,0.5,0.625,0.667,1.292,247,0.541,253,4,0,0,0,0,0,1,"RP",33.4,1,900000,900000,1,568
"Craig Stammen","SDP","2018",0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RP",34.4,2,4500000,2250000,2,569
"Craig Stammen","SDP","2019",0,72,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-133,0,0,0,0,0,0,"1",0,0,72,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-133,0,0,0,0,0,0,0,"RP",35.4,2,4500000,2250000,3,569
"Craig Stammen","SDP","2019",0,72,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-133,0,0,0,0,0,0,"1",0,0,72,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-133,0,0,0,0,0,0,0,"RP",35.4,2,5608283.84831941,2804141.9241597,4,570
"Craig Stammen","SDP","2021",0,64,7,5,0,1,0,0,0,0,0,0,0,3,0.2,0.2,0.2,0.4,13,0.18,-36,1,0,0,2,0,0,"1",0,0,64,7,5,0,1,0,0,0,0,0,0,0,3,0.2,0.2,0.2,0.4,13,0.18,-36,1,0,0,2,0,0,0,"RP",37.4,2,9000000,4500000,7,571
"Craig Stammen","SDP","2021",0,64,7,5,0,1,0,0,0,0,0,0,0,3,0.2,0.2,0.2,0.4,13,0.18,-36,1,0,0,2,0,0,"1",0,0,64,7,5,0,1,0,0,0,0,0,0,0,3,0.2,0.2,0.2,0.4,13,0.18,-36,1,0,0,2,0,0,0,"RP",37.4,2,10648406.7014121,5324203.35070603,8,572
"Curt Casali","SFG","2021",0.6,77,231,200,20,42,11,1,5,26,0,0,26,66,0.21,0.313,0.35,0.663,81,0.299,80,70,3,4,1,0,4,"2H/3",0,0.6,77,231,200,20,42,11,1,5,26,0,0,26,66,0.21,0.313,0.35,0.663,81,0.299,80,70,3,4,1,0,4,1,"C",32.8,1,1500000,1500000,0,574
