"player","team","year","war","g","pa","ab","r","h","x2b","x3b","hr","rbi","sb","cs","bb","so","ba","obp","slg","ops","ops_plus","r_oba","rbat","tb","gidp","hbp","sh","sf","ibb","pos","awards","war_to_2","g_to_2","pa_to_2","ab_to_2","r_to_2","h_to_2","x2b_to_2","x3b_to_2","hr_to_2","rbi_to_2","sb_to_2","cs_to_2","bb_to_2","so_to_2","ba_to_2","obp_to_2","slg_to_2","ops_to_2","ops_plus_to_2","r_oba_to_2","rbat_to_2","tb_to_2","gidp_to_2","hbp_to_2","sh_to_2","sf_to_2","ibb_to_2","dummy_team_change","position","age","years_contract","contract_value","average_annual_contract_value","years_experience","id_contract"
"Adam Frazier","BAL","2023",1.7,141,455,412,59,99,21,2,13,60,11,4,32,68,0.24,0.3,0.396,0.696,94,0.307,95,163,4,4,4,2,0,"4H/97D",0,1.7,141,455,412,59,99,21,2,13,60,11,4,32,68,0.24,0.3,0.396,0.696,94,0.307,95,163,4,4,4,2,0,1,"2B/RF/DH",31.7,1,8000000,8000000,0,20
"Adam Frazier","KCR","2024",0.4,104,294,262,35,53,10,1,4,22,3,0,22,59,0.202,0.282,0.294,0.576,65,0.269,67,77,0,7,3,0,0,"4H9D7/53",0,0.4,104,294,262,35,53,10,1,4,22,3,0,22,59,0.202,0.282,0.294,0.576,65,0.269,67,77,0,7,3,0,0,1,"2B/RF/DH",32.7,1,4500000,4500000,1,21
"Adam Frazier","2TM","2025",1.4,134,459,419,43,112,20,0,7,44,8,6,26,81,0.267,0.319,0.365,0.684,91,0.302,90,153,8,8,1,5,2,"47H9/D5",0,1.4,134,459,419,43,112,20,0,7,44,8,6,26,81,0.267,0.319,0.365,0.684,91,0.302,90,153,8,8,1,5,2,1,"2B/RF/DH",33.7,1,1525000,1525000,2,22
"Adam Kolarek","TBR","2018",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"RP",29.6,1,694114.573020403,694114.573020403,0,23
"Adam Kolarek","LAD","2020",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/9",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"RP",31.6,1,715031.793883292,715031.793883292,1,24
"Adam Laroche","WSN","2013",0.6,152,590,511,70,121,19,3,20,62,4,1,72,131,0.237,0.332,0.403,0.735,101,0.33,100,206,13,3,0,4,10,"3/HD",0,0.6,152,590,511,70,121,19,3,20,62,4,1,72,131,0.237,0.332,0.403,0.735,101,0.33,100,206,13,3,0,4,10,0,"DH",33.8,2,24000000,12000000,9,26
"Adam Laroche","WSN","2014",2.4,140,586,494,73,128,19,0,26,92,3,0,82,108,0.259,0.362,0.455,0.817,124,0.365,127,225,13,2,0,8,9,"3/HD",0,2.4,140,586,494,73,128,19,0,26,92,3,0,82,108,0.259,0.362,0.455,0.817,124,0.365,127,225,13,2,0,8,9,0,"DH",34.8,2,24000000,12000000,10,26
"Adam Laroche","CHW","2015",-0.5,127,484,429,41,89,21,0,12,44,0,0,49,133,0.207,0.293,0.34,0.634,78,0.292,80,146,10,4,0,2,0,"D3/H1",0,-0.5,127,484,429,41,89,21,0,12,44,0,0,49,133,0.207,0.293,0.34,0.634,78,0.292,80,146,10,4,0,2,0,1,"DH",35.8,2,25000000,12500000,11,27
"Adam Moore","SDP","2014",-0.1,9,12,10,1,2,1,0,0,1,0,0,2,5,0.2,0.333,0.3,0.633,86,0.262,59,3,0,0,0,0,1,"/H2",0,-0.1,9,12,10,1,2,1,0,0,1,0,0,2,5,0.2,0.333,0.3,0.633,86,0.262,59,3,0,0,0,0,1,1,"C",30.2,1,689449.635766739,689449.635766739,0,28
"Adam Moore","TBR","2018",0,8,20,18,2,4,1,0,1,2,0,0,1,7,0.222,0.263,0.444,0.708,92,0.343,117,8,0,0,1,0,0,"/2H",0,0,8,20,18,2,4,1,0,1,2,0,0,1,7,0.222,0.263,0.444,0.708,92,0.343,117,8,0,0,1,0,0,1,"C",34.2,1,694114.573020403,694114.573020403,2,30
