"player","position","year","team","team_whole_name","age","years_experience","id_contract","contract_value","average_annual_contract_value","dummy_team_change","years_contract","initial_contract_year","reference_end_contract_year","awards","MVP_price","CYA_price","SS_price","team_g","team_w","team_l","team_divs","team_playoffs","team_games_over_500","team_pnnts","team_ws","team_hof","team_r","team_ab","team_h","team_hr","team_ra","team_w_l_percent","team_ba","team_era","war","war_to_2","g","pa","ab","r","h","x2b","x3b","hr","rbi","sb","cs","bb","so","gidp","hbp","sh","sf","ibb","ba","obp","slg","ops","ops_plus","r_oba","rbat","tb","pos","leader","g_to_2","pa_to_2","ab_to_2","r_to_2","h_to_2","x2b_to_2","x3b_to_2","hr_to_2","rbi_to_2","sb_to_2","cs_to_2","bb_to_2","so_to_2","gidp_to_2","hbp_to_2","sh_to_2","sf_to_2","ibb_to_2","ba_to_2","obp_to_2","slg_to_2","ops_to_2","ops_plus_to_2","r_oba_to_2","rbat_to_2","tb_to_2","leader_to_2"
"Christian Bethancourt","NH","2023","TB","Tampa Bay Rays",31.9,1,490,1436043.72513222,1436043.72513222,1,1,"2023","2023",0,0,0,0,162,99,63,0,1,36,0,0,0,860,5511,1432,230,665,0.49,0.255,4.24,0.7,0.49,104,332,315,49,71,16,0,11,33,1,0,13,91,6,0,1,3,0,0.225,0.254,0.381,0.635,73,0.281,73,120,"2/H1D",0,10816,110224,99225,2401,5041,256,0,121,1089,1,0,169,8281,36,0,1,9,0,0.050625,0.064516,0.145161,0.403225,5329,0.078961,5329,14400,0
"Christian Bethancourt","NH","2024","MIA","Miami Marlins",32.9,2,491,1434591.24780944,1434591.24780944,1,1,"2024","2024",0,0,0,0,162,62,100,0,0,-38,0,0,0,637,5522,1347,150,841,0.459,0.255,4.3,0.4,0.16,62,147,139,18,29,7,0,5,22,3,0,5,36,2,1,2,0,0,0.209,0.241,0.367,0.608,67,0.278,67,51,"2/DH",0,3844,21609,19321,324,841,49,0,25,484,9,0,25,1296,4,1,4,0,0,0.043681,0.058081,0.134689,0.369664,4489,0.077284,4489,2601,0
"Cj Cron","NH","2020","DET","Detroit Tigers",30.6,0,492,6100000,6100000,1,1,"2020","2020",0,0,0,0,58,23,35,0,0,-12,0,0,0,249,1894,463,62,318,0.504,0.265,4,0.3,0.09,13,52,42,9,8,3,0,4,8,0,0,9,16,2,1,0,0,0,0.19,0.346,0.548,0.894,141,0.374,135,23,"3",0,169,2704,1764,81,64,9,0,16,64,0,0,81,256,4,1,0,0,0,0.0361,0.119716,0.300304,0.799236,19881,0.139876,18225,529,0
"Cj Cron","NH","2021","COL","Colorado Rockies",31.6,1,493,1183156.3001569,1183156.3001569,1,1,"2021","2021",0,0,0,0,161,74,87,0,0,-13,0,0,0,739,5374,1338,182,796,0.47,0.273,4.98,3.4,11.56,142,547,470,70,132,31,1,28,92,1,0,60,117,11,13,0,4,3,0.281,0.375,0.53,0.905,129,0.393,133,249,"3H/D",0,20164,299209,220900,4900,17424,961,1,784,8464,1,0,3600,13689,121,169,0,16,9,0.078961,0.140625,0.2809,0.819025,16641,0.154449,17689,62001,0
"Cj Cron","NH","2023","COL","Colorado Rockies",33.6,2,494,15424173.3440128,7712086.67200638,1,2,"2023","2024",0,0,0,0,162,59,103,0,0,-44,0,0,0,721,5496,1368,163,957,0.465,0.272,5,-0.5,0.25,71,278,258,38,64,12,0,12,37,0,0,17,65,13,1,0,2,0,0.248,0.295,0.434,0.729,89,0.315,85,112,"3/DH",0,5041,77284,66564,1444,4096,144,0,144,1369,0,0,289,4225,169,1,0,4,0,0.061504,0.087025,0.188356,0.531441,7921,0.099225,7225,12544,0
"Clay Buchholz","NH","2018","ARI","Arizona Diamondbacks",34,5.02,500,1500000,1500000,1,1,"2018","2018",0,0,0,0,162,82,80,0,0,2,0,0,0,693,5460,1283,176,644,0.493,0.257,4.21,-0.2,0.04,16,37,31,0,2,1,0,0,1,0,0,1,17,0,0,5,0,0,0.065,0.094,0.097,0.191,-49,0.089,-110,3,"1",0,256,1369,961,0,4,1,0,0,1,0,0,1,289,0,0,25,0,0,0.004225,0.008836,0.009409,0.036481,2401,0.007921,12100,9,0
"Clay Holmes","NH","2021","PIT","Pittsburgh Pirates",28.3,0,502,769051.595101982,769051.595101982,0,1,"2021","2021",0,0,0,0,162,61,101,0,0,-40,0,0,0,609,5336,1261,124,833,0.502,0.264,3.74,0,0,47,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-100,0,-125,0,"1",0,2209,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10000,0,15625,0,0
"Clayton Richard","NH","2015","CHC","Chicago Cubs",31.9,0,510,687225.311355765,687225.311355765,1,1,"2015","2015",0,0,0,0,162,97,65,0,1,32,0,0,0,689,5491,1341,171,608,0.512,0.263,3.68,0.1,0.01,22,15,14,1,2,2,0,0,3,0,0,1,6,0,0,0,0,0,0.143,0.2,0.286,0.486,33,0.215,18,4,"1",0,484,225,196,1,4,4,0,0,9,0,0,1,36,0,0,0,0,0,0.020449,0.04,0.081796,0.236196,1089,0.046225,324,16,0
"Clayton Richard","NH","2016","CHC","Chicago Cubs",32.9,1,511,672362.379948466,672362.379948466,1,1,"2016","2016",0,0,0,0,162,103,58,1,1,45,1,1,0,808,5503,1409,199,556,0.513,0.263,3.68,-0.1,0.01,37,21,17,0,1,0,0,0,1,0,0,1,9,0,0,3,0,0,0.059,0.111,0.059,0.17,-52,0.089,-100,1,"1/H",0,1369,441,289,0,1,0,0,0,1,0,0,1,81,0,0,9,0,0,0.003481,0.012321,0.003481,0.0289,2704,0.007921,10000,1,0
"Clayton Richard","NH","2017","SD","San Diego Padres",33.9,2,512,1750000,1750000,0,1,"2017","2017",0,0,0,0,162,71,91,0,0,-20,0,0,0,604,5356,1251,189,816,0.462,0.25,3.95,0.1,0.01,31,68,57,2,7,1,0,1,4,0,0,1,31,0,2,8,0,0,0.123,0.167,0.193,0.36,-4,0.164,-34,11,"1",0,961,4624,3249,4,49,1,0,1,16,0,0,1,961,0,4,64,0,0,0.015129,0.027889,0.037249,0.1296,16,0.026896,1156,121,0
"Clayton Richard","NH","2018","SD","San Diego Padres",34.9,3,513,7641628.32683012,3820814.16341506,0,2,"2018","2019",0,0,0,0,162,66,96,0,0,-30,0,0,1,617,5486,1289,162,767,0.461,0.25,3.96,0.1,0.01,26,51,42,3,4,1,0,1,3,0,0,2,24,0,1,6,0,0,0.095,0.156,0.19,0.346,-4,0.16,-32,8,"1/H",0,676,2601,1764,9,16,1,0,1,9,0,0,4,576,0,1,36,0,0,0.009025,0.024336,0.0361,0.119716,16,0.0256,1024,64,0
"Clint Barmes","NH","2012","PIT","Pittsburgh Pirates",33.4,0,514,10500000,5250000,1,2,"2012","2013",0,0,0,0,162,79,83,0,0,-4,0,0,0,651,5412,1313,170,674,0.503,0.265,3.72,1.2,1.44,144,493,455,34,104,16,1,8,45,0,2,20,106,9,8,8,2,3,0.229,0.272,0.321,0.593,64,0.267,59,146,"6/H3",0,20736,243049,207025,1156,10816,256,1,64,2025,0,4,400,11236,81,64,64,4,9,0.052441,0.073984,0.103041,0.351649,4096,0.071289,3481,21316,0
"Clint Barmes","NH","2013","PIT","Pittsburgh Pirates",34.4,1,514,10500000,5250000,1,2,"2012","2013",0,0,0,0,162,94,68,0,1,26,0,0,2,636,5468,1339,161,583,0.503,0.265,3.71,0.2,0.04,108,330,304,22,64,15,0,5,23,0,0,14,70,5,2,9,1,3,0.211,0.249,0.309,0.558,58,0.258,52,94,"6/H",0,11664,108900,92416,484,4096,225,0,25,529,0,0,196,4900,25,4,81,1,9,0.044521,0.062001,0.095481,0.311364,3364,0.066564,2704,8836,0
"Clint Barmes","NH","2014","PIT","Pittsburgh Pirates",35.4,2,515,2757798.54306696,2757798.54306696,0,1,"2014","2014",0,0,0,0,159,88,74,0,1,14,0,0,0,682,5536,1437,156,631,0.504,0.265,3.71,0.7,0.49,48,116,102,15,25,5,0,0,7,1,1,9,18,2,4,0,1,2,0.245,0.328,0.294,0.622,77,0.289,77,30,"64/H35",0,2304,13456,10404,225,625,25,0,0,49,1,1,81,324,4,16,0,1,4,0.060025,0.107584,0.086436,0.386884,5929,0.083521,5929,900,0
"Clint Barmes","NH","2015","SD","San Diego Padres",36.4,3,516,1500000,1500000,1,1,"2015","2015",0,0,0,0,162,74,88,0,0,-14,0,0,0,650,5457,1324,148,731,0.464,0.251,3.92,0.2,0.04,98,224,207,24,48,14,1,3,16,0,1,10,55,0,4,3,0,2,0.232,0.281,0.353,0.633,76,0.296,83,73,"6H/3",0,9604,50176,42849,576,2304,196,1,9,256,0,1,100,3025,0,16,9,0,4,0.053824,0.078961,0.124609,0.400689,5776,0.087616,6889,5329,0
"Cody Bellinger","NH","2023","CHC","Chicago Cubs",28.1,0,517,17500000,17500000,1,1,"2023","2023",2,1,0,1,162,83,79,0,0,4,0,0,0,819,5504,1399,196,723,0.513,0.262,3.7,4.8,23.04,130,556,499,95,153,29,1,26,97,20,6,40,87,7,5,0,12,3,0.307,0.356,0.525,0.881,139,0.382,141,262,"83/DH",0,16900,309136,249001,9025,23409,841,1,676,9409,400,36,1600,7569,49,25,0,144,9,0.094249,0.126736,0.275625,0.776161,19321,0.145924,19881,68644,0
"Cody Bellinger","NH","2024","CHC","Chicago Cubs",29.1,1,518,80000000,26666666.6666667,0,3,"2024","2026",0,0,0,0,162,83,79,0,0,4,0,0,0,736,5441,1318,170,669,0.513,0.262,3.7,2.2,4.84,130,569,516,72,137,23,3,18,78,9,2,45,89,10,3,0,5,7,0.266,0.325,0.426,0.751,111,0.326,108,220,"98D3/7",0,16900,323761,266256,5184,18769,529,9,324,6084,81,4,2025,7921,100,9,0,25,49,0.070756,0.105625,0.181476,0.564001,12321,0.106276,11664,48400,0
"Cody Bellinger","NH","2025","NYY","New York Yankees",30.1,2,518,80000000,26666666.6666667,0,3,"2024","2026",2,1,0,0,162,94,68,0,1,26,0,0,2,849,5471,1371,274,685,0.57,0.265,3.66,5.1,26.01,152,656,588,89,160,25,5,29,98,13,2,57,90,8,2,0,9,1,0.272,0.334,0.48,0.813,124,0.349,123,282,"798/3H",0,23104,430336,345744,7921,25600,625,25,841,9604,169,4,3249,8100,64,4,0,81,1,0.073984,0.111556,0.2304,0.660969,15376,0.121801,15129,79524,0
"Cody Ross",NA,"2012","BOS","Boston Red Sox",31.6,6.058,519,3000000,3000000,1,1,"2012","2012",0,0,0,0,162,69,93,0,0,-24,0,0,0,734,5604,1459,165,806,0.517,0.267,3.9,2.2,4.84,130,528,476,70,127,34,1,22,81,2,3,42,129,11,3,1,6,3,0.267,0.326,0.481,0.807,115,0.353,118,229,"97D/8H",0,16900,278784,226576,4900,16129,1156,1,484,6561,4,9,1764,16641,121,9,1,36,9,0.071289,0.106276,0.231361,0.651249,13225,0.124609,13924,52441,0
"Cody Ross",NA,"2013","ARI","Arizona Diamondbacks",32.6,7.058,520,26000000,8666666.66666667,1,3,"2013","2015",0,0,0,0,162,81,81,0,0,0,0,0,0,685,5676,1468,130,695,0.498,0.258,4.23,2.3,5.29,94,351,317,33,88,17,1,8,38,3,2,25,50,10,3,1,5,1,0.278,0.331,0.413,0.745,104,0.328,100,131,"79H",0,8836,123201,100489,1089,7744,289,1,64,1444,9,4,625,2500,100,9,1,25,1,0.077284,0.109561,0.170569,0.555025,10816,0.107584,10000,17161,0
"Cody Ross",NA,"2014","ARI","Arizona Diamondbacks",33.6,8.058,520,26000000,8666666.66666667,1,3,"2013","2015",0,0,0,0,162,64,98,0,0,-34,0,0,0,615,5552,1379,118,742,0.492,0.258,4.23,-1,1,83,219,202,15,51,8,0,2,15,0,0,15,44,3,1,0,1,0,0.252,0.306,0.322,0.628,75,0.29,73,65,"7H9",0,6889,47961,40804,225,2601,64,0,4,225,0,0,225,1936,9,1,0,1,0,0.063504,0.093636,0.103684,0.394384,5625,0.0841,5329,4225,0
"Cody Ross",NA,"2015","OAK","Oakland Athletics",34.6,9.058,520,26000000,8666666.66666667,1,3,"2013","2015",0,0,0,0,162,68,94,0,0,-26,0,0,0,694,5600,1405,146,729,0.487,0.259,3.97,-0.5,0.25,9,25,22,3,2,0,0,0,3,0,0,3,6,0,0,0,0,0,0.091,0.2,0.091,0.291,-14,0.154,-22,2,"/97HD",0,81,625,484,9,4,0,0,0,9,0,0,9,36,0,0,0,0,0,0.008281,0.04,0.008281,0.084681,196,0.023716,484,4,0
"Colby Lewis","NH","2014","TEX","Texas Rangers",35,0,521,2000000,2000000,0,1,"2014","2014",0,0,0,0,162,67,95,0,0,-28,0,0,0,637,5460,1400,111,773,0.476,0.26,4.24,0.1,0.01,2,5,5,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0.4,0.4,0.4,0.8,125,0.363,128,2,"1",0,4,25,25,0,4,0,0,0,1,0,0,0,4,0,0,0,0,0,0.16,0.16,0.16,0.64,15625,0.131769,16384,4,0
"Colby Lewis","NH","2015","TEX","Texas Rangers",36,1,522,4000000,4000000,0,1,"2015","2015",0,0,0,0,162,88,74,1,1,14,0,0,0,751,5511,1419,172,733,0.477,0.26,4.24,0,0,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-100,0,-145,0,"1",0,1,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10000,0,21025,0,0
"Colby Rasmus","NH","2015","HOU","Houston Astros",29,6,524,8000000,8000000,1,1,"2015","2015",0,0,0,0,162,86,76,0,1,10,0,0,2,729,5459,1363,230,618,0.488,0.254,3.82,3,9,137,485,432,67,103,23,2,25,61,2,1,47,154,6,2,1,3,0,0.238,0.314,0.475,0.789,116,0.343,117,205,"789H",0,18769,235225,186624,4489,10609,529,4,625,3721,4,1,2209,23716,36,4,1,9,0,0.056644,0.098596,0.225625,0.622521,13456,0.117649,13689,42025,0
"Colby Rasmus","NH","2016","HOU","Houston Astros",30,7,525,15800000,15800000,0,1,"2016","2016",0,0,0,0,162,84,78,0,0,6,0,0,0,724,5545,1367,198,701,0.489,0.254,3.82,2.6,6.76,107,417,369,38,76,10,0,15,54,4,1,43,121,5,0,1,4,0,0.206,0.286,0.355,0.641,77,0.287,76,131,"789/HD",0,11449,173889,136161,1444,5776,100,0,225,2916,16,1,1849,14641,25,0,1,16,0,0.042436,0.081796,0.126025,0.410881,5929,0.082369,5776,17161,0
"Colby Rasmus","NH","2017","TB","Tampa Bay Rays",31,8,526,5000000,5000000,1,1,"2017","2017",0,0,0,0,162,80,82,0,0,-2,0,0,0,694,5478,1340,228,704,0.463,0.256,4.4,1.2,1.44,37,129,121,17,34,7,1,9,23,1,0,7,45,1,0,0,1,2,0.281,0.318,0.579,0.896,137,0.367,130,70,"7/9HD8",0,1369,16641,14641,289,1156,49,1,81,529,1,0,49,2025,1,0,0,1,4,0.078961,0.101124,0.335241,0.802816,18769,0.134689,16900,4900,0
"Colby Rasmus","NH","2018","BAL","Baltimore Orioles",32,8.103,527,3000000,3000000,1,1,"2018","2018",0,0,0,0,162,47,115,0,0,-68,0,0,2,622,5507,1317,188,892,0.475,0.259,4.02,-0.2,0.04,18,49,45,5,6,1,0,1,1,0,0,3,19,0,1,0,0,0,0.133,0.204,0.222,0.426,18,0.194,9,10,"9/H7D8",0,324,2401,2025,25,36,1,0,1,1,0,0,9,361,0,1,0,0,0,0.017689,0.041616,0.049284,0.181476,324,0.037636,81,100,0
"Colin Rea","NH","2025","CHC","Chicago Cubs",35.1,1,532,5000000,5000000,1,1,"2025","2025",0,0,0,0,162,92,70,0,1,22,0,0,0,793,5495,1371,223,649,0.513,0.262,3.7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-100,0,-108,0,"1",0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10000,0,11664,0,0
"Collin Mchugh","NH","2021","TB","Tampa Bay Rays",34.2,1,534,1800000,1800000,1,1,"2021","2021",0,0,0,0,162,100,62,1,1,38,0,0,0,857,5507,1336,222,651,0.483,0.255,4.29,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corban Joseph","NH","2018","BAL","Baltimore Orioles",29.8,0.027,537,694114.573020403,694114.573020403,1,1,"2018","2018",0,0,0,0,162,47,115,0,0,-68,0,0,2,622,5507,1317,188,892,0.475,0.259,4.02,-0.2,0.04,14,19,18,1,4,1,0,0,3,0,0,1,5,0,0,0,0,0,0.222,0.263,0.278,0.541,50,0.238,40,5,"/H34D",0,196,361,324,1,16,1,0,0,9,0,0,1,25,0,0,0,0,0,0.049284,0.069169,0.077284,0.292681,2500,0.056644,1600,25,0
"Corban Joseph","NH","2019","OAK","Oakland Athletics",30.8,0.066,538,691688.341292727,691688.341292727,1,1,"2019","2019",0,0,0,0,162,97,65,0,1,32,0,0,1,845,5561,1384,257,680,0.489,0.259,3.98,-0.6,0.36,28,68,64,5,10,3,0,1,7,0,0,3,12,2,0,0,1,0,0.156,0.191,0.25,0.441,18,0.204,15,16,"4H/59D",0,784,4624,4096,25,100,9,0,1,49,0,0,9,144,4,0,0,1,0,0.024336,0.036481,0.0625,0.194481,324,0.041616,225,256,0
"Corey Dickerson","NH","2020","MIA","Miami Marlins",31.2,6.101,539,17500000,8750000,1,2,"2020","2021",0,0,0,0,60,31,29,0,1,2,0,0,0,263,1935,472,60,304,0.463,0.257,4.31,0.2,0.04,52,210,194,25,50,5,1,7,17,1,1,15,35,5,0,0,0,1,0.258,0.311,0.402,0.713,91,0.321,95,78,"7/D9H",0,2704,44100,37636,625,2500,25,1,49,289,1,1,225,1225,25,0,0,0,1,0.066564,0.096721,0.161604,0.508369,8281,0.103041,9025,6084,0
"Corey Dickerson","NH","2021","MIA","Miami Marlins",32.2,7.101,539,17500000,8750000,1,2,"2020","2021",0,0,0,0,162,67,95,0,0,-28,0,0,0,623,5348,1244,158,701,0.461,0.256,4.3,0.3,0.09,109,365,336,43,91,18,5,6,29,6,5,25,68,8,3,0,1,1,0.271,0.326,0.408,0.734,98,0.312,92,137,"7H8/D9",0,11881,133225,112896,1849,8281,324,25,36,841,36,25,625,4624,64,9,0,1,1,0.073441,0.106276,0.166464,0.538756,9604,0.097344,8464,18769,0
"Corey Dickerson","NH","2022","STL","St Louis Cardinals",33.2,8.101,540,5000000,5000000,1,1,"2022","2022",0,0,0,0,162,93,69,1,1,24,0,0,2,772,5496,1386,197,637,0.521,0.266,3.68,-0.2,0.04,96,297,281,28,75,17,1,6,36,0,0,12,48,4,2,0,2,1,0.267,0.3,0.399,0.698,98,0.305,95,112,"7DH9/1",0,9216,88209,78961,784,5625,289,1,36,1296,0,0,144,2304,16,4,0,4,1,0.071289,0.09,0.159201,0.487204,9604,0.093025,9025,12544,0
"Corey Dickerson","NH","2023","WSH","Washington Nationals",34.2,9.101,541,2250000,2250000,1,1,"2023","2023",0,0,0,0,162,71,91,0,0,-20,0,0,0,700,5522,1401,151,845,0.484,0.254,3.9,-0.6,0.36,50,152,144,12,36,7,1,2,17,0,1,7,28,3,0,0,1,0,0.25,0.283,0.354,0.637,76,0.279,75,51,"7/HD9",0,2500,23104,20736,144,1296,49,1,4,289,0,1,49,784,9,0,0,1,0,0.0625,0.080089,0.125316,0.405769,5776,0.077841,5625,2601,0
"Corey Hart","NH","2014","SEA","Seattle Mariners",32.4,0.038,542,6000000,6000000,1,1,"2014","2014",0,0,0,0,162,87,75,0,0,12,0,0,0,634,5450,1328,136,554,0.468,0.261,4.33,-0.5,0.25,68,255,232,17,47,9,0,6,21,2,0,16,59,1,6,0,1,1,0.203,0.271,0.319,0.59,71,0.278,72,74,"D/9H37",0,4624,65025,53824,289,2209,81,0,36,441,4,0,256,3481,1,36,0,1,1,0.041209,0.073441,0.101761,0.3481,5041,0.077284,5184,5476,0
"Corey Hart","NH","2015","PIT","Pittsburgh Pirates",33.4,1.038,543,2500000,2500000,1,1,"2015","2015",0,0,0,0,162,98,64,0,1,34,0,0,0,697,5631,1462,140,596,0.504,0.265,3.71,-0.5,0.25,35,57,54,3,12,1,0,2,9,0,0,1,19,5,1,0,1,1,0.222,0.246,0.352,0.597,62,0.251,43,19,"H/39D",0,1225,3249,2916,9,144,1,0,4,81,0,0,1,361,25,1,0,1,1,0.049284,0.060516,0.123904,0.356409,3844,0.063001,1849,361,0
"Corey Kluber","NH","2021","NYY","New York Yankees",35.3,8.074,544,11000000,11000000,1,1,"2021","2021",0,0,0,0,162,92,70,0,1,22,0,0,0,711,5331,1266,222,669,0.57,0.266,3.65,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-100,0,-125,0,"1",0,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10000,0,15625,0,0
"Cory Gearrin","NH","2015","SF","San Francisco Giants",29.3,0,547,687225.311355765,687225.311355765,1,1,"2015","2015",0,0,0,0,162,84,78,0,0,6,0,0,1,696,5565,1486,136,627,0.538,0.264,3.56,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"/1",0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cory Gearrin","NH","2017","SF","San Francisco Giants",31.3,1,548,1365900.64599534,1365900.64599534,0,1,"2017","2017",0,0,0,0,168,64,98,0,0,-34,0,0,0,639,5551,1382,128,776,0.537,0.264,3.56,0,0,66,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-100,0,-138,0,"1",0,4356,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10000,0,19044,0,0
"Cory Gearrin","NH","2018","SF","San Francisco Giants",32.3,2,549,2133287.90790674,2133287.90790674,1,1,"2018","2018",0,0,0,0,162,73,89,0,0,-16,0,0,0,603,5541,1324,133,699,0.536,0.264,3.57,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cory Gearrin","NH","2019","SEA","Seattle Mariners",33.3,3,550,1400000,1400000,1,1,"2019","2019",0,0,0,0,162,68,94,0,0,-26,0,0,1,758,5500,1305,239,893,0.471,0.26,4.33,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Craig Breslow","NH","2015","BOS","Boston Red Sox",35,7.088,552,2000000,2000000,0,1,"2015","2015",0,0,0,0,162,78,84,0,0,-6,0,0,2,748,5640,1495,161,753,0.516,0.267,3.9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Craig Breslow","NH","2016","MIA","Miami Marlins",36,8.088,553,1500000,1500000,1,1,"2016","2016",0,0,0,0,161,79,82,0,0,-3,0,0,1,655,5547,1460,128,682,0.469,0.258,4.25,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Craig Gentry","NH","2016","LAA","Los Angeles Angels",32.7,0,555,1000000,1000000,1,1,"2016","2016",0,0,0,0,162,74,88,0,0,-14,0,0,0,717,5431,1410,156,727,0.501,0.258,3.94,-0.4,0.16,14,39,34,2,5,1,0,0,2,0,0,3,6,2,1,1,0,0,0.147,0.237,0.176,0.413,18,0.195,6,6,"7/H8D",0,196,1521,1156,4,25,1,0,0,4,0,0,9,36,4,1,1,0,0,0.021609,0.056169,0.030976,0.170569,324,0.038025,36,36,0
"Craig Gentry","NH","2017","BAL","Baltimore Orioles",33.7,1,556,695958.90057858,695958.90057858,1,1,"2017","2017",0,0,0,0,162,75,87,0,0,-12,0,0,1,743,5650,1469,232,841,0.477,0.259,4.01,0.2,0.04,77,117,101,17,26,5,1,2,11,5,4,11,24,1,1,3,1,0,0.257,0.333,0.386,0.719,95,0.306,91,39,"97H/8D",0,5929,13689,10201,289,676,25,1,4,121,25,16,121,576,1,1,9,1,0,0.066049,0.110889,0.148996,0.516961,9025,0.093636,8281,1521,0
"Craig Gentry","NH","2018","BAL","Baltimore Orioles",34.7,2,557,900000,900000,0,1,"2018","2018",0,0,0,0,162,47,115,0,0,-68,0,0,2,622,5507,1317,188,892,0.475,0.259,4.02,1.1,1.21,68,169,156,13,42,5,2,1,11,12,3,11,31,2,1,1,0,0,0.269,0.321,0.346,0.668,85,0.306,84,54,"798H",0,4624,28561,24336,169,1764,25,4,1,121,144,9,121,961,4,1,1,0,0,0.072361,0.103041,0.119716,0.446224,7225,0.093636,7056,2916,0
"Craig Kimbrel","NH","2019","CHC","Chicago Cubs",31.2,0,558,43000000,14333333.3333333,1,3,"2019","2021",0,0,0,0,162,84,78,0,0,6,0,0,1,814,5461,1378,256,717,0.514,0.263,3.68,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Craig Kimbrel","NH","2020","CHC","Chicago Cubs",32.2,1,558,43000000,14333333.3333333,1,3,"2019","2021",0,0,0,0,60,34,26,1,1,8,0,0,0,265,1918,422,74,240,0.514,0.262,3.68,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Craig Kimbrel","NH","2021","CHC","Chicago Cubs",33.2,2,558,43000000,14333333.3333333,1,3,"2019","2021",1,0,0,0,162,71,91,0,0,-20,0,0,0,705,5306,1255,210,839,0.513,0.262,3.69,0,0,39,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-100,0,-125,0,"1",0,1521,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10000,0,15625,0,0
"Craig Kimbrel","NH","2024","BAL","Baltimore Orioles",36.2,4,560,13000000,13000000,1,1,"2024","2024",0,0,0,0,162,91,71,0,1,20,0,0,0,786,5567,1391,235,699,0.475,0.258,4.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Craig Stammen","NH","2017","SD","San Diego Padres",33.4,1,563,900000,900000,1,1,"2017","2017",0,0,0,0,162,71,91,0,0,-20,0,0,0,604,5356,1251,189,816,0.462,0.25,3.95,0.3,0.09,57,8,6,2,3,1,0,0,0,0,0,2,2,0,0,0,0,0,0.5,0.625,0.667,1.292,247,0.541,253,4,"1",0,3249,64,36,4,9,1,0,0,0,0,0,4,4,0,0,0,0,0,0.25,0.390625,0.444889,1.669264,61009,0.292681,64009,16,0
