"player","position","year","team","team_whole_name","age","years_experience","id_contract","contract_value","average_annual_contract_value","dummy_team_change","years_contract","initial_contract_year","reference_end_contract_year","awards","MVP_price","CYA_price","SS_price","team_g","team_w","team_l","team_divs","team_playoffs","team_games_over_500","team_pnnts","team_ws","team_hof","team_r","team_ab","team_h","team_hr","team_ra","team_w_l_percent","team_ba","team_era","war","war_to_2","g","pa","ab","r","h","x2b","x3b","hr","rbi","sb","cs","bb","so","gidp","hbp","sh","sf","ibb","ba","obp","slg","ops","ops_plus","r_oba","rbat","tb","pos","leader","g_to_2","pa_to_2","ab_to_2","r_to_2","h_to_2","x2b_to_2","x3b_to_2","hr_to_2","rbi_to_2","sb_to_2","cs_to_2","bb_to_2","so_to_2","gidp_to_2","hbp_to_2","sh_to_2","sf_to_2","ibb_to_2","ba_to_2","obp_to_2","slg_to_2","ops_to_2","ops_plus_to_2","r_oba_to_2","rbat_to_2","tb_to_2","leader_to_2"
"Abraham Almonte","NH","2019","ARI","Arizona Diamondbacks",30.1,3.161,15,691688.341292727,691688.341292727,1,1,"2019","2019",0,0,0,0,162,85,77,0,0,8,0,0,0,813,5633,1419,220,743,0.495,0.257,4.21,0.5,0.25,17,38,31,11,9,3,1,1,4,0,0,7,8,1,0,0,0,0,0.29,0.421,0.548,0.969,149,0.407,150,17,"/9H8",0,289,1444,961,121,81,9,1,1,16,0,0,49,64,1,0,0,0,0,0.0841,0.177241,0.300304,0.938961,22201,0.165649,22500,289,0
"Abraham Almonte","NH","2021","ATL","Atlanta Braves",32.1,4.059,16,990000,990000,1,1,"2021","2021",0,0,0,0,161,88,73,1,1,15,1,1,0,790,5363,1307,239,656,0.501,0.26,3.67,-0.7,0.49,64,175,148,20,32,12,0,5,19,1,1,26,38,2,0,0,1,0,0.216,0.331,0.399,0.73,93,0.32,91,59,"7H/9",0,4096,30625,21904,400,1024,144,0,25,361,1,1,676,1444,4,0,0,1,0,0.046656,0.109561,0.159201,0.5329,8649,0.1024,8281,3481,0
"Adam Duvall","NH","2021","MIA","Miami Marlins",32.9,0,17,5000000,5000000,1,1,"2021","2021",1,0,0,0,162,67,95,0,0,-28,0,0,0,623,5348,1244,158,701,0.461,0.256,4.3,2.9,8.41,146,555,513,67,117,17,2,38,113,5,0,35,174,7,4,0,3,1,0.228,0.281,0.491,0.772,102,0.333,100,252,"978H",0,21316,308025,263169,4489,13689,289,4,1444,12769,25,0,1225,30276,49,16,0,9,1,0.051984,0.078961,0.241081,0.595984,10404,0.110889,10000,63504,0
"Adam Duvall","NH","2023","BOS","Boston Red Sox",34.9,1,18,7000000,7000000,1,1,"2023","2023",0,0,0,0,162,78,84,0,0,-6,0,0,0,772,5562,1437,182,776,0.518,0.267,3.92,1.6,2.56,92,353,320,45,79,24,2,21,58,4,0,22,110,0,6,0,5,1,0.247,0.303,0.531,0.834,119,0.349,114,170,"89/H7D",0,8464,124609,102400,2025,6241,576,4,441,3364,16,0,484,12100,0,36,0,25,1,0.061009,0.091809,0.281961,0.695556,14161,0.121801,12996,28900,0
"Adam Duvall","NH","2024","ATL","Atlanta Braves",35.9,2,19,3000000,3000000,1,1,"2024","2024",0,0,0,0,162,89,73,0,1,16,0,0,0,704,5481,1333,213,607,0.504,0.26,3.67,-1.4,1.96,104,330,303,29,55,10,0,11,30,0,0,21,99,6,5,0,1,0,0.182,0.245,0.323,0.569,57,0.262,59,98,"79H/D",0,10816,108900,91809,841,3025,100,0,121,900,0,0,441,9801,36,25,0,1,0,0.033124,0.060025,0.104329,0.323761,3249,0.068644,3481,9604,0
"Adam Frazier","H","2023","BAL","Baltimore Orioles",31.7,0,20,8000000,8000000,1,1,"2023","2023",0,0,0,0,162,101,61,1,1,40,0,0,0,807,5495,1399,183,678,0.474,0.258,4.05,1.7,2.89,141,455,412,59,99,21,2,13,60,11,4,32,68,4,4,4,2,0,0.24,0.3,0.396,0.696,94,0.307,95,163,"4H/97D",0,19881,207025,169744,3481,9801,441,4,169,3600,121,16,1024,4624,16,16,16,4,0,0.0576,0.09,0.156816,0.484416,8836,0.094249,9025,26569,0
"Adam Frazier","H","2024","KC","Kansas City Royals",32.7,1,21,4500000,4500000,1,1,"2024","2024",0,0,0,0,162,86,76,0,1,10,0,0,0,735,5421,1343,170,644,0.477,0.263,4.26,0.4,0.16,104,294,262,35,53,10,1,4,22,3,0,22,59,0,7,3,0,0,0.202,0.282,0.294,0.576,65,0.269,67,77,"4H9D7/53",0,10816,86436,68644,1225,2809,100,1,16,484,9,0,484,3481,0,49,9,0,0,0.040804,0.079524,0.086436,0.331776,4225,0.072361,4489,5929,0
"Adam Frazier","H","2025","PIT","Pittsburgh Pirates",33.7,2,22,1525000,1525000,1,1,"2025","2025",0,0,0,0,162,71,91,0,0,-20,0,0,1,583,5375,1244,117,645,0.5,0.263,3.76,1.4,1.96,134,459,419,43,112,20,0,7,44,8,6,26,81,8,8,1,5,2,0.267,0.319,0.365,0.684,91,0.302,90,153,"47H9/D5",0,17956,210681,175561,1849,12544,400,0,49,1936,64,36,676,6561,64,64,1,25,4,0.071289,0.101761,0.133225,0.467856,8281,0.091204,8100,23409,0
"Adam Kolarek","NH","2018","TB","Tampa Bay Rays",29.6,0,23,694114.573020403,694114.573020403,1,1,"2018","2018",0,0,0,0,162,90,72,0,0,18,0,0,0,716,5475,1415,150,646,0.468,0.256,4.36,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Kolarek","NH","2020","LAD","Los Angeles Dodgers",31.6,1,24,715031.793883292,715031.793883292,1,1,"2020","2020",0,0,0,0,60,43,17,1,1,26,1,1,0,349,2042,523,118,213,0.528,0.261,3.53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/9",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Laroche","H","2013","WSH","Washington Nationals",33.8,9,26,24000000,12000000,0,2,"2013","2014",0,0,0,0,162,86,76,0,0,10,0,0,0,656,5436,1365,161,626,0.48,0.253,3.9,0.6,0.36,152,590,511,70,121,19,3,20,62,4,1,72,131,13,3,0,4,10,0.237,0.332,0.403,0.735,101,0.33,100,206,"3/HD",0,23104,348100,261121,4900,14641,361,9,400,3844,16,1,5184,17161,169,9,0,16,100,0.056169,0.110224,0.162409,0.540225,10201,0.1089,10000,42436,0
