Rk,Player,Age,Team,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,RF/9,RF/G,PB,SB,CS,CS%,Pos,Awards,-9999
1,Josh Jung,25,TEX,ALWS,17,17,17,155.0,48,10,37,1,3,.979,2.73,2.76,,,,,*5,,jungjo01
2,Nathaniel Lowe,27,TEX,ALWS,17,17,17,155.0,159,147,12,0,11,1.000,9.23,9.35,,,,,*3,,lowena01
3,Marcus Semien,32,TEX,ALWS,17,17,17,155.0,72,33,38,1,12,.986,4.12,4.18,,,,,*4,,semiema01
4,Leody Taveras,24,TEX,ALWS,17,17,17,155.0,38,38,0,0,0,1.000,2.21,2.24,,,,,*8,,taverle01
5,Corey Seager,29,TEX,ALWS,17,17,16,154.0,87,22,64,1,9,.989,5.03,5.06,,,,,*6,WS MVP,seageco01
6,Lourdes Gurriel Jr.,29,ARI,NLWS,17,17,17,152.1,36,35,1,0,0,1.000,2.13,2.12,,,,,*7,,gurrilo01
7,Geraldo Perdomo,23,ARI,NLWS,17,17,16,152.1,64,20,44,0,12,1.000,3.78,3.56,,,,,*6/4,,perdoge01
8,Christian Walker,32,ARI,NLWS,17,17,17,152.1,140,128,11,1,16,.993,8.21,8.18,,,,,*3,,walkech02
9,Jonah Heim,28,TEX,ALWS,17,17,16,152.0,140,131,8,1,0,.993,8.23,8.18,0,10,2,16.7,*2,,heimjo01
10,Corbin Carroll,22,ARI,NLWS,17,17,13,151.1,29,29,0,0,0,1.000,1.72,1.45,,,,,*9/8,,carroco02
11,Ketel Marte,29,ARI,NLWS,17,17,16,151.1,80,26,52,2,14,.975,4.64,4.59,,,,,*4,NLCS MVP,marteke01
12,Evan Carter,20,TEX,ALWS,17,15,15,150.0,31,27,3,1,1,.968,1.80,1.76,,,,,*7,,carteev01
13,Gabriel Moreno,23,ARI,NLWS,17,17,15,141.1,145,139,5,1,0,.993,9.17,8.47,0,9,2,18.2,*2,,morenga01
14,Adolis García,30,TEX,ALWS,15,15,13,134.0,38,36,2,0,0,1.000,2.55,2.53,,,,,*9,ALCS MVP,garciad02
15,Alek Thomas,23,ARI,NLWS,17,14,14,131.1,43,42,0,1,0,.977,2.88,2.47,,,,,*8/H,,thomaal01
16,Alec Bohm,26,PHI,NL,13,13,13,114.1,29,6,22,1,2,.966,2.20,2.15,,,,,*5,,bohmal01
17,Nick Castellanos,31,PHI,NL,13,13,13,114.1,16,15,1,0,0,1.000,1.26,1.23,,,,,*9,,casteni01
18,Bryce Harper,30,PHI,NL,13,13,13,114.1,102,96,6,0,9,1.000,8.03,7.85,,,,,*3,,harpebr03
19,Bryson Stott,25,PHI,NL,13,13,13,114.1,63,32,31,0,7,1.000,4.96,4.85,,,,,*4,,stottbr01
20,J.T. Realmuto,32,PHI,NL,13,13,12,113.1,119,118,1,0,1,1.000,9.45,9.15,1,11,2,15.4,*2,,realmjt01
21,Trea Turner,30,PHI,NL,13,13,12,113.1,51,13,34,4,7,.922,3.73,3.62,,,,,*6,,turnetr01
22,Johan Rojas,22,PHI,NL,13,13,12,112.1,29,29,0,0,0,1.000,2.32,2.23,,,,,*8,,rojasjo03
23,Evan Longoria,37,ARI,NLWS,14,13,3,103.0,34,8,26,0,3,1.000,2.97,2.43,,,,,*5/D,,longoev01
24,José Abreu,36,HOU,AL,11,11,11,99.0,80,75,5,0,9,1.000,7.27,7.27,,,,,*3,,abreujo02
25,Jose Altuve,33,HOU,AL,11,11,11,99.0,44,18,25,1,8,.977,3.91,3.91,,,,,*4,,altuvjo01
26,Alex Bregman,29,HOU,AL,11,11,11,99.0,31,15,16,0,3,1.000,2.82,2.82,,,,,*5,,bregmal01
27,Kyle Tucker,26,HOU,AL,11,11,11,99.0,13,12,1,0,0,1.000,1.18,1.18,,,,,*9,,tuckeky01
28,Jeremy Peña,25,HOU,AL,11,11,9,97.0,36,15,21,0,6,1.000,3.34,3.27,,,,,*6,,penaje02
29,Brandon Marsh,25,PHI,NL,12,10,10,93.1,21,21,0,0,0,1.000,2.03,1.75,,,,,*7/H,,marshbr02
30,Martín Maldonado,36,HOU,AL,11,11,6,87.0,97,95,2,0,0,1.000,10.03,8.82,0,6,0,0.0,*2,,maldoma01
31,Chas McCormick,28,HOU,AL,10,8,5,72.0,18,18,0,0,0,1.000,2.25,1.50,,,,,*/78,,mccorch01
32,Mauricio Dubón,28,HOU,AL,8,6,6,56.0,21,21,0,0,0,1.000,3.38,2.63,,,,,*/8H,,dubonma01
33,Michael Brantley,36,HOU,AL,7,6,3,53.0,7,7,0,0,0,1.000,1.19,1.00,,,,,/7DH,,brantmi02
34,Carlos Correa,28,MIN,AL,6,6,6,53.0,20,8,12,0,1,1.000,3.40,3.33,,,,,/*6,,correca01
35,Ryan Jeffers,26,MIN,AL,6,6,6,53.0,60,58,2,0,0,1.000,10.19,10.00,0,1,0,0.0,/*2,,jeffery01
36,Max Kepler,30,MIN,AL,6,6,6,53.0,16,16,0,0,0,1.000,2.72,2.67,,,,,*/9,,keplema01
37,Jorge Polanco,29,MIN,AL,6,6,4,53.0,18,7,10,1,1,.944,2.89,2.13,,,,,/*45,,polanjo01
38,Emmanuel Rivera,27,ARI,NLWS,13,4,3,48.1,14,6,7,1,0,.929,2.42,1.00,,,,,*5/H,,riverem01
39,Michael A. Taylor,32,MIN,AL,5,5,3,41.0,17,17,0,0,0,1.000,3.73,3.40,,,,,*/8,,taylomi02
40,Willi Castro,26,MIN,AL,6,3,1,37.0,4,4,0,0,0,1.000,0.97,0.50,,,,,*/78H5,,castrwi01
41,Nathan Eovaldi,33,TEX,ALWS,6,6,0,36.2,12,6,6,0,0,1.000,2.95,2.00,,,,,/1,,eovalna01
42,Ronald Acuña Jr.,25,ATL,NL,4,4,4,34.0,10,10,0,0,0,1.000,2.65,2.50,,,,,*/9,,acunaro01
43,Ozzie Albies,26,ATL,NL,4,4,4,34.0,14,8,6,0,3,1.000,3.71,3.50,,,,,/*4,,albieoz01
44,Matt Olson,29,ATL,NL,4,4,4,34.0,25,24,1,0,4,1.000,6.62,6.25,,,,,/*3,,olsonma02
45,Austin Riley,26,ATL,NL,4,4,4,34.0,7,2,5,0,2,1.000,1.85,1.75,,,,,/*5,,rileyau01
46,Zac Gallen,27,ARI,NLWS,6,6,0,33.2,5,2,3,0,1,1.000,1.34,0.83,,,,,/1,,galleza01
47,Orlando Arcia,28,ATL,NL,4,4,3,32.0,13,3,10,0,3,1.000,3.66,3.25,,,,,/*6,,arciaor01
48,Michael Harris II,22,ATL,NL,4,4,3,32.0,11,9,2,0,2,1.000,3.09,2.75,,,,,*/8,,harrimi04
49,Jordan Montgomery,30,TEX,ALWS,6,5,0,31.0,7,2,5,0,0,1.000,2.03,1.17,,,,,/1,,montgjo01
50,Matt Wallner,25,MIN,AL,5,4,2,28.0,4,3,1,0,0,1.000,1.29,0.80,,,,,*/7,,wallnma01
51,Zack Wheeler,33,PHI,NL,5,4,0,27.2,1,1,0,0,0,1.000,0.33,0.20,,,,,/1,,wheelza01
52,Alex Kirilloff,25,MIN,AL,5,4,1,27.0,23,20,2,1,0,.957,7.33,4.40,,,,,/*3H,,kirilal01
53,Mookie Betts,30,LAD,NL,3,3,0,26.0,6,1,5,0,0,1.000,2.08,1.00,,,,,*/49,,bettsmo01
54,Freddie Freeman,33,LAD,NL,3,3,3,26.0,28,25,3,0,1,1.000,9.69,9.33,,,,,/*3,,freemfr01
55,Austin Hays,27,BAL,AL,3,3,3,26.0,8,8,0,0,0,1.000,2.77,2.67,,,,,*/7,,haysau01
56,Gunnar Henderson,22,BAL,AL,3,3,1,26.0,7,3,4,0,1,1.000,2.42,1.40,,,,,/*56,,hendegu01
57,Ryan Mountcastle,26,BAL,AL,3,3,3,26.0,15,13,2,0,2,1.000,5.19,5.00,,,,,/*3,,mountry01
58,Cedric Mullins,28,BAL,AL,3,3,3,26.0,11,11,0,0,0,1.000,3.81,3.67,,,,,*/8,,mullice01
59,Max Muncy,32,LAD,NL,3,3,3,26.0,8,2,5,1,0,.875,2.42,2.33,,,,,/*5,,muncyma01
60,Adley Rutschman,25,BAL,AL,3,3,3,26.0,30,29,1,0,0,1.000,10.38,10.00,0,0,0,,/*2,,rutscad01
61,Will Smith,28,LAD,NL,3,3,3,26.0,28,27,1,0,0,1.000,9.69,9.33,0,5,1,16.7,/*2,,smithwi05
62,Donovan Solano,35,MIN,AL,5,2,1,26.0,19,17,2,0,2,1.000,6.58,3.80,,,,,/*3H,,solando01
63,Merrill Kelly,34,ARI,NLWS,4,4,0,24.0,4,3,1,0,0,1.000,1.50,1.00,,,,,/1,,kellyme01
64,Aaron Nola,30,PHI,NL,4,4,0,23.0,4,3,1,0,0,1.000,1.57,1.00,,,,,/1,,nolaaa01
65,Cristian Pache,24,PHI,NL,4,3,1,23.0,5,5,0,0,0,1.000,1.96,1.25,,,,,/78H,,pachecr01
66,Edouard Julien,24,MIN,AL,3,3,1,22.0,6,4,2,0,1,1.000,2.45,2.00,,,,,/4DH,,julieed01
67,Brandon Pfaadt,24,ARI,NLWS,5,5,0,22.0,4,1,3,0,1,1.000,1.64,0.80,,,,,/1,,pfaadbr01
68,Travis Jankowski,32,TEX,ALWS,4,2,2,21.0,6,6,0,0,0,1.000,2.57,1.50,,,,,/9HD,,jankotr01
69,Miguel Rojas,34,LAD,NL,3,3,0,21.0,9,3,6,0,1,1.000,3.86,3.00,,,,,/*6,,rojasmi02
70,Jordan Westburg,24,BAL,AL,3,3,1,21.0,6,4,2,0,1,1.000,2.57,1.50,,,,,/*45,,westbjo01
71,Jason Heyward,33,LAD,NL,3,3,0,19.0,5,5,0,0,0,1.000,2.37,1.25,,,,,*/98,,heywaja01
72,David Peralta,35,LAD,NL,3,3,0,19.0,3,3,0,0,0,1.000,1.42,1.00,,,,,*/7,,peralda01
73,Tommy Pham,35,ARI,NL,3,3,0,19.0,2,2,0,0,0,1.000,0.95,0.67,,,,,/9D,,phamth01
74,Ranger Suarez,27,PHI,NL,4,4,0,18.2,5,1,4,0,0,1.000,2.41,1.25,,,,,/1,,suarera01
75,Justin Verlander,40,HOU,AL,3,3,0,18.1,2,1,1,0,1,1.000,0.98,0.67,,,,,/1,,verlaju01
76,Willy Adames,27,MIL,NL,2,2,2,18.0,5,1,4,0,1,1.000,2.50,2.50,,,,,/*6,,adamewi01
77,Randy Arozarena,28,TBR,AL,2,2,2,18.0,5,5,0,0,0,1.000,2.50,2.50,,,,,*/7,,arozara01
78,William Contreras,25,MIL,NL,2,2,2,18.0,24,21,3,0,1,1.000,12.00,12.00,0,2,2,50.0,/*2,,contrwi02
79,Yandy Díaz,31,TBR,AL,2,2,2,18.0,16,13,2,1,2,.938,7.50,7.50,,,,,/*3,,diazya01
80,Josh Donaldson,37,MIL,NL,2,2,2,18.0,7,3,4,0,0,1.000,3.50,3.50,,,,,/*5,,donaljo02
81,Sal Frelick,23,MIL,NL,2,2,2,18.0,3,3,0,0,0,1.000,1.50,1.50,,,,,*/8,,frelisa01
82,Aaron Hicks,33,BAL,AL,2,2,2,18.0,3,3,0,0,0,1.000,1.50,1.50,,,,,/9DH,,hicksaa01
83,Royce Lewis,24,MIN,AL,2,2,2,18.0,4,1,3,0,0,1.000,2.00,2.00,,,,,/5D,,lewisro02
84,Manuel Margot,28,TBR,AL,2,2,2,18.0,6,6,0,0,0,1.000,3.00,3.00,,,,,*/89,,margoma01
85,Curtis Mead,22,TBR,AL,2,2,2,18.0,5,2,2,1,1,.800,2.00,2.00,,,,,/*4,,meadcu01
86,James Outman,26,LAD,NL,3,2,1,18.0,4,4,0,0,0,1.000,2.00,1.33,,,,,*/8,,outmaja01
87,Isaac Paredes,24,TBR,AL,2,2,2,18.0,4,2,2,0,1,1.000,2.00,2.00,,,,,/*5,,paredis01
88,Carlos Santana,37,MIL,NL,2,2,2,18.0,16,15,1,0,1,1.000,8.00,8.00,,,,,/*3,,santaca01
89,Tyrone Taylor,29,MIL,NL,2,2,2,18.0,4,4,0,0,0,1.000,2.00,2.00,,,,,*/9,,tayloty01
90,Christian Yelich,31,MIL,NL,2,2,2,18.0,3,3,0,0,0,1.000,1.50,1.50,,,,,*/7,,yelicch01
91,Yordan Alvarez,26,HOU,AL,2,2,1,17.0,3,3,0,0,0,1.000,1.59,1.50,,,,,/7D,,alvaryo01
92,Travis d'Arnaud,34,ATL,NL,2,2,2,17.0,19,18,0,1,0,.947,9.53,9.00,0,2,0,0.0,/2H,,darnatr01
93,Sean Murphy,28,ATL,NL,2,2,2,17.0,23,21,1,1,0,.957,11.65,11.00,0,5,1,16.7,/2,,murphse01
94,Kevin Pillar,34,ATL,NL,4,2,1,17.0,2,2,0,0,0,1.000,1.06,0.50,,,,,*/7H,,pillake01
95,Luis Arraez,26,MIA,NL,2,2,2,16.0,3,1,2,0,0,1.000,1.69,1.50,,,,,/*4,,arraelu01
96,Josh Bell,30,MIA,NL,2,2,2,16.0,11,11,0,0,0,1.000,6.19,5.50,,,,,/*3,,belljo02
97,Jon Berti,33,MIA,NL,2,2,1,16.0,6,2,4,0,0,1.000,3.38,2.00,,,,,/*67,,bertijo01
98,Bo Bichette,25,TOR,AL,2,2,2,16.0,7,2,4,1,2,.857,3.38,3.00,,,,,/*6,,bichebo01
99,Cavan Biggio,28,TOR,AL,2,2,1,16.0,7,2,5,0,2,1.000,3.94,2.33,,,,,/*47,,biggica01
100,Jake Burger,27,MIA,NL,2,2,2,16.0,4,2,1,1,0,.750,1.69,1.50,,,,,/*5,,burgeja01
101,Matt Chapman,30,TOR,AL,2,2,2,16.0,5,1,4,0,0,1.000,2.81,2.50,,,,,/*5,,chapmma01
102,Jazz Chisholm Jr.,25,MIA,NL,2,2,2,16.0,6,5,1,0,0,1.000,3.38,3.00,,,,,*/8,,chishja01
103,Bryan De La Cruz,26,MIA,NL,2,2,1,16.0,1,1,0,0,0,1.000,0.56,0.33,,,,,*/79,,delacbr01
104,Vladimir Guerrero Jr.,24,TOR,AL,2,2,2,16.0,16,15,1,0,2,1.000,9.00,8.00,,,,,/*3,,guerrvl02
105,Alejandro Kirk,24,TOR,AL,2,2,2,16.0,22,21,1,0,0,1.000,12.38,11.00,0,1,0,0.0,/*2,,kirkal01
106,René Pinto,26,TBR,AL,2,2,1,16.0,19,18,0,1,0,.947,10.13,9.00,0,3,0,0.0,/*2,,pintore02
107,Eddie Rosario,31,ATL,NL,3,2,0,16.0,4,4,0,0,0,1.000,2.25,1.33,,,,,*/7H,,rosared01
108,George Springer,33,TOR,AL,2,2,2,16.0,4,4,0,0,0,1.000,2.25,2.00,,,,,*/9,,springe01
109,Taylor Walls,26,TBR,AL,2,2,1,16.0,5,1,3,1,0,.800,2.25,2.00,,,,,/*6,,wallsta01
110,Brice Turang,23,MIL,NL,2,2,0,15.0,7,3,4,0,1,1.000,4.20,3.50,,,,,/*4,,turanbr02
111,Jesús Sánchez,25,MIA,NL,2,2,1,14.0,3,3,0,0,0,1.000,1.93,1.50,,,,,*/9,,sanchje02
112,Daulton Varsho,26,TOR,AL,2,2,0,14.0,2,2,0,0,0,1.000,1.29,0.67,,,,,*/78,,varshda01
113,José Leclerc,29,TEX,ALWS,13,0,0,13.2,1,1,0,0,0,1.000,0.66,0.08,,,,,*1,,leclejo01
114,Kiké Hernández,31,LAD,NL,3,1,0,13.0,4,2,2,0,0,1.000,2.77,0.67,,,,,/*68H4,,hernaen02
115,Kevin Kiermaier,33,TOR,AL,2,2,1,13.0,1,1,0,0,0,1.000,0.69,0.50,,,,,*/8,,kiermke01
116,Pablo López,27,MIN,AL,2,2,0,12.2,1,0,1,0,0,1.000,0.71,0.50,,,,,/1,,lopezpa01
117,Spencer Strider,24,ATL,NL,2,2,0,12.2,3,0,2,1,0,.667,1.42,1.00,,,,,/1,,stridsp01
118,Yainer Diaz,24,HOU,AL,5,0,0,12.0,13,13,0,0,0,1.000,9.75,2.60,0,0,0,,/2HD,,diazya02
119,Adam Frazier,31,BAL,AL,2,1,0,12.0,3,2,1,0,1,1.000,2.25,1.50,,,,,/4H,,fraziad01
120,Jorge Mateo,28,BAL,AL,3,1,1,12.0,6,1,5,0,0,1.000,4.50,2.00,,,,,/*6H,,mateojo01
121,Josh Sborz,29,TEX,ALWS,10,0,0,12.0,0,0,0,0,0,,0.00,0.00,,,,,1,,sborzjo01
122,Framber Valdez,29,HOU,AL,3,3,0,12.0,3,0,1,2,0,.333,0.75,0.33,,,,,/1,,valdefr01
123,Kevin Ginkel,29,ARI,NLWS,10,0,0,11.2,3,2,1,0,0,1.000,2.31,0.30,,,,,1,,ginkeke01
124,Ryan Thompson,31,ARI,NLWS,9,0,0,11.2,2,0,1,1,0,.500,0.77,0.11,,,,,/1,,thompry02
125,Andrew Heaney,32,TEX,ALWS,5,3,0,11.0,5,1,4,0,0,1.000,4.09,1.00,,,,,/1,,heanean01
126,José Herrera,26,ARI,NL,2,0,0,11.0,11,11,0,0,0,1.000,9.00,5.50,0,0,0,,/2,,herrejo04
127,Cristian Javier,26,HOU,AL,3,3,0,11.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,javiecr01
128,Kyle Farmer,32,MIN,AL,3,1,0,10.0,2,0,2,0,1,1.000,1.80,0.67,,,,,/5H,,farmeky01
129,Paul Sewald,33,ARI,NLWS,10,0,0,10.0,0,0,0,0,0,,0.00,0.00,,,,,1,,sewalpa01
130,José Urquidy,28,HOU,AL,3,2,0,10.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,urquijo01
131,Max Scherzer,38,TEX,ALWS,3,3,0,9.2,1,0,1,0,0,1.000,0.93,0.33,,,,,/1,,scherma01
132,Sonny Gray,33,MIN,AL,2,2,0,9.0,4,1,3,0,0,1.000,4.00,2.00,,,,,/1,,grayso01
133,Josh Lowe,25,TBR,AL,1,1,1,9.0,1,1,0,0,0,1.000,1.00,1.00,,,,,/9H,,lowejo01
134,Jose Siri,27,TBR,AL,1,1,1,9.0,2,1,0,1,0,.500,1.00,1.00,,,,,/8,,sirijo01
135,Jacob Stallings,33,MIA,NL,2,1,1,9.0,13,13,0,0,0,1.000,13.00,6.50,0,0,0,,/*2,,stallja01
136,Chris Taylor,32,LAD,NL,3,0,0,9.0,1,1,0,0,0,1.000,1.00,0.25,,,,,*/7H8,,tayloch03
137,Bryan Abreu,26,HOU,AL,9,0,0,8.1,1,1,0,0,0,1.000,1.08,0.11,,,,,/*1,,abreubr01
138,Hector Neris,34,HOU,AL,7,0,0,8.1,2,2,0,0,0,1.000,2.16,0.29,,,,,/1,,nerishe01
139,José Alvarado,28,PHI,NL,8,0,0,8.0,2,0,2,0,0,1.000,2.25,0.25,,,,,/1,,alvarjo03
140,Aroldis Chapman,35,TEX,ALWS,9,0,0,8.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,chapmar01
141,Anthony Santander,28,BAL,AL,1,1,1,8.0,2,2,0,0,0,1.000,2.25,2.00,,,,,/D9,,santaan02
142,Cody Bradford,25,TEX,ALWS,5,0,0,7.2,1,0,1,0,0,1.000,1.17,0.20,,,,,/1,,bradfco01
143,Joe Mantiply,32,ARI,NLWS,9,2,0,7.2,1,0,1,0,0,1.000,1.17,0.11,,,,,/1,,mantijo01
144,Hunter Brown,24,HOU,AL,4,0,0,7.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,brownhu01
145,Dane Dunning,28,TEX,ALWS,5,0,0,7.0,2,1,1,0,0,1.000,2.57,0.40,,,,,/1,,dunnida01
146,Nick Fortes,26,MIA,NL,1,1,0,7.0,10,10,0,0,0,1.000,12.86,10.00,0,2,0,0.0,/2,,forteni01
147,Jeff Hoffman,30,PHI,NL,8,0,0,7.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,hoffmje02
148,Ramón Urías,29,BAL,AL,1,1,0,7.0,0,0,0,0,0,,0.00,0.00,,,,,/5,,uriasra01
149,Luis Frías,25,ARI,NLWS,7,0,0,6.2,1,1,0,0,0,1.000,1.35,0.14,,,,,/1,,friaslu01
150,Ryne Nelson,25,ARI,NLWS,3,0,0,6.1,2,0,2,0,0,1.000,2.84,0.67,,,,,/1,,nelsory01
151,Miguel Castro,28,ARI,NLWS,8,0,0,6.0,2,0,2,0,0,1.000,3.00,0.25,,,,,/1,,castrmi01
152,Craig Kimbrel,35,PHI,NL,7,0,0,6.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,kimbrcr01
153,Phil Maton,30,HOU,AL,6,0,0,6.0,3,0,3,0,0,1.000,4.50,0.50,,,,,/1,,matonph01
154,Ryan Pressly,34,HOU,AL,5,0,0,6.0,1,0,1,0,0,1.000,1.50,0.20,,,,,/1,,pressry01
155,Jon Gray,31,TEX,ALWS,3,0,0,5.2,1,1,0,0,0,1.000,1.59,0.33,,,,,/1,,grayjo02
156,Andrew Saalfrank,25,ARI,NLWS,11,0,0,5.2,2,0,2,0,0,1.000,3.18,0.18,,,,,1,,saalfan01
157,Seranthony Domínguez,28,PHI,NL,6,0,0,5.1,1,0,0,1,0,.000,0.00,0.00,,,,,/1,,dominse01
158,Orion Kerkering,22,PHI,NL,7,0,0,5.1,0,0,0,0,0,,0.00,0.00,,,,,/1,,kerkeor01
159,Matt Strahm,31,PHI,NL,7,0,0,5.1,0,0,0,0,0,,0.00,0.00,,,,,/1,,strahma01
160,Jhoan Duran,25,MIN,AL,4,0,0,5.0,2,2,0,0,0,1.000,3.60,0.50,,,,,/1,,duranjh01
161,Zach Eflin,29,TBR,AL,1,1,0,5.0,1,0,1,0,0,1.000,1.80,1.00,,,,,/1,,eflinza01
162,Tyler Glasnow,29,TBR,AL,1,1,0,5.0,1,1,0,0,0,1.000,1.80,1.00,,,,,/1,,glasnty01
163,Robbie Grossman,33,TEX,AL,2,2,0,5.0,0,0,0,0,0,,0.00,0.00,,,,,/7H,,grossro01
164,Rafael Montero,32,HOU,AL,5,0,0,5.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,montera01
165,Kyle Nelson,26,ARI,NLWS,5,0,0,5.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,nelsoky01
166,Freddy Peralta,27,MIL,NL,1,1,0,5.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,peralfr01
167,Kolten Wong,32,LAD,NL,3,0,0,5.0,3,2,1,0,0,1.000,5.40,1.00,,,,,/*4H,,wongko01
168,Kyle Bradish,26,BAL,AL,1,1,0,4.2,0,0,0,0,0,,0.00,0.00,,,,,/1,,bradiky01
169,Martín Pérez,32,TEX,ALWS,3,0,0,4.2,0,0,0,0,0,,0.00,0.00,,,,,/1,,perezma02
170,Bailey Ober,27,MIN,AL,2,1,0,4.1,0,0,0,0,0,,0.00,0.00,,,,,/1,,oberba01
171,Corbin Burnes,28,MIL,NL,1,1,0,4.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,burneco01
172,Max Fried,29,ATL,NL,1,1,0,4.0,2,1,1,0,0,1.000,4.50,2.00,,,,,/1,,friedma01
173,Kevin Gausman,32,TOR,AL,1,1,0,4.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,gausmke01
174,Jesús Luzardo,25,MIA,NL,1,1,0,4.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,luzarje01
175,Kenta Maeda,35,MIN,AL,2,0,0,4.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,maedake01
176,Ryne Stanek,31,HOU,AL,4,0,0,4.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,stanery01
177,Chris Stratton,32,TEX,ALWS,4,0,0,4.0,1,0,1,0,0,1.000,2.25,0.25,,,,,/1,,stratch01
178,Griffin Jax,28,MIN,AL,4,0,0,3.2,1,1,0,0,0,1.000,2.45,0.25,,,,,/1,,jaxgr01
179,Chris Paddack,27,MIN,AL,2,0,0,3.2,0,0,0,0,0,,0.00,0.00,,,,,/1,,paddach01
180,Emmet Sheehan,23,LAD,NL,1,0,0,3.2,1,0,1,0,0,1.000,2.45,1.00,,,,,/1,,sheehem01
181,DL Hall,24,BAL,AL,2,0,0,3.1,1,1,0,0,0,1.000,2.70,0.50,,,,,/1,,halldl01
182,Will Smith,33,TEX,ALWS,5,0,0,3.1,0,0,0,0,0,,0.00,0.00,,,,,/1,,smithwi04
183,Tyler Wells,28,BAL,AL,3,0,0,3.1,1,0,1,0,0,1.000,2.70,0.33,,,,,/*1,,wellsty01
184,José Berríos,29,TOR,AL,1,1,0,3.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,berrijo01
185,Santiago Espinal,28,TOR,AL,1,0,0,3.0,0,0,0,0,0,,0.00,0.00,,,,,/4H,,espinsa01
186,J.P. France,28,HOU,AL,2,0,0,3.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,francjp01
187,Braxton Garrett,25,MIA,NL,1,1,0,3.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,garrebr01
188,Kyle Gibson,35,BAL,AL,1,0,0,3.0,1,1,0,0,0,1.000,3.00,1.00,,,,,/1,,gibsoky01
189,Brusdar Graterol,24,LAD,NL,2,0,0,3.0,2,0,2,0,1,1.000,6.00,1.00,,,,,/1,,gratebr01
190,Austin Hedges,30,TEX,WS,1,0,0,3.0,3,3,0,0,0,1.000,9.00,3.00,0,0,0,,/2,,hedgeau01
191,Andruw Monasterio,26,MIL,NL,2,0,0,3.0,1,0,1,0,0,1.000,3.00,0.50,,,,,/*4,,monasan01
192,Pavin Smith,27,ARI,NL,2,0,0,3.0,1,1,0,0,0,1.000,3.00,0.50,,,,,/HD9,,smithpa04
193,Gregory Soto,28,PHI,NL,5,0,0,3.0,2,0,1,1,0,.500,3.00,0.20,,,,,/1,,sotogr01
194,Andrew Stevenson,29,MIN,AL,1,0,0,3.0,0,0,0,0,0,,0.00,0.00,,,,,/7,,stevean01
195,Brock Stewart,31,MIN,AL,3,0,0,3.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,stewabr01
196,Caleb Thielbar,36,MIN,AL,4,0,0,3.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,thielca01
197,Forrest Wall,27,ATL,NL,2,0,0,3.0,0,0,0,0,0,,0.00,0.00,,,,,/H78,,wallfo01
198,Bryce Elder,24,ATL,NL,1,1,0,2.2,0,0,0,0,0,,0.00,0.00,,,,,/1,,elderbr01
199,Pierce Johnson,32,ATL,NL,3,0,0,2.2,0,0,0,0,0,,0.00,0.00,,,,,/*1,,johnspi01
200,Michael Lorenzen,31,PHI,NL,2,0,0,2.2,0,0,0,0,0,,0.00,0.00,,,,,/1,,lorenmi01
201,Lance Lynn,36,LAD,NL,1,1,0,2.2,1,0,1,0,0,1.000,3.38,1.00,,,,,/1,,lynnla01
202,AJ Smith-Shawver,20,ATL,NL,1,0,0,2.2,0,0,0,0,0,,0.00,0.00,,,,,/1,,smithaj01
203,Ryan Brasier,35,LAD,NL,1,0,0,2.1,1,1,0,0,0,1.000,3.86,1.00,,,,,/1,,brasiry01
204,Caleb Ferguson,26,LAD,NL,2,0,0,2.1,0,0,0,0,0,,0.00,0.00,,,,,/1,,ferguca01
205,Raisel Iglesias,33,ATL,NL,3,0,0,2.1,0,0,0,0,0,,0.00,0.00,,,,,/*1,,iglesra01
206,Hoby Milner,32,MIL,NL,2,0,0,2.1,1,0,1,0,0,1.000,3.86,0.50,,,,,/*1,,milneho01
207,A.J. Minter,29,ATL,NL,3,0,0,2.1,0,0,0,0,0,,0.00,0.00,,,,,/*1,,minteaj01
208,Evan Phillips,28,LAD,NL,2,0,0,2.1,1,1,0,0,0,1.000,3.86,0.50,,,,,/1,,phillev01
209,Cristopher Sánchez,26,PHI,NL,1,1,0,2.1,2,0,2,0,0,1.000,7.71,2.00,,,,,/1,,sanchcr01
210,Christian Bethancourt,31,TBR,AL,1,0,0,2.0,3,3,0,0,0,1.000,13.50,3.00,0,0,0,,/2,,bethach01
