Rk,Player,Age,Team,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,RF/9,RF/G,PB,SB,CS,CS%,Pos,Awards,-9999
1,Manny Machado,25,LAD,NLWS,16,16,16,152.0,57,15,40,2,8,.965,3.26,3.44,,,,,*6,,machama01
2,Justin Turner,33,LAD,NLWS,16,16,16,152.0,46,10,35,1,1,.978,2.66,2.81,,,,,*5,,turneju01
3,Mookie Betts,25,BOS,ALWS,14,14,11,134.0,40,38,2,0,0,1.000,2.69,2.35,,,,,*9/8,,bettsmo01
4,Xander Bogaerts,25,BOS,ALWS,14,14,14,134.0,50,13,37,0,3,1.000,3.36,3.57,,,,,*6,,bogaexa01
5,Yasiel Puig,27,LAD,NLWS,15,13,12,126.2,16,15,1,0,0,1.000,1.14,1.07,,,,,*9/H,,puigya01
6,Cody Bellinger,22,LAD,NLWS,15,11,8,125.0,40,38,1,1,1,.975,2.81,2.05,,,,,*8/H39,NLCS MVP,bellico01
7,Max Muncy,27,LAD,NLWS,16,10,2,124.0,108,100,8,0,8,1.000,7.84,4.91,,,,,*3/4H,,muncyma01
8,Jackie Bradley Jr.,28,BOS,ALWS,13,12,10,117.0,26,26,0,0,0,1.000,2.00,1.73,,,,,*8/7H,ALCS MVP,bradlja02
9,Andrew Benintendi,23,BOS,ALWS,13,13,12,115.0,25,25,0,0,0,1.000,1.96,1.92,,,,,*7/H,,beninan01
10,Chris Taylor,27,LAD,NLWS,15,12,1,105.2,30,23,6,1,2,.967,2.47,1.21,,,,,*7/48,,tayloch03
11,Kiké Hernández,26,LAD,NLWS,15,12,3,105.0,46,24,22,0,4,1.000,3.94,2.09,,,,,*4/87H9,,hernaen02
12,Lorenzo Cain,32,MIL,NL,10,10,10,93.2,21,20,1,0,0,1.000,2.02,2.10,,,,,*8,,cainlo01
13,Mike Moustakas,29,MIL,NL,10,10,10,93.2,29,7,21,1,3,.966,2.69,2.80,,,,,*5,,moustmi01
14,Christian Yelich,26,MIL,NL,10,10,9,93.2,13,13,0,0,0,1.000,1.25,1.18,,,,,*9/7,,yelicch01
15,Christian Vázquez,27,BOS,ALWS,12,10,4,93.0,86,81,4,1,0,.988,8.23,6.54,1,1,2,66.7,*2/3H,,vazquch01
16,Steve Pearce,35,BOS,ALWS,12,11,7,92.0,80,76,4,0,5,1.000,7.83,6.67,,,,,*3/H,WS MVP,pearcst01
17,Ryan Braun,34,MIL,NL,10,10,9,90.2,14,14,0,0,0,1.000,1.39,1.40,,,,,*7,,braunry02
18,Orlando Arcia,23,MIL,NL,10,9,8,84.2,44,18,24,2,5,.955,4.46,4.20,,,,,*6/H,,arciaor01
19,Ian Kinsler,36,BOS,ALWS,11,8,7,82.0,38,20,17,1,2,.974,4.06,3.36,,,,,*4/H,,kinslia01
20,Jesús Aguilar,28,MIL,NL,10,10,5,81.1,70,66,4,0,5,1.000,7.75,7.00,,,,,*3,,aguilje01
21,Austin Barnes,28,LAD,NLWS,10,9,3,81.0,97,93,4,0,1,1.000,10.78,9.70,0,4,2,33.3,*2/H,,barneau01
22,Rafael Devers,21,BOS,ALWS,10,8,5,76.0,23,1,22,0,1,1.000,2.72,2.30,,,,,*5/H,,deverra01
23,Joc Pederson,26,LAD,NLWS,13,6,3,72.1,11,11,0,0,0,1.000,1.37,0.85,,,,,*7/H,,pederjo01
24,Alex Bregman,24,HOU,AL,8,8,8,71.0,27,3,23,1,1,.963,3.30,3.25,,,,,/*5,,bregmal01
25,Carlos Correa,23,HOU,AL,8,8,8,71.0,31,6,24,1,4,.968,3.80,3.75,,,,,/*6,,correca01
26,Yasmani Grandal,29,LAD,NLWS,13,7,6,71.0,79,73,4,2,2,.975,9.76,5.92,3,1,3,75.0,*2/H,,grandya01
27,Yuli Gurriel,34,HOU,AL,8,8,8,71.0,75,68,7,0,4,1.000,9.51,9.38,,,,,/*3,,gourryu01
28,George Springer,28,HOU,AL,8,8,4,71.0,22,22,0,0,0,1.000,2.79,1.83,,,,,*/89,,springe01
29,Marwin González,29,HOU,AL,8,8,6,68.0,20,13,7,0,1,1.000,2.65,2.50,,,,,/74,,gonzama01
30,Travis Shaw,28,MIL,NL,9,7,1,68.0,30,17,13,0,5,1.000,3.97,2.14,,,,,/*43H,,shawtr01
31,Erik Kratz,38,MIL,NL,9,7,5,65.0,80,75,4,1,0,.988,10.94,8.78,0,5,1,16.7,/*2,,kratzer01
32,Brock Holt,30,BOS,ALWS,7,6,3,64.0,38,25,13,0,2,1.000,5.34,3.45,,,,,/4H3579,,holtbr01
33,Josh Reddick,31,HOU,AL,8,7,4,59.0,10,10,0,0,0,1.000,1.53,1.11,,,,,*/97H,,reddijo01
34,Eduardo Núñez,31,BOS,ALWS,8,6,4,57.0,30,7,21,2,1,.933,4.42,3.50,,,,,/5H,,nunezed02
35,David Freese,35,LAD,NLWS,12,10,0,52.0,48,46,2,0,3,1.000,8.31,4.00,,,,,*3/H,,freesda01
36,Martín Maldonado,31,HOU,AL,7,6,4,52.0,60,57,3,0,0,1.000,10.38,8.57,2,0,1,100.0,/*2,,maldoma01
37,Sandy León,29,BOS,ALWS,10,4,2,46.0,54,52,2,0,0,1.000,10.57,5.40,0,1,1,50.0,*2/H,,leonsa01
38,Jose Altuve,28,HOU,AL,5,5,5,44.0,10,5,5,0,1,1.000,2.05,2.00,,,,,/4D,,altuvjo01
39,Didi Gregorius,28,NYY,AL,5,5,5,44.0,17,4,13,0,1,1.000,3.48,3.40,,,,,/*6,,gregodi01
40,Aaron Judge,26,NYY,AL,5,5,5,44.0,13,13,0,0,0,1.000,2.66,2.60,,,,,*/9,,judgeaa01
41,Gary Sánchez,25,NYY,AL,5,5,5,44.0,42,42,0,0,0,1.000,8.59,8.40,0,5,0,0.0,/*2,,sanchga02
42,Gleyber Torres,21,NYY,AL,5,5,5,44.0,18,7,11,0,1,1.000,3.68,3.60,,,,,/*4,,torregl01
43,Luke Voit,27,NYY,AL,5,5,2,41.0,43,40,2,1,0,.977,9.22,8.40,,,,,/*3,,voitlu01
44,Nolan Arenado,27,COL,NL,4,4,4,39.2,14,4,10,0,2,1.000,3.18,3.50,,,,,/*5,,arenano01
