Rk,Player,Age,Team,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,RF/9,RF/G,PB,SB,CS,CS%,Pos,Awards,-9999
62,Trea Turner,29,LAD,NL,4,4,4,34.0,13,4,8,1,1,.923,3.18,3.00,,,,,/*6,,turnetr01
63,Christian Vázquez,31,HOU,ALWS,5,2,2,33.0,44,42,2,0,0,1.000,12.00,8.80,0,3,2,40.0,/2HD,,vazquch01
64,Brandon Drury,29,SDP,NL,4,4,3,32.0,20,20,0,0,5,1.000,5.63,5.00,,,,,/3D,,drurybr01
65,Orlando Arcia,27,ATL,NL,4,3,3,28.0,8,2,6,0,1,1.000,2.57,2.00,,,,,/*4H,,arciaor01
66,Will Smith,27,LAD,NL,4,3,3,28.0,38,38,0,0,0,1.000,12.21,9.50,0,2,0,0.0,/*2D,,smithwi05
67,Pete Alonso,27,NYM,NL,3,3,3,27.0,21,19,2,0,0,1.000,7.00,7.00,,,,,/*3,,alonspe01
68,Mark Canha,33,NYM,NL,3,3,3,27.0,5,5,0,0,0,1.000,1.67,1.67,,,,,*/7,,canhama01
69,Eduardo Escobar,33,NYM,NL,3,3,3,27.0,11,3,8,0,0,1.000,3.67,3.67,,,,,/*5,,escobed01
70,Francisco Lindor,28,NYM,NL,3,3,3,27.0,8,2,6,0,0,1.000,2.67,2.67,,,,,/*6,,lindofr01
71,Starling Marte,33,NYM,NL,3,3,3,27.0,8,8,0,0,0,1.000,2.67,2.67,,,,,*/9,,martest01
72,Jeff McNeil,30,NYM,NL,3,3,3,27.0,14,8,6,0,0,1.000,4.67,4.67,,,,,/*4,,mcneije01
73,Brandon Nimmo,29,NYM,NL,3,3,3,27.0,2,2,0,0,0,1.000,0.67,0.67,,,,,*/8,,nimmobr01
74,Gabriel Arias,22,CLE,AL,3,3,3,26.0,21,18,3,0,1,1.000,7.27,7.00,,,,,/3,,ariasga01
75,Gavin Lux,24,LAD,NL,3,3,3,26.0,5,2,3,0,1,1.000,1.73,1.67,,,,,/*4H,,luxga01
76,Eddie Rosario,30,ATL,NL,4,3,2,26.0,4,4,0,0,0,1.000,1.38,1.00,,,,,*/7,,rosared01
77,Aaron Nola,29,PHI,NLWS,5,5,0,25.2,2,0,2,0,0,1.000,0.70,0.40,,,,,/1,,nolaaa01
78,Yu Darvish,35,SDP,NL,4,4,0,25.0,1,1,0,0,0,1.000,0.36,0.25,,,,,/1,,darviyu01
79,Tomás Nido,28,NYM,NL,3,3,2,25.0,29,27,2,0,0,1.000,10.44,9.67,0,1,2,66.7,/*2,,nidoto01
80,Framber Valdez,28,HOU,ALWS,4,4,0,25.0,3,0,1,2,0,.333,0.36,0.25,,,,,/1,,valdefr01
81,Aledmys Díaz,31,HOU,ALWS,3,3,1,24.0,4,4,0,0,0,1.000,1.50,1.33,,,,,/7DH,,diazal02
82,Randy Arozarena,27,TBR,AL,2,2,2,22.0,0,0,0,0,0,,0.00,0.00,,,,,*/7,,arozara01
83,Yandy Díaz,30,TBR,AL,2,2,1,22.0,11,5,6,0,1,1.000,4.50,3.67,,,,,/*53,,diazya01
84,Wander Franco,21,TBR,AL,2,2,2,22.0,10,4,6,0,2,1.000,4.09,5.00,,,,,/*6,,francwa01
85,Manuel Margot,27,TBR,AL,2,2,2,22.0,4,4,0,0,0,1.000,1.64,2.00,,,,,*/9,,margoma01
86,Jose Siri,26,TBR,AL,2,2,2,22.0,5,5,0,0,0,1.000,2.05,2.50,,,,,*/8,,sirijo01
87,Kyle Higashioka,32,NYY,AL,3,2,2,20.2,20,20,0,0,0,1.000,8.71,6.67,0,0,0,,/2,,higasky01
88,Dylan Moore,29,SEA,AL,3,1,0,20.0,3,3,0,0,0,1.000,1.35,1.00,,,,,/7H5,,mooredy01
89,Justin Verlander,39,HOU,ALWS,4,4,0,20.0,3,1,2,0,0,1.000,1.35,0.75,,,,,/1,,verlaju01
90,Joe Musgrove,29,SDP,NL,3,3,0,18.2,8,5,3,0,0,1.000,3.86,2.67,,,,,/1,,musgrjo01
91,Gerrit Cole,31,NYY,AL,3,3,0,18.1,2,1,1,0,0,1.000,0.98,0.67,,,,,/1,,colege01
92,Nolan Arenado,31,STL,NL,2,2,2,18.0,9,2,7,0,0,1.000,4.50,4.50,,,,,/*5,,arenano01
93,Cody Bellinger,26,LAD,NL,3,2,1,18.0,3,3,0,0,0,1.000,1.50,1.00,,,,,*/8H,,bellico01
94,Bo Bichette,24,TOR,AL,2,2,2,18.0,2,1,1,0,0,1.000,1.00,1.00,,,,,/*6,,bichebo01
95,Matt Chapman,29,TOR,AL,2,2,2,18.0,9,3,6,0,0,1.000,4.50,4.50,,,,,/*5,,chapmma01
96,Tommy Edman,27,STL,NL,2,2,1,18.0,8,2,6,0,1,1.000,4.00,2.67,,,,,/*64,,edmanto01
97,Paul Goldschmidt,34,STL,NL,2,2,2,18.0,20,18,2,0,1,1.000,10.00,10.00,,,,,/*3,,goldspa01
98,Vladimir Guerrero Jr.,23,TOR,AL,2,2,2,18.0,18,17,1,0,0,1.000,9.00,9.00,,,,,/*3,,guerrvl02
99,Teoscar Hernández,29,TOR,AL,2,2,2,18.0,3,3,0,0,0,1.000,1.50,1.50,,,,,*/9,,hernate01
100,Yadier Molina,39,STL,NL,2,2,2,18.0,15,15,0,0,0,1.000,7.50,7.50,0,0,1,100.0,/*2,,molinya01
101,Lars Nootbaar,24,STL,NL,2,2,1,18.0,7,6,1,0,0,1.000,3.50,2.33,,,,,*/789,,nootbla01
102,Jiman Choi,31,TBR,AL,2,2,1,17.0,23,22,1,0,3,1.000,12.18,11.50,,,,,/*3,,choiji01
103,Giancarlo Stanton,32,NYY,AL,2,2,2,17.0,7,7,0,0,0,1.000,3.71,3.50,,,,,/7D,,stantmi03
104,George Springer,32,TOR,AL,2,2,1,16.2,2,2,0,0,0,1.000,1.08,1.00,,,,,*/8,,springe01
105,Corey Dickerson,33,STL,NL,2,2,1,16.0,3,3,0,0,0,1.000,1.69,1.50,,,,,*/7,,dickeco01
106,Brendan Donovan,25,STL,NL,2,2,1,16.0,7,3,4,0,0,1.000,3.94,3.50,,,,,/*4,,donovbr01
107,Lance McCullers Jr.,28,HOU,ALWS,3,3,0,15.1,4,3,1,0,0,1.000,2.35,1.33,,,,,/1,,mcculla02
108,Christian Bethancourt,30,TBR,AL,2,2,1,15.0,14,12,2,0,0,1.000,8.40,7.00,0,1,0,0.0,/*2,,bethach01
109,Chris Taylor,31,LAD,NL,2,2,1,15.0,1,1,0,0,0,1.000,0.60,0.50,,,,,/7,,tayloch03
110,Ranger Suarez,26,PHI,NLWS,5,3,0,14.2,4,1,3,0,0,1.000,2.45,0.80,,,,,/1,,suarera01
111,Luis Castillo,29,SEA,AL,2,2,0,14.1,1,0,1,0,0,1.000,0.63,0.50,,,,,/1,,castilu02
112,Whit Merrifield,33,TOR,AL,2,2,1,14.0,4,2,2,0,0,1.000,2.57,2.00,,,,,/47,,merriwh01
113,Blake Snell,29,SDP,NL,3,3,0,13.2,1,0,1,0,0,1.000,0.66,0.33,,,,,/1,,snellbl01
114,Shane Bieber,27,CLE,AL,2,2,0,13.1,2,1,1,0,0,1.000,1.35,1.00,,,,,/1,,biebesh01
115,Luke Maile,31,CLE,AL,5,0,0,13.0,17,16,1,0,0,1.000,11.77,3.40,0,0,0,,/*2,,mailelu01
116,Raimel Tapia,28,TOR,AL,2,1,1,13.0,2,2,0,0,0,1.000,1.38,1.00,,,,,*/7,,tapiara01
117,Cristian Javier,25,HOU,ALWS,3,2,0,12.2,0,0,0,0,0,,0.00,0.00,,,,,/1,,javiecr01
118,Nestor Cortes,27,NYY,AL,3,3,0,12.0,2,0,2,0,0,1.000,1.50,0.67,,,,,/1,,cortene01
119,Taylor Walls,25,TBR,AL,2,1,0,12.0,3,1,1,1,0,.667,1.50,1.00,,,,,/45H,,wallsta01
120,Bryan Abreu,25,HOU,ALWS,10,0,0,11.1,0,0,0,0,0,,0.00,0.00,,,,,*1,,abreubr01
121,José Alvarado,27,PHI,NLWS,12,0,0,11.1,1,1,0,0,0,1.000,0.79,0.08,,,,,*1,,alvarjo03
122,Aaron Hicks,32,NYY,AL,2,2,1,11.1,1,0,1,0,0,1.000,0.79,0.50,,,,,/7,,hicksaa01
123,Trey Mancini,30,HOU,WS,2,1,1,11.0,8,8,0,0,1,1.000,6.55,4.00,,,,,/3DH,,mancitr01
124,Nick Martinez,31,SDP,NL,7,0,0,11.0,2,0,2,0,0,1.000,1.64,0.29,,,,,/1,,martini01
125,Triston McKenzie,24,CLE,AL,2,2,0,11.0,1,0,1,0,0,1.000,0.82,0.50,,,,,/1,,mckentr01
126,Ryan Pressly,33,HOU,ALWS,10,0,0,11.0,1,0,1,0,0,1.000,0.82,0.10,,,,,*1,,pressry01
127,Luis Severino,28,NYY,AL,2,2,0,11.0,2,2,0,0,0,1.000,1.64,1.00,,,,,/1,,severlu01
128,Seranthony Domínguez,27,PHI,NLWS,9,0,0,10.2,1,0,1,0,0,1.000,0.84,0.11,,,,,/1,,dominse01
129,Zach Eflin,28,PHI,NLWS,10,0,0,10.2,0,0,0,0,0,,0.00,0.00,,,,,1,,eflinza01
130,Oswald Peraza,22,NYY,AL,3,1,1,10.0,11,6,5,0,1,1.000,9.90,3.67,,,,,/*6H,,perazos02
131,Cal Quantrill,27,CLE,AL,2,2,0,10.0,3,3,0,0,0,1.000,2.70,1.50,,,,,/1,,quantca01
132,Jonathan Loáisiga,27,NYY,AL,6,0,0,9.1,5,1,4,0,1,1.000,4.82,0.83,,,,,/1,,loaisjo01
133,Rafael Montero,31,HOU,ALWS,10,0,0,9.1,0,0,0,0,0,,0.00,0.00,,,,,*1,,montera01
134,Dylan Carlson,23,STL,NL,1,1,0,9.0,2,2,0,0,0,1.000,2.00,1.00,,,,,/89H,,carlsdy01
135,Mauricio Dubón,27,HOU,ALWS,6,0,0,9.0,1,1,0,0,0,1.000,1.00,0.17,,,,,/8,,dubonma01
136,Santiago Espinal,27,TOR,AL,1,1,1,9.0,4,1,2,1,0,.750,3.00,3.00,,,,,/4,,espinsa01
137,Danny Jansen,27,TOR,AL,1,1,1,9.0,14,14,0,0,0,1.000,14.00,14.00,0,0,0,,/2D,,janseda01
138,Alejandro Kirk,23,TOR,AL,1,1,1,9.0,6,6,0,0,0,1.000,6.00,6.00,0,0,0,,/2D,,kirkal01
139,Isaac Paredes,23,TBR,AL,1,1,0,9.0,3,0,3,0,0,1.000,3.00,3.00,,,,,/4H,,paredis01
140,Robert Suarez,31,SDP,NL,7,0,0,9.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,suarero01
141,Juan Yepez,24,STL,NL,1,1,1,9.0,1,1,0,0,0,1.000,1.00,1.00,,,,,/9H,,yepezju01
142,Connor Brogdon,27,PHI,NLWS,7,0,0,8.2,0,0,0,0,0,,0.00,0.00,,,,,/1,,brogdco01
143,Wandy Peralta,30,NYY,AL,7,0,0,8.2,1,0,1,0,0,1.000,1.04,0.14,,,,,/*1,,peralwa01
144,Noah Syndergaard,29,PHI,NLWS,4,2,0,8.1,1,1,0,0,0,1.000,1.08,0.25,,,,,/1,,syndeno01
145,George Kirby,24,SEA,AL,2,1,0,8.0,1,0,1,0,0,1.000,1.13,0.50,,,,,/1,,kirbyge01
146,Justin Turner,37,LAD,NL,1,1,1,8.0,2,1,1,0,0,1.000,2.25,2.00,,,,,/*D5,,turneju01
147,David Robertson,37,PHI,NLWS,8,0,0,7.2,1,0,1,0,0,1.000,1.17,0.13,,,,,/1,,roberda08
148,Andrew Bellatti,30,PHI,NLWS,8,0,0,7.0,1,0,1,0,0,1.000,1.29,0.13,,,,,/1,,bellaan01
149,Robbie Grossman,32,ATL,NL,2,1,0,7.0,1,1,0,0,0,1.000,1.29,0.50,,,,,/7,,grossro01
150,Shane McClanahan,25,TBR,AL,1,1,0,7.0,2,0,2,0,0,1.000,2.57,2.00,,,,,/1,,mcclash01
151,Francisco Mejia,26,TBR,AL,1,0,0,7.0,12,12,0,0,0,1.000,15.43,12.00,0,0,0,,/2,,mejiafr01
152,Jake Meyers,26,HOU,AL,1,1,0,7.0,1,1,0,0,0,1.000,1.29,1.00,,,,,/8H,,meyerja02
153,Sam Hentges,25,CLE,AL,3,0,0,6.1,0,0,0,0,0,,0.00,0.00,,,,,/1,,hentgsa01
154,Austin Barnes,32,LAD,NL,1,1,0,6.0,9,9,0,0,0,1.000,13.50,9.00,0,0,0,,/2H,,barneau01
155,Vidal Bruján,24,TBR,AL,2,0,0,6.0,2,1,1,0,0,1.000,3.00,1.00,,,,,/*4H,,brujavi01
156,Emmanuel Clase,24,CLE,AL,4,0,0,6.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,claseem01
157,Jacob deGrom,34,NYM,NL,1,1,0,6.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,degroja01
158,Vaughn Grissom,21,ATL,NL,1,1,0,6.0,2,1,1,0,0,1.000,3.00,2.00,,,,,/4H,,grissva01
159,Clay Holmes,29,NYY,AL,5,0,0,6.0,3,1,2,0,1,1.000,4.50,0.60,,,,,/1,,holmecl01
160,Hector Neris,33,HOU,ALWS,8,0,0,6.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,nerishe01
161,Kyle Wright,26,ATL,NL,1,1,0,6.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,wrighky01
162,Luis Garcia,25,HOU,ALWS,2,0,0,5.2,0,0,0,0,0,,0.00,0.00,,,,,/1,,garcilu05
163,Kevin Gausman,31,TOR,AL,1,1,0,5.2,1,0,1,0,0,1.000,1.59,1.00,,,,,/1,,gausmke01
164,Brad Hand,32,PHI,NLWS,7,0,0,5.2,1,1,0,0,0,1.000,1.59,0.14,,,,,/1,,handbr01
165,Alek Manoah,24,TOR,AL,1,1,0,5.2,3,2,1,0,0,1.000,4.76,3.00,,,,,/1,,manoaal01
166,Andrés Muñoz,23,SEA,AL,5,0,0,5.2,1,1,0,0,0,1.000,1.59,0.20,,,,,/*1,,munozan01
167,Trevor Stephan,26,CLE,AL,4,0,0,5.2,0,0,0,0,0,,0.00,0.00,,,,,/1,,stephtr01
168,Logan Gilbert,25,SEA,AL,1,1,0,5.1,0,0,0,0,0,,0.00,0.00,,,,,/1,,gilbelo01
169,Josh Hader,28,SDP,NL,5,0,0,5.1,0,0,0,0,0,,0.00,0.00,,,,,/1,,haderjo01
170,Jose Quintana,33,STL,NL,1,1,0,5.1,0,0,0,0,0,,0.00,0.00,,,,,/1,,quintjo01
171,Tyler Anderson,32,LAD,NL,1,1,0,5.0,1,0,1,0,0,1.000,1.80,1.00,,,,,/1,,anderty01
172,Tyler Glasnow,28,TBR,AL,1,1,0,5.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,glasnty01
173,James Karinchak,26,CLE,AL,4,0,0,5.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,karinja01
174,Clayton Kershaw,34,LAD,NL,1,1,0,5.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,kershcl01
175,Julio Urías,25,LAD,NL,1,1,0,5.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,uriasju01
176,Luis García,35,SDP,NL,4,0,0,4.2,1,1,0,0,0,1.000,1.93,0.25,,,,,/1,,garcilu03
177,Max Scherzer,37,NYM,NL,1,1,0,4.2,0,0,0,0,0,,0.00,0.00,,,,,/1,,scherma01
178,Pierce Johnson,31,SDP,NL,3,0,0,4.1,0,0,0,0,0,,0.00,0.00,,,,,/1,,johnspi01
179,Miles Mikolas,33,STL,NL,1,1,0,4.1,1,0,1,0,0,1.000,2.08,1.00,,,,,/1,,mikolmi01
180,Jameson Taillon,30,NYY,AL,2,1,0,4.1,0,0,0,0,0,,0.00,0.00,,,,,/1,,taillja01
181,Chris Bassitt,33,NYM,NL,1,1,0,4.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,bassich01
182,Hunter Brown,23,HOU,AL,3,0,0,3.2,1,0,1,0,0,1.000,2.45,0.33,,,,,/1,,brownhu01
183,Marwin González,33,NYY,AL,1,0,0,3.2,1,1,0,0,0,1.000,2.45,1.00,,,,,/7,,gonzama01
184,Robbie Ray,30,SEA,AL,3,1,0,3.2,0,0,0,0,0,,0.00,0.00,,,,,/1,,rayro02
185,Lou Trivino,30,NYY,AL,4,0,0,3.2,0,0,0,0,0,,0.00,0.00,,,,,/1,,trivilo01
186,Steven Wilson,27,SDP,NL,4,0,0,3.2,0,0,0,0,0,,0.00,0.00,,,,,/1,,wilsost02
187,Matt Brash,24,SEA,AL,3,0,0,3.1,0,0,0,0,0,,0.00,0.00,,,,,/1,,brashma01
188,Jesse Chavez,38,ATL,NL,2,0,0,3.1,0,0,0,0,0,,0.00,0.00,,,,,/1,,chaveje01
189,Enyel De Los Santos,26,CLE,AL,3,0,0,3.1,0,0,0,0,0,,0.00,0.00,,,,,/1,,delosen01
190,Matt Festa,29,SEA,AL,2,0,0,3.1,0,0,0,0,0,,0.00,0.00,,,,,/1,,festama01
191,Max Fried,28,ATL,NL,1,1,0,3.1,2,1,0,1,0,.500,2.70,1.00,,,,,/1,,friedma01
192,Collin McHugh,35,ATL,NL,2,0,0,3.1,0,0,0,0,0,,0.00,0.00,,,,,/1,,mchugco01
193,Eli Morgan,26,CLE,AL,3,0,0,3.1,0,0,0,0,0,,0.00,0.00,,,,,/1,,morgael01
194,Evan Phillips,27,LAD,NL,3,0,0,3.1,0,0,0,0,0,,0.00,0.00,,,,,/*1,,phillev01
195,Paul Sewald,32,SEA,AL,3,0,0,3.1,0,0,0,0,0,,0.00,0.00,,,,,/1,,sewalpa01
196,José Azócar,26,SDP,NL,2,0,0,3.0,1,1,0,0,0,1.000,3.00,0.50,,,,,/7H,,azocajo01
197,Josh Bell,29,SDP,NL,1,0,0,3.0,6,5,1,0,0,1.000,18.00,6.00,,,,,/*D3H,,belljo02
198,Andrew Heaney,31,LAD,NL,1,0,0,3.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,heanean01
199,Jake Odorizzi,32,ATL,NL,1,0,0,3.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,odorija01
200,Ryne Stanek,30,HOU,ALWS,4,0,0,3.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,stanery01
201,José Urquidy,27,HOU,WS,1,0,0,3.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,urquijo01
202,Mike Clevinger,31,SDP,NL,2,2,0,2.2,0,0,0,0,0,,0.00,0.00,,,,,/1,,clevimi01
203,Edwin Díaz,28,NYM,NL,2,0,0,2.2,4,2,2,0,0,1.000,13.50,2.00,,,,,/1,,diazed04
204,Tim Hill,32,SDP,NL,3,0,0,2.2,0,0,0,0,0,,0.00,0.00,,,,,/1,,hillti01
205,Dylan Lee,27,ATL,NL,3,0,0,2.2,1,1,0,0,0,1.000,3.38,0.33,,,,,/*1,,leedy01
206,A.J. Minter,28,ATL,NL,2,0,0,2.2,0,0,0,0,0,,0.00,0.00,,,,,/1,,minteaj01
207,Jordan Montgomery,29,STL,NL,1,0,0,2.2,1,0,1,0,0,1.000,3.38,1.00,,,,,/1,,montgjo01
208,Penn Murfee,28,SEA,AL,2,0,0,2.2,0,0,0,0,0,,0.00,0.00,,,,,/1,,murfepe01
209,Alex Vesia,26,LAD,NL,3,0,0,2.2,1,0,1,0,0,1.000,3.38,0.33,,,,,/*1,,vesiaal01
