Rk,Player,Age,Team,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,RF/9,RF/G,PB,SB,CS,CS%,Pos,Awards,-9999
1,Rhys Hoskins,29,PHI,NLWS,17,17,17,150.0,141,131,8,2,7,.986,8.34,8.18,,,,,*3,,hoskirh01
2,J.T. Realmuto,31,PHI,NLWS,17,17,17,150.0,170,164,6,0,1,1.000,10.20,10.00,0,4,2,33.3,*2,,realmjt01
3,Jean Segura,32,PHI,NLWS,17,17,17,150.0,60,19,40,1,5,.983,3.54,3.47,,,,,*4,,segurje01
4,Nick Castellanos,30,PHI,NLWS,17,17,15,147.0,23,23,0,0,0,1.000,1.41,1.35,,,,,*9,,casteni01
5,Alec Bohm,25,PHI,NLWS,17,17,9,140.0,50,16,32,2,2,.960,3.09,2.82,,,,,*5,,bohmal01
6,Kyle Schwarber,29,PHI,NLWS,17,17,11,139.0,30,28,1,1,0,.967,1.88,1.71,,,,,*7,,schwaky01
7,Jose Altuve,32,HOU,ALWS,13,13,13,126.0,37,10,26,1,4,.973,2.57,2.77,,,,,*4,,altuvjo01
8,Alex Bregman,28,HOU,ALWS,13,13,13,126.0,36,11,25,0,1,1.000,2.57,2.77,,,,,*5,,bregmal01
9,Jeremy Peña,24,HOU,ALWS,13,13,13,126.0,51,22,28,1,4,.980,3.57,3.85,,,,,*6,ALCS MVPWS MVP,penaje02
10,Kyle Tucker,25,HOU,ALWS,13,13,13,126.0,30,30,0,0,0,1.000,2.14,2.31,,,,,*9,,tuckeky01
11,Bryson Stott,24,PHI,NLWS,16,13,13,121.0,44,11,33,0,3,1.000,3.27,2.75,,,,,*6/H,,stottbr01
12,Yuli Gurriel,38,HOU,ALWS,12,12,11,115.0,99,92,6,1,5,.990,7.67,8.17,,,,,*3,,gourryu01
13,Brandon Marsh,24,PHI,NLWS,16,12,11,114.0,29,28,0,1,0,.966,2.21,1.75,,,,,*8/H,,marshbr02
14,Chas McCormick,27,HOU,ALWS,12,12,7,114.0,19,19,0,0,0,1.000,1.50,1.27,,,,,*8/7,,mccorch01
15,Jake Cronenworth,28,SDP,NL,12,12,12,103.0,32,18,14,0,7,1.000,2.80,2.67,,,,,*4,,croneja01
16,Trent Grisham,25,SDP,NL,12,12,12,103.0,32,32,0,0,0,1.000,2.80,2.67,,,,,*8,,grishtr01
17,Ha-Seong Kim,26,SDP,NL,12,12,12,103.0,30,9,21,0,5,1.000,2.62,2.50,,,,,*6,,kimha01
18,Manny Machado,29,SDP,NL,12,12,12,103.0,33,14,19,0,3,1.000,2.88,2.75,,,,,*5,,machama01
19,Austin Nola,32,SDP,NL,12,12,12,103.0,114,111,3,0,0,1.000,9.96,9.50,0,7,1,12.5,*2,,nolaau01
20,Juan Soto,23,SDP,NL,12,12,12,103.0,34,33,0,1,0,.971,2.88,2.75,,,,,*9,,sotoju01
21,Jurickson Profar,29,SDP,NL,12,12,10,100.0,16,15,1,0,0,1.000,1.44,1.33,,,,,*7,,profaju01
22,Yordan Alvarez,25,HOU,ALWS,10,10,9,98.0,14,13,1,0,0,1.000,1.29,1.40,,,,,*7/D,,alvaryo01
23,Martín Maldonado,35,HOU,ALWS,11,11,8,93.0,124,121,3,0,0,1.000,12.00,11.27,1,1,0,0.0,*2,,maldoma01
24,Harrison Bader,28,NYY,AL,9,9,9,79.2,17,15,0,2,0,.882,1.69,1.67,,,,,*/8,,baderha01
25,Aaron Judge,30,NYY,AL,9,9,9,79.2,21,21,0,0,0,1.000,2.37,2.33,,,,,*/9,,judgeaa01
26,Anthony Rizzo,32,NYY,AL,9,9,9,79.2,81,71,9,1,9,.988,9.04,8.89,,,,,/*3,,rizzoan01
27,Gleyber Torres,25,NYY,AL,9,9,9,79.2,34,13,20,1,4,.971,3.73,3.67,,,,,/*4,,torregl01
28,Josh Donaldson,36,NYY,AL,9,9,8,78.2,24,5,18,1,3,.958,2.63,2.56,,,,,/*5,,donaljo02
29,Oswaldo Cabrera,23,NYY,AL,8,8,7,71.2,18,13,5,0,1,1.000,2.26,2.00,,,,,/76,,cabreos01
30,Andrés Giménez,23,CLE,AL,7,7,7,68.0,26,10,16,0,5,1.000,3.44,3.71,,,,,/*4,,gimenan01
31,Oscar González,24,CLE,AL,7,7,7,68.0,10,8,1,1,0,.900,1.19,1.29,,,,,*/9,,gonzaos01
32,Steven Kwan,24,CLE,AL,7,7,7,68.0,17,17,0,0,0,1.000,2.25,2.43,,,,,*/7,,kwanst01
33,Wil Myers,31,SDP,NL,9,8,7,68.0,49,44,4,1,3,.980,6.35,5.33,,,,,/*3DH,,myerswi01
34,José Ramírez,29,CLE,AL,7,7,7,68.0,24,5,19,0,3,1.000,3.18,3.43,,,,,/*5,,ramirjo01
35,Amed Rosario,26,CLE,AL,7,7,7,68.0,24,9,14,1,2,.958,3.04,3.29,,,,,/*6,,rosaram01
36,Myles Straw,27,CLE,AL,7,7,7,68.0,21,21,0,0,0,1.000,2.78,3.00,,,,,*/8,,strawmy01
37,Jose Trevino,29,NYY,AL,7,7,6,59.0,53,52,1,0,0,1.000,8.08,7.57,0,3,0,0.0,/*2,,trevijo01
38,Austin Hedges,29,CLE,AL,7,7,2,55.0,68,65,2,1,0,.985,10.96,9.57,0,7,2,22.2,/*2,,hedgeau01
39,J.P. Crawford,27,SEA,AL,5,5,5,52.2,21,6,15,0,2,1.000,3.59,4.20,,,,,/*6,,crawfjp01
40,Ty France,27,SEA,AL,5,5,5,52.2,42,40,2,0,4,1.000,7.18,8.40,,,,,/*3,,francty01
41,Adam Frazier,30,SEA,AL,5,5,5,52.2,21,10,11,0,2,1.000,3.59,4.20,,,,,/*4,,fraziad01
42,Mitch Haniger,31,SEA,AL,5,5,5,52.2,13,13,0,0,0,1.000,2.22,2.60,,,,,*/9,,hanigmi01
43,Cal Raleigh,25,SEA,AL,5,5,5,52.2,54,54,0,0,0,1.000,9.23,10.80,1,4,0,0.0,/*2,,raleica01
44,Julio Rodríguez,21,SEA,AL,5,5,5,52.2,18,18,0,0,0,1.000,3.08,3.60,,,,,*/8,,rodriju01
45,Matt Vierling,25,PHI,NLWS,12,5,1,48.0,13,13,0,0,0,1.000,2.44,1.00,,,,,*/78H9,,vierlma01
46,Isiah Kiner-Falefa,27,NYY,AL,6,5,3,46.2,20,9,10,1,3,.950,3.66,2.71,,,,,/65,,kineris01
47,Eugenio Suárez,30,SEA,AL,5,5,4,43.2,11,3,8,0,1,1.000,2.27,2.20,,,,,/*5,,suareeu01
48,Josh Naylor,25,CLE,AL,4,4,4,42.0,32,30,2,0,4,1.000,6.86,8.00,,,,,/3D,,naylojo01
49,Jarred Kelenic,22,SEA,AL,5,4,3,41.2,10,10,0,0,0,1.000,2.16,2.00,,,,,*/7H,,kelenja01
50,Edmundo Sosa,26,PHI,NLWS,12,4,1,39.0,23,8,14,1,3,.957,5.08,1.83,,,,,/56H,,sosaed01
51,Zack Wheeler,32,PHI,NLWS,6,6,0,35.2,6,4,2,0,0,1.000,1.51,1.00,,,,,/1,,wheelza01
52,Ronald Acuña Jr.,24,ATL,NL,4,4,4,34.0,5,5,0,0,0,1.000,1.32,1.25,,,,,*/9,,acunaro01
53,Mookie Betts,29,LAD,NL,4,4,4,34.0,4,4,0,0,0,1.000,1.06,1.00,,,,,*/9,,bettsmo01
54,Travis d'Arnaud,33,ATL,NL,4,4,4,34.0,36,35,1,0,0,1.000,9.53,9.00,0,1,0,0.0,/*2,,darnatr01
55,Freddie Freeman,32,LAD,NL,4,4,4,34.0,26,25,1,0,1,1.000,6.88,6.50,,,,,/*3,,freemfr01
56,Michael Harris II,21,ATL,NL,4,4,4,34.0,15,15,0,0,0,1.000,3.97,3.75,,,,,*/8,,harrimi04
57,Max Muncy,31,LAD,NL,4,4,4,34.0,7,3,4,0,0,1.000,1.85,1.75,,,,,/*54,,muncyma01
58,Matt Olson,28,ATL,NL,4,4,4,34.0,29,26,3,0,2,1.000,7.68,7.25,,,,,/*3,,olsonma02
59,Austin Riley,25,ATL,NL,4,4,4,34.0,12,5,7,0,1,1.000,3.18,3.00,,,,,/*5,,rileyau01
60,Dansby Swanson,28,ATL,NL,4,4,4,34.0,14,6,8,0,1,1.000,3.71,3.50,,,,,/*6,,swansda01
61,Trayce Thompson,31,LAD,NL,4,4,2,34.0,11,11,0,0,0,1.000,2.91,1.83,,,,,*/78,,thomptr01
