Rk,Player,Age,Team,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,lgRF9,RF/G,lgRFG,PB,WP,SB,CS,CS%,Pick,Pos,Awards,-9999
1,Matt Olson,30,ATL,NL,162,162,162,1443.1,1370,1259,105,6,125,.996,15,12,13,11,8.51,8.29,8.42,8.18,,,,,,,*3,,olsonma02
2,Jarren Duran,27,BOS,AL,160,160,125,1421.1,374,356,12,6,2,.984,1,1,23,19,2.33,2.27,2.30,2.24,,,,,,,*87,ASMVP-8,duranja01
3,Anthony Volpe,23,NYY,AL,160,158,156,1416.2,570,210,344,16,68,.972,4,3,6,5,3.52,3.70,3.46,3.65,,,,,,,*6/H,,volpean01
4,Pete Alonso,29,NYM,NL,161,159,157,1412.1,1285,1179,99,7,117,.995,-1,0,-3,-3,8.14,8.29,7.94,8.18,,,,,,,*3/DH,AS,alonspe01
5,Willy Adames,28,MIL,NL,161,161,151,1406.1,547,204,323,20,66,.963,-10,-9,-16,-14,3.37,3.82,3.27,3.77,,,,,,,*6,MVP-10,adamewi01
6,Bobby Witt Jr.,24,KCR,AL,160,160,149,1393.2,583,207,361,15,78,.974,-4,-3,2,2,3.67,3.70,3.55,3.65,,,,,,,*6/D,ASMVP-2GGSS,wittbo02
7,Elly De La Cruz,22,CIN,NL,160,159,155,1391.0,636,247,360,29,70,.954,-3,-2,-2,-2,3.93,3.82,3.79,3.77,,,,,,,*6/H,ASMVP-8,delacel01
8,Jeremy Peña,26,HOU,AL,157,157,153,1388.0,620,221,380,19,86,.969,7,6,4,3,3.90,3.70,3.83,3.65,,,,,,,*6,,penaje02
9,Gunnar Henderson,23,BAL,AL,157,157,149,1384.0,635,232,378,25,71,.961,4,4,5,4,3.97,3.70,3.89,3.65,,,,,,,*6/D,ASMVP-4,hendegu01
10,Marcus Semien,33,TEX,AL,159,159,148,1382.2,610,214,389,7,77,.989,12,10,10,9,3.93,3.97,3.79,3.91,,,,,,,*4,AS,semiema01
11,Orlando Arcia,29,ATL,NL,157,156,150,1381.1,572,168,393,11,87,.981,-1,-1,-1,-1,3.66,3.82,3.57,3.77,,,,,,,*6,,arciaor01
12,Ezequiel Tovar,22,COL,NL,157,156,156,1375.2,676,233,435,8,113,.988,18,16,10,9,4.37,3.82,4.25,3.77,,,,,,,*6,MVP-19GG,tovarez01
13,Nick Castellanos,32,PHI,NL,157,157,143,1363.2,269,263,3,3,0,.989,-3,-3,-11,-10,1.76,2.21,1.69,2.18,,,,,,,*9/D,,casteni01
14,Eugenio Suárez,32,ARI,NL,155,154,146,1361.2,390,88,292,10,33,.974,3,3,-4,-4,2.51,2.55,2.45,2.51,,,,,,,*5/D,,suareeu01
15,Gleyber Torres,27,NYY,AL,153,152,144,1342.2,582,234,330,18,74,.969,-10,-9,-11,-10,3.78,3.97,3.69,3.91,,,,,,,*4/H,,torregl01
16,Matt Chapman,31,SFG,NL,154,153,147,1338.0,405,100,290,15,34,.963,15,14,17,15,2.62,2.55,2.53,2.51,,,,,,,*5/H,MVP-11GG,chapmma01
17,Willi Castro,27,MIN,AL,158,150,116,1334.1,433,247,178,8,24,.982,-23,-20,-18,-16,2.87,3.15,2.31,3.05,,,,,,,64785/H1,AS,castrwi01
18,Ceddanne Rafaela,23,BOS,AL,151,147,114,1333.1,489,297,180,12,41,.975,-3,-2,10,9,3.22,3.02,2.61,2.97,,,,,,,864/5H9,,rafaece01
19,Zach Neto,23,LAA,AL,155,153,148,1332.2,654,231,405,18,103,.972,13,12,11,10,4.30,3.70,4.10,3.65,,,,,,,*6/H,,netoza01
20,Andrés Giménez,25,CLE,AL,152,151,144,1331.0,638,233,396,9,93,.986,13,11,20,18,4.25,3.97,4.14,3.91,,,,,,,*4,GG,gimenan01
21,Juan Soto,25,NYY,AL,151,151,140,1329.2,314,302,10,2,1,.994,-4,-4,0,0,2.11,2.27,2.07,2.24,,,,,,,*9/7DH,ASMVP-3SS,sotoju01
22,Jackson Merrill,21,SDP,NL,155,148,147,1323.1,403,392,8,3,4,.993,-4,-4,0,0,2.72,2.21,2.58,2.18,,,,,,,*8/H,ASMVP-9ROY-2SS,merrija01
23,Corbin Carroll,23,ARI,NL,156,146,139,1317.0,366,358,6,2,2,.995,-12,-11,-3,-3,2.49,2.21,2.33,2.18,,,,,,,*89/H,,carroco02
24,Paul Goldschmidt,36,STL,NL,150,148,143,1313.0,1323,1216,102,5,137,.996,-4,-3,0,0,9.03,8.29,8.79,8.18,,,,,,,*3/DH,,goldspa01
25,Francisco Lindor,30,NYM,NL,151,150,141,1311.2,564,194,358,12,74,.979,7,6,1,1,3.79,3.82,3.66,3.77,,,,,,,*6/DH,MVP-2SS,lindofr01
26,Alex Verdugo,28,NYY,AL,149,145,134,1308.2,293,285,7,1,1,.997,10,9,7,6,2.01,2.27,1.96,2.24,,,,,,,*79/8,,verdual01
27,Teoscar Hernández,31,LAD,NL,154,154,104,1308.0,263,253,7,3,3,.989,-2,-2,-3,-3,1.79,2.21,1.69,2.18,,,,,,,*79,ASMVP-19SS,hernate01
28,Nico Hoerner,27,CHC,NL,150,149,137,1307.1,610,238,363,9,64,.985,-6,-6,3,3,4.14,4.13,3.90,4.07,,,,,,,*46/H,,hoernni01
29,Ryan McMahon,29,COL,NL,152,149,142,1306.2,436,98,323,15,33,.966,11,10,10,9,2.90,2.55,2.77,2.51,,,,,,,*5/DH,AS,mcmahry01
