Rk,Player,Age,Team,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,RF/9,RF/G,PB,SB,CS,CS%,Pos,Awards,-9999
1,Jose Altuve,29,HOU,ALWS,18,18,18,161.0,51,24,26,1,10,.980,2.80,2.78,,,,,*4,ALCS MVP,altuvjo01
2,Alex Bregman,25,HOU,ALWS,18,18,18,161.0,50,14,33,3,5,.940,2.63,2.61,,,,,*5,,bregmal01
3,Carlos Correa,24,HOU,ALWS,18,18,18,161.0,47,14,33,0,5,1.000,2.63,2.61,,,,,*6,,correca01
4,Yuli Gurriel,35,HOU,ALWS,18,18,18,161.0,127,120,7,0,13,1.000,7.10,7.06,,,,,*3,,gourryu01
5,George Springer,29,HOU,ALWS,18,18,5,161.0,53,52,0,1,0,.981,2.91,1.68,,,,,*89,,springe01
6,Michael Brantley,32,HOU,ALWS,18,18,8,154.0,27,26,1,0,1,1.000,1.58,1.23,,,,,*7/9,,brantmi02
7,Anthony Rendon,29,WSN,NLWS,17,17,17,153.0,46,14,31,1,3,.978,2.65,2.65,,,,,*5,,rendoan01
8,Juan Soto,20,WSN,NLWS,17,17,17,153.0,30,27,1,2,0,.933,1.65,1.65,,,,,*7,,sotoju01
9,Trea Turner,26,WSN,NLWS,17,17,17,153.0,48,16,31,1,5,.979,2.76,2.76,,,,,*6,,turnetr01
10,Adam Eaton,30,WSN,NLWS,17,17,15,151.0,31,30,1,0,0,1.000,1.85,1.82,,,,,*9,,eatonad02
11,Ryan Zimmerman,34,WSN,NLWS,14,14,13,125.0,99,97,2,0,7,1.000,7.13,7.07,,,,,*3/H,,zimmery01
12,Robinson Chirinos,35,HOU,ALWS,14,12,11,107.0,123,119,4,0,0,1.000,10.35,8.79,0,5,0,0.0,*2,,chiriro01
13,Víctor Robles,22,WSN,NLWS,12,12,10,103.0,30,30,0,0,0,1.000,2.62,2.50,,,,,*8,,roblevi01
14,Howie Kendrick,35,WSN,NLWS,12,12,6,99.2,50,29,18,3,5,.940,4.24,3.62,,,,,/43DH,NLCS MVP,kendrho01
15,Josh Reddick,32,HOU,ALWS,14,12,1,98.0,19,19,0,0,0,1.000,1.74,0.95,,,,,*9/7H,,reddijo01
16,Brett Gardner,35,NYY,AL,9,9,8,81.2,18,18,0,0,0,1.000,1.98,1.80,,,,,*/78,,gardnbr01
17,Didi Gregorius,29,NYY,AL,9,9,9,81.2,32,11,21,0,3,1.000,3.53,3.56,,,,,/*6,,gregodi01
18,Aaron Judge,27,NYY,AL,9,9,9,81.2,24,23,1,0,1,1.000,2.64,2.67,,,,,*/9,,judgeaa01
19,DJ LeMahieu,30,NYY,AL,9,9,9,81.2,72,65,4,3,8,.958,7.60,7.67,,,,,/*3,,lemahdj01
20,Gary Sánchez,26,NYY,AL,9,9,9,81.2,91,88,3,0,0,1.000,10.03,10.11,3,3,0,0.0,/*2,,sanchga02
21,Gleyber Torres,22,NYY,AL,9,9,9,81.2,34,11,21,2,6,.941,3.53,3.56,,,,,/*4,,torregl01
22,Gio Urshela,27,NYY,AL,9,9,9,81.2,25,9,16,0,3,1.000,2.76,2.78,,,,,/*5,,urshegi01
23,Paul DeJong,25,STL,NL,9,9,9,79.0,33,8,24,1,3,.970,3.65,3.56,,,,,/*6,,dejonpa01
24,Tommy Edman,24,STL,NL,9,9,6,79.0,24,13,11,0,2,1.000,2.73,2.00,,,,,*/598,,edmanto01
25,Paul Goldschmidt,31,STL,NL,9,9,9,79.0,67,62,5,0,3,1.000,7.63,7.44,,,,,/*3,,goldspa01
26,Yadier Molina,36,STL,NL,9,9,9,79.0,97,93,4,0,1,1.000,11.05,10.78,1,1,2,66.7,/*2,,molinya01
27,Marcell Ozuna,28,STL,NL,9,9,9,79.0,16,16,0,0,0,1.000,1.82,1.78,,,,,*/7,,ozunama01
